bin_lo	bin_hi	n	detection_model	n_total	unit	denominator
-5000.0	-2000.0	2	Ec107_like	30041	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-2000.0	-1000.0	11	Ec107_like	30041	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-1000.0	-500.0	353	Ec107_like	30041	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-500.0	-200.0	365	Ec107_like	30041	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-200.0	-100.0	1053	Ec107_like	30041	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-100.0	-50.0	838	Ec107_like	30041	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-50.0	-20.0	25100	Ec107_like	30041	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-20.0	-5.0	1808	Ec107_like	30041	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-5.0	5.0	504	Ec107_like	30041	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
5.0	20.0	1	Ec107_like	30041	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
5000.0	10000.0	6	Ec107_like	30041	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-10000.0	-5000.0	6	OutgroupA	7016	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-5000.0	-2000.0	4	OutgroupA	7016	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-2000.0	-1000.0	11	OutgroupA	7016	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-1000.0	-500.0	113	OutgroupA	7016	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-500.0	-200.0	320	OutgroupA	7016	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-200.0	-100.0	354	OutgroupA	7016	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-100.0	-50.0	892	OutgroupA	7016	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-50.0	-20.0	4401	OutgroupA	7016	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-20.0	-5.0	293	OutgroupA	7016	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-5.0	5.0	613	OutgroupA	7016	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
20.0	50.0	1	OutgroupA	7016	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
50.0	100.0	1	OutgroupA	7016	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
100.0	200.0	4	OutgroupA	7016	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
