view_unit	combo	n	n_with_ncrna	pct_with_ncrna	pct_with_ncrna_ci_lo	pct_with_ncrna_ci_hi	combo_n_tools	unit	denominator
distinct record	myRT|PADLOC|DefenseFinder	352705	248264	70.3886	70.2377	70.539	3	the unit named in view_unit (Retron family label)	units of that tool combination; carriage = >=1 CANONICAL ncRNA placement (record unit: >=1 ncRNA call in the record). Exact RTs are NOT exclusive between combinations: one protein can occur at loci called by different tools
distinct record	myRT	126406	17063	13.4986	13.3113	13.6881	1	the unit named in view_unit (Retron family label)	units of that tool combination; carriage = >=1 CANONICAL ncRNA placement (record unit: >=1 ncRNA call in the record). Exact RTs are NOT exclusive between combinations: one protein can occur at loci called by different tools
distinct record	myRT|DefenseFinder	74697	12679	16.9739	16.7064	17.2448	2	the unit named in view_unit (Retron family label)	units of that tool combination; carriage = >=1 CANONICAL ncRNA placement (record unit: >=1 ncRNA call in the record). Exact RTs are NOT exclusive between combinations: one protein can occur at loci called by different tools
distinct record	myRT|PADLOC	61541	54916	89.2348	88.9875	89.4772	2	the unit named in view_unit (Retron family label)	units of that tool combination; carriage = >=1 CANONICAL ncRNA placement (record unit: >=1 ncRNA call in the record). Exact RTs are NOT exclusive between combinations: one protein can occur at loci called by different tools
distinct record	PADLOC	26227	4885	18.6258	18.1593	19.1016	1	the unit named in view_unit (Retron family label)	units of that tool combination; carriage = >=1 CANONICAL ncRNA placement (record unit: >=1 ncRNA call in the record). Exact RTs are NOT exclusive between combinations: one protein can occur at loci called by different tools
distinct record	PADLOC|DefenseFinder	13003	5751	44.2283	43.3764	45.0835	2	the unit named in view_unit (Retron family label)	units of that tool combination; carriage = >=1 CANONICAL ncRNA placement (record unit: >=1 ncRNA call in the record). Exact RTs are NOT exclusive between combinations: one protein can occur at loci called by different tools
distinct record	DefenseFinder	8729	1280	14.6638	13.9372	15.4214	1	the unit named in view_unit (Retron family label)	units of that tool combination; carriage = >=1 CANONICAL ncRNA placement (record unit: >=1 ncRNA call in the record). Exact RTs are NOT exclusive between combinations: one protein can occur at loci called by different tools
exact RT (non-exclusive across combinations)	myRT	30929	5713	18.4713	18.0428	18.9077	1	the unit named in view_unit (Retron family label)	units of that tool combination; carriage = >=1 CANONICAL ncRNA placement (record unit: >=1 ncRNA call in the record). Exact RTs are NOT exclusive between combinations: one protein can occur at loci called by different tools
exact RT (non-exclusive across combinations)	myRT|PADLOC|DefenseFinder	20159	10701	53.083	52.3936	53.7712	3	the unit named in view_unit (Retron family label)	units of that tool combination; carriage = >=1 CANONICAL ncRNA placement (record unit: >=1 ncRNA call in the record). Exact RTs are NOT exclusive between combinations: one protein can occur at loci called by different tools
exact RT (non-exclusive across combinations)	myRT|DefenseFinder	14261	3605	25.2787	24.5722	25.9986	2	the unit named in view_unit (Retron family label)	units of that tool combination; carriage = >=1 CANONICAL ncRNA placement (record unit: >=1 ncRNA call in the record). Exact RTs are NOT exclusive between combinations: one protein can occur at loci called by different tools
exact RT (non-exclusive across combinations)	myRT|PADLOC	9069	7866	86.735	86.0214	87.4176	2	the unit named in view_unit (Retron family label)	units of that tool combination; carriage = >=1 CANONICAL ncRNA placement (record unit: >=1 ncRNA call in the record). Exact RTs are NOT exclusive between combinations: one protein can occur at loci called by different tools
exact RT (non-exclusive across combinations)	PADLOC	4400	1671	37.9773	36.5543	39.4212	1	the unit named in view_unit (Retron family label)	units of that tool combination; carriage = >=1 CANONICAL ncRNA placement (record unit: >=1 ncRNA call in the record). Exact RTs are NOT exclusive between combinations: one protein can occur at loci called by different tools
exact RT (non-exclusive across combinations)	PADLOC|DefenseFinder	2621	1263	48.1877	46.2788	50.1019	2	the unit named in view_unit (Retron family label)	units of that tool combination; carriage = >=1 CANONICAL ncRNA placement (record unit: >=1 ncRNA call in the record). Exact RTs are NOT exclusive between combinations: one protein can occur at loci called by different tools
exact RT (non-exclusive across combinations)	DefenseFinder	2589	506	19.5442	18.0624	21.1163	1	the unit named in view_unit (Retron family label)	units of that tool combination; carriage = >=1 CANONICAL ncRNA placement (record unit: >=1 ncRNA call in the record). Exact RTs are NOT exclusive between combinations: one protein can occur at loci called by different tools
locus (union of its records' tools)	myRT|PADLOC|DefenseFinder	345779	244795	70.7952	70.6434	70.9465	3	the unit named in view_unit (Retron family label)	units of that tool combination; carriage = >=1 CANONICAL ncRNA placement (record unit: >=1 ncRNA call in the record). Exact RTs are NOT exclusive between combinations: one protein can occur at loci called by different tools
locus (union of its records' tools)	myRT	115733	15844	13.6901	13.4933	13.8894	1	the unit named in view_unit (Retron family label)	units of that tool combination; carriage = >=1 CANONICAL ncRNA placement (record unit: >=1 ncRNA call in the record). Exact RTs are NOT exclusive between combinations: one protein can occur at loci called by different tools
locus (union of its records' tools)	myRT|DefenseFinder	67764	10833	15.9864	15.7124	16.2642	2	the unit named in view_unit (Retron family label)	units of that tool combination; carriage = >=1 CANONICAL ncRNA placement (record unit: >=1 ncRNA call in the record). Exact RTs are NOT exclusive between combinations: one protein can occur at loci called by different tools
locus (union of its records' tools)	myRT|PADLOC	57542	51197	88.9733	88.7147	89.2266	2	the unit named in view_unit (Retron family label)	units of that tool combination; carriage = >=1 CANONICAL ncRNA placement (record unit: >=1 ncRNA call in the record). Exact RTs are NOT exclusive between combinations: one protein can occur at loci called by different tools
locus (union of its records' tools)	PADLOC	25124	4555	18.1301	17.6586	18.6113	1	the unit named in view_unit (Retron family label)	units of that tool combination; carriage = >=1 CANONICAL ncRNA placement (record unit: >=1 ncRNA call in the record). Exact RTs are NOT exclusive between combinations: one protein can occur at loci called by different tools
locus (union of its records' tools)	PADLOC|DefenseFinder	12616	5561	44.0789	43.2145	44.947	2	the unit named in view_unit (Retron family label)	units of that tool combination; carriage = >=1 CANONICAL ncRNA placement (record unit: >=1 ncRNA call in the record). Exact RTs are NOT exclusive between combinations: one protein can occur at loci called by different tools
locus (union of its records' tools)	DefenseFinder	8132	1053	12.9488	12.2366	13.6961	1	the unit named in view_unit (Retron family label)	units of that tool combination; carriage = >=1 CANONICAL ncRNA placement (record unit: >=1 ncRNA call in the record). Exact RTs are NOT exclusive between combinations: one protein can occur at loci called by different tools
physical locus (union of its records' tools)	myRT|PADLOC|DefenseFinder	311258	221708	71.2297	71.0704	71.3884	3	the unit named in view_unit (Retron family label)	units of that tool combination; carriage = >=1 CANONICAL ncRNA placement (record unit: >=1 ncRNA call in the record). Exact RTs are NOT exclusive between combinations: one protein can occur at loci called by different tools
physical locus (union of its records' tools)	myRT	104601	13543	12.9473	12.7452	13.1521	1	the unit named in view_unit (Retron family label)	units of that tool combination; carriage = >=1 CANONICAL ncRNA placement (record unit: >=1 ncRNA call in the record). Exact RTs are NOT exclusive between combinations: one protein can occur at loci called by different tools
physical locus (union of its records' tools)	myRT|DefenseFinder	59218	9330	15.7553	15.4641	16.051	2	the unit named in view_unit (Retron family label)	units of that tool combination; carriage = >=1 CANONICAL ncRNA placement (record unit: >=1 ncRNA call in the record). Exact RTs are NOT exclusive between combinations: one protein can occur at loci called by different tools
physical locus (union of its records' tools)	myRT|PADLOC	48454	43228	89.2145	88.9352	89.4876	2	the unit named in view_unit (Retron family label)	units of that tool combination; carriage = >=1 CANONICAL ncRNA placement (record unit: >=1 ncRNA call in the record). Exact RTs are NOT exclusive between combinations: one protein can occur at loci called by different tools
physical locus (union of its records' tools)	PADLOC	22264	4053	18.2043	17.7029	18.7166	1	the unit named in view_unit (Retron family label)	units of that tool combination; carriage = >=1 CANONICAL ncRNA placement (record unit: >=1 ncRNA call in the record). Exact RTs are NOT exclusive between combinations: one protein can occur at loci called by different tools
