metric	recurrence_class	at_least	n_pairs	n_pairs_total	pct	unit	denominator
placements per pair	multiple_species	1	5056	5056	100.0	exact pairs	exact pairs of that recurrence class
placements per pair	multiple_species	2	5056	5056	100.0	exact pairs	exact pairs of that recurrence class
placements per pair	multiple_species	5	2311	5056	45.7081	exact pairs	exact pairs of that recurrence class
placements per pair	multiple_species	10	1156	5056	22.8639	exact pairs	exact pairs of that recurrence class
placements per pair	multiple_species	100	140	5056	2.769	exact pairs	exact pairs of that recurrence class
placements per pair	multiple_species	1000	18	5056	0.356	exact pairs	exact pairs of that recurrence class
placements per pair	multiple_species	10000	4	5056	0.0791	exact pairs	exact pairs of that recurrence class
placements per pair	one_genome_multiple_loci	1	36	36	100.0	exact pairs	exact pairs of that recurrence class
placements per pair	one_genome_multiple_loci	2	36	36	100.0	exact pairs	exact pairs of that recurrence class
placements per pair	one_genome_multiple_loci	5	0	36	0.0	exact pairs	exact pairs of that recurrence class
placements per pair	one_genome_multiple_loci	10	0	36	0.0	exact pairs	exact pairs of that recurrence class
placements per pair	one_genome_multiple_loci	100	0	36	0.0	exact pairs	exact pairs of that recurrence class
placements per pair	one_genome_multiple_loci	1000	0	36	0.0	exact pairs	exact pairs of that recurrence class
placements per pair	one_genome_multiple_loci	10000	0	36	0.0	exact pairs	exact pairs of that recurrence class
placements per pair	one_physical_locus_multiple_database_copies	1	9362	9362	100.0	exact pairs	exact pairs of that recurrence class
placements per pair	one_physical_locus_multiple_database_copies	2	9362	9362	100.0	exact pairs	exact pairs of that recurrence class
placements per pair	one_physical_locus_multiple_database_copies	5	0	9362	0.0	exact pairs	exact pairs of that recurrence class
placements per pair	one_physical_locus_multiple_database_copies	10	0	9362	0.0	exact pairs	exact pairs of that recurrence class
placements per pair	one_physical_locus_multiple_database_copies	100	0	9362	0.0	exact pairs	exact pairs of that recurrence class
placements per pair	one_physical_locus_multiple_database_copies	1000	0	9362	0.0	exact pairs	exact pairs of that recurrence class
placements per pair	one_physical_locus_multiple_database_copies	10000	0	9362	0.0	exact pairs	exact pairs of that recurrence class
placements per pair	one_physical_locus_multiple_records	1	13	13	100.0	exact pairs	exact pairs of that recurrence class
placements per pair	one_physical_locus_multiple_records	2	13	13	100.0	exact pairs	exact pairs of that recurrence class
placements per pair	one_physical_locus_multiple_records	5	0	13	0.0	exact pairs	exact pairs of that recurrence class
placements per pair	one_physical_locus_multiple_records	10	0	13	0.0	exact pairs	exact pairs of that recurrence class
placements per pair	one_physical_locus_multiple_records	100	0	13	0.0	exact pairs	exact pairs of that recurrence class
placements per pair	one_physical_locus_multiple_records	1000	0	13	0.0	exact pairs	exact pairs of that recurrence class
placements per pair	one_physical_locus_multiple_records	10000	0	13	0.0	exact pairs	exact pairs of that recurrence class
placements per pair	one_species_multiple_genomes	1	4452	4452	100.0	exact pairs	exact pairs of that recurrence class
placements per pair	one_species_multiple_genomes	2	4452	4452	100.0	exact pairs	exact pairs of that recurrence class
placements per pair	one_species_multiple_genomes	5	1484	4452	33.3333	exact pairs	exact pairs of that recurrence class
placements per pair	one_species_multiple_genomes	10	616	4452	13.8365	exact pairs	exact pairs of that recurrence class
placements per pair	one_species_multiple_genomes	100	49	4452	1.1006	exact pairs	exact pairs of that recurrence class
placements per pair	one_species_multiple_genomes	1000	2	4452	0.0449	exact pairs	exact pairs of that recurrence class
placements per pair	one_species_multiple_genomes	10000	0	4452	0.0	exact pairs	exact pairs of that recurrence class
placements per pair	single_placement	1	12005	12005	100.0	exact pairs	exact pairs of that recurrence class
placements per pair	single_placement	2	0	12005	0.0	exact pairs	exact pairs of that recurrence class
placements per pair	single_placement	5	0	12005	0.0	exact pairs	exact pairs of that recurrence class
placements per pair	single_placement	10	0	12005	0.0	exact pairs	exact pairs of that recurrence class
placements per pair	single_placement	100	0	12005	0.0	exact pairs	exact pairs of that recurrence class
placements per pair	single_placement	1000	0	12005	0.0	exact pairs	exact pairs of that recurrence class
placements per pair	single_placement	10000	0	12005	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	multiple_species	1	5056	5056	100.0	exact pairs	exact pairs of that recurrence class
genomes per pair	multiple_species	2	5056	5056	100.0	exact pairs	exact pairs of that recurrence class
genomes per pair	multiple_species	5	1983	5056	39.2207	exact pairs	exact pairs of that recurrence class
genomes per pair	multiple_species	10	1014	5056	20.0554	exact pairs	exact pairs of that recurrence class
genomes per pair	multiple_species	100	127	5056	2.5119	exact pairs	exact pairs of that recurrence class
genomes per pair	multiple_species	1000	17	5056	0.3362	exact pairs	exact pairs of that recurrence class
genomes per pair	multiple_species	10000	4	5056	0.0791	exact pairs	exact pairs of that recurrence class
genomes per pair	one_genome_multiple_loci	1	36	36	100.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_genome_multiple_loci	2	0	36	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_genome_multiple_loci	5	0	36	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_genome_multiple_loci	10	0	36	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_genome_multiple_loci	100	0	36	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_genome_multiple_loci	1000	0	36	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_genome_multiple_loci	10000	0	36	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_physical_locus_multiple_database_copies	1	9362	9362	100.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_physical_locus_multiple_database_copies	2	5206	9362	55.6078	exact pairs	exact pairs of that recurrence class
genomes per pair	one_physical_locus_multiple_database_copies	5	0	9362	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_physical_locus_multiple_database_copies	10	0	9362	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_physical_locus_multiple_database_copies	100	0	9362	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_physical_locus_multiple_database_copies	1000	0	9362	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_physical_locus_multiple_database_copies	10000	0	9362	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_physical_locus_multiple_records	1	13	13	100.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_physical_locus_multiple_records	2	0	13	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_physical_locus_multiple_records	5	0	13	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_physical_locus_multiple_records	10	0	13	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_physical_locus_multiple_records	100	0	13	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_physical_locus_multiple_records	1000	0	13	0.0	exact pairs	exact pairs of that recurrence class
