taxon	n_sampled_genomes	n_rt_positive_genomes	rank	n_exact_rt	n_physical_loci	prevalence_pct	prevalence_pct_ci_lo	prevalence_pct_ci_hi	loci_per_positive_genome	exact_rt_per_positive_genome	meets_min_sampled	unit	denominator
Pseudomonadota	267130	138504	phylum	71018	277483	51.8489	51.6594	52.0384	2.0034	0.5128	True	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Bacillota	205871	86981	phylum	68472	173248	42.2502	42.037	42.4638	1.9918	0.7872	True	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Bacteroidota	89203	36310	phylum	29617	75000	40.7049	40.3829	41.0277	2.0655	0.8157	True	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Actinomycetota	59430	10507	phylum	12325	17227	17.6796	17.375	17.9884	1.6396	1.173	True	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Campylobacterota	12704	1729	phylum	1277	2039	13.6099	13.0246	14.2172	1.1793	0.7386	True	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Patescibacteriota	10847	4124	phylum	4759	6694	38.0197	37.1106	38.9374	1.6232	1.154	True	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Verrucomicrobiota	8325	2074	phylum	2850	3601	24.9129	23.9956	25.8534	1.7363	1.3742	True	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Cyanobacteriota	7057	3383	phylum	8912	16099	47.9382	46.7741	49.1046	4.7588	2.6343	True	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Chloroflexota	6904	1643	phylum	2467	2862	23.7978	22.808	24.8167	1.7419	1.5015	True	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Acidobacteriota	5462	1907	phylum	3289	3794	34.914	33.6608	36.1884	1.9895	1.7247	True	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Spirochaetota	5241	1441	phylum	1595	2379	27.4948	26.3028	28.7197	1.6509	1.1069	True	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Planctomycetota	5138	2048	phylum	3313	3931	39.8599	38.5292	41.2057	1.9194	1.6177	True	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Desulfobacterota	3821	1463	phylum	2767	3390	38.2884	36.7596	39.8407	2.3172	1.8913	True	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Bacteroidota_A	2885	943	phylum	1275	2145	32.6863	30.9987	34.42	2.2747	1.3521	True	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Gemmatimonadota	2323	405	phylum	621	663	17.4344	15.9456	19.0306	1.637	1.5333	True	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Desulfobacterota_I	2085	697	phylum	442	872	33.4293	31.4365	35.483	1.2511	0.6341	True	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Myxococcota	1941	1112	phylum	2126	2616	57.2901	55.0772	59.4741	2.3525	1.9119	True	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Nitrospirota	1375	426	phylum	578	697	30.9818	28.5935	33.4761	1.6362	1.3568	True	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Fusobacteriota	1178	319	phylum	266	432	27.0798	24.6197	29.6889	1.3542	0.8339	True	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Chlamydiota	1033	122	phylum	202	213	11.8103	9.9823	13.9212	1.7459	1.6557	True	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Omnitrophota	969	183	phylum	211	257	18.8854	16.5458	21.4708	1.4044	1.153	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Marinisomatota	924	84	phylum	89	107	9.0909	7.4028	11.1178	1.2738	1.0595	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Elusimicrobiota	862	144	phylum	200	219	16.7053	14.364	19.3421	1.5208	1.3889	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Bdellovibrionota	784	238	phylum	309	380	30.3571	27.2408	33.665	1.5966	1.2983	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Armatimonadota	744	176	phylum	256	315	23.6559	20.7424	26.84	1.7898	1.4545	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Synergistota	665	158	phylum	209	245	23.7594	20.6811	27.1391	1.5506	1.3228	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Chrysiogenota	626	56	phylum	41	70	8.9457	6.9532	11.439	1.25	0.7321	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Deinococcota	588	62	phylum	64	72	10.5442	8.3128	13.2879	1.1613	1.0323	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Cloacimonadota	512	176	phylum	214	346	34.375	30.391	38.5917	1.9659	1.2159	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Thermotogota	510	95	phylum	189	212	18.6275	15.4876	22.2364	2.2316	1.9895	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Fibrobacterota	446	118	phylum	184	204	26.4574	22.5772	30.7397	1.7288	1.5593	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Vulcanimicrobiota	441	68	phylum	96	105	15.4195	12.3489	19.0873	1.5441	1.4118	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Desulfobacterota_B	420	140	phylum	217	237	33.3333	28.994	37.9748	1.6929	1.55	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
WOR-3	384	29	phylum	33	33	7.5521	5.3094	10.6356	1.1379	1.1379	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
SAR324	335	58	phylum	64	82	17.3134	13.6384	21.7297	1.4138	1.1034	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Aquificota	328	1	phylum	1	1	0.3049	0.0538	1.7065	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Methylomirabilota	258	68	phylum	102	109	26.3566	21.3559	32.051	1.6029	1.5	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Myxococcota_A	222	39	phylum	51	54	17.5676	13.1256	23.1129	1.3846	1.3077	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Zixibacteria	216	31	phylum	41	44	14.3519	10.2985	19.651	1.4194	1.3226	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Nitrospinota	216	42	phylum	41	56	19.4444	14.7195	25.2372	1.3333	0.9762	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Bipolaricaulota	216	40	phylum	43	51	18.5185	13.9044	24.2328	1.275	1.075	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Bdellovibrionota_B	213	71	phylum	137	152	33.3333	27.3473	39.9099	2.1408	1.9296	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Zhuqueibacterota	204	105	phylum	160	226	51.4706	44.6488	58.2381	2.1524	1.5238	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Babelota	194	13	phylum	9	13	6.701	3.9576	11.1259	1.0	0.6923	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Nitrospirota_A	194	98	phylum	104	167	50.5155	43.5386	57.4723	1.7041	1.0612	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Latescibacterota	194	35	phylum	61	68	18.0412	13.2677	24.0558	1.9429	1.7429	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Margulisbacteria	184	44	phylum	40	58	23.913	18.3233	30.5698	1.3182	0.9091	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Sysuimicrobiota	184	17	phylum	28	29	9.2391	5.8485	14.2969	1.7059	1.6471	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Hydrogenedentota	176	68	phylum	118	137	38.6364	31.7586	45.9996	2.0147	1.7353	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Krumholzibacteriota	164	30	phylum	37	43	18.2927	13.1247	24.912	1.4333	1.2333	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Caldisericota	158	32	phylum	39	53	20.2532	14.7275	27.191	1.6562	1.2188	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Poribacteria	155	66	phylum	84	90	42.5806	35.0684	50.4517	1.3636	1.2727	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Desulfobacterota_G	149	37	phylum	50	57	24.8322	18.5862	32.3433	1.5405	1.3514	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Desulfobacterota_D	146	29	phylum	32	41	19.863	14.201	27.0703	1.4138	1.1034	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Eisenbacteria	139	40	phylum	74	86	28.777	21.9016	36.7939	2.15	1.85	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
SZUA-79	137	20	phylum	17	25	14.5985	9.6534	21.4749	1.25	0.85	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Atribacterota	126	23	phylum	34	40	18.254	12.4828	25.9036	1.7391	1.4783	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Desulfobacterota_E	102	23	phylum	30	31	22.549	15.5217	31.569	1.3478	1.3043	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
UBA10199	92	24	phylum	28	33	26.087	18.2022	35.8886	1.375	1.1667	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Fermentibacterota	91	20	phylum	35	35	21.978	14.7021	31.5239	1.75	1.75	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Sumerlaeota	79	14	phylum	17	17	17.7215	10.8604	27.5762	1.2143	1.2143	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Muiribacteriota	79	42	phylum	59	66	53.1646	42.2714	63.7642	1.5714	1.4048	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Ratteibacteria	78	6	phylum	6	6	7.6923	3.573	15.7832	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Calditrichota	71	20	phylum	23	25	28.169	19.0371	39.542	1.25	1.15	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Electryoneota	59	10	phylum	16	16	16.9492	9.4758	28.4632	1.6	1.6	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
UBP6	58	27	phylum	42	44	46.5517	34.332	59.1998	1.6296	1.5556	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
UBA8248	47	11	phylum	22	22	23.4043	13.6033	37.2243	2.0	2.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Firestonebacteria	44	10	phylum	8	11	22.7273	12.8419	36.9924	1.1	0.8	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Hinthialibacterota	41	21	phylum	27	34	51.2195	36.4845	65.7456	1.619	1.2857	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JAAXHH01	37	7	phylum	11	11	18.9189	9.48	34.2047	1.5714	1.5714	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Joyebacterota	32	8	phylum	13	14	25.0	13.2524	42.1066	1.75	1.625	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JAMCPX01	32	3	phylum	3	4	9.375	3.2402	24.2182	1.3333	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
