rt_seq_hash	family	n_genomes	n_species	n_genera	n_source_databases	n_physical_loci	unit	denominator
4e86f2e42b1d37aa188f050e65d48007b244b6ff5bb62c01b1c2e04fa9ed5063	Retron	118405	2	1	4	115206	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
cec659b114f0652e71224676f02ef25453a26745b8f1401af4d1b9604af9ca79	RVT-GII	52979	115	46	5	62609	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
6d07b3a55ae91fd12b60d981a60ac32507888998d157f2389deba5e427bb00b5	other	33439	2	1	3	32630	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
9b0bd9c5f585b74cae2b979c32ad9e1fd1c631729f4757350faa64c8dd8e0737	RVT-GII	31520	126	45	5	30179	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
b9cbae36f998734b33c390bd05d02fc9447c4347fa470ec4728b013f85c7bc9b	other	30418	3	2	3	25849	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
38a2e35211e6ae7f1a5baf0c6ff989dc5e3eb89adb3be015712bdc068da245b3	Retron	26852	28	12	5	22307	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
5be6ce56c3bc6e557d9d611934566c723d8f88ec8b63b97532622304f1093e2e	RVT-GII	24799	67	46	4	23602	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
9d2bfbf78c9a76d4f8194a7f93d05ad2c564e3d6fa742ce0880cd26860b3f43f	Retron	23564	14	10	4	21235	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
a21cc8d7874bd71e76c0d2ffcad8e53c1d9439c0af51fddb94118d0aa52f8045	Retron	23408	4	3	3	19397	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
bbaaf4cf689f11fc7a572cf9f589aa7bb2819aa9a9e3c236c4ab30c7226790d0	RVT-GII	23275	19	14	5	20691	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
72984ba60ce0153d375192a2426070aa51576eef34dc4f6840b8c2eb8f2f8724	Retron	22140	2	1	3	21699	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
c964841ce2998464d563387eba696552396218e497b1a91a8bdf50ba2c3ef641	RVT-GII	16079	34	13	3	13601	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
