source_file	unique_nc_hashes
master_Retron_merged_oriented.jsonl	16351
master_RVT-GII_merged_oriented.jsonl	63
master_RVT-DGRs_merged_oriented.jsonl	22
master_MULTI_merged_oriented.jsonl	5
master_RVT-UG26_merged_oriented.jsonl	3
master_RVT-G2L4_merged_oriented.jsonl	2
master_RVT-UG10_merged_oriented.jsonl	2
master_RVT-UG12_merged_oriented.jsonl	2
master_RVT-AbiP2_merged_oriented.jsonl	2
master_RVT-UG2_merged_oriented.jsonl	2
master_RVT-UG8_merged_oriented.jsonl	2
master_RVT-CRISPR-like_merged_oriented.jsonl	1
master_RVT-UG14_merged_oriented.jsonl	1
master_RVT-UG23_merged_oriented.jsonl	1
master_RVT-UG3_merged_oriented.jsonl	1
master_RVT-UG5_merged_oriented.jsonl	1
master_RVT-UG7_merged_oriented.jsonl	1
master_RVT-UG15_merged_oriented.jsonl	1
