cache	shard	sequences	units	units_per_s	peak_vram_gb	peak_host_rss_gb	gpu
esmc300m_v1	shard_0000	4096	736483	29572	0.89	3.96	A100-SXM4-80GB
esmc300m_v1	shard_0001	4096	1248153	43944	0.93	5.69	A100-SXM4-80GB
esmc300m_v1	shard_0002	4096	1340966	42755	0.96	6.00	A100-SXM4-80GB
esmc300m_v1	shard_0003	4096	1505325	44815	1.00	6.60	A100-SXM4-80GB
esmc300m_v1	shard_0004	4096	1735308	47955	1.05	7.43	A100-SXM4-80GB
esmc300m_v1	shard_0005	4096	1941361	48101	1.11	8.14	A100-SXM4-80GB
esmc300m_v1	shard_0006	4096	2358080	48667	1.21	9.76	A100-SXM4-80GB
esmc300m_v1	shard_0007	520	370798	34081	1.56	2.63	A100-SXM4-80GB
rinalmo_giga_v1	shard_0000	4096	495791	14544	3.73	5.26	A100-SXM4-80GB
rinalmo_giga_v1	shard_0001	4096	571272	13965	3.72	5.28	A100-SXM4-80GB
rinalmo_giga_v1	shard_0002	4096	695670	16045	3.74	5.26	A100-SXM4-80GB
rinalmo_giga_v1	shard_0003	4096	933337	19775	3.81	5.37	A100-SXM4-80GB
rinalmo_giga_v1	shard_0004	74	23511	5657	3.86	5.28	A100-SXM4-80GB
