rt_id	nc_id	n	p50	p75	p90	p95	p99	max	n_size1	n_size2_10	n_size11_100	n_size101_1000	n_size_gt1000
0.30	0.80	156	1	1	3	11	1469	27572	119	26	8	0	3
0.30	0.90	205	1	2	3	11	1412	27398	151	40	11	0	3
0.30	0.95	242	1	2	7	17	1468	20918	172	50	13	3	4
0.50	0.80	1075	1	4	17	38	370	5711	581	349	111	29	5
0.50	0.90	1242	1	4	15	37	371	5561	683	402	123	29	5
0.50	0.95	1317	1	4	15	36	324	5515	730	421	133	28	5
0.70	0.80	4423	1	3	8	19	104	1237	2528	1529	318	46	2
0.70	0.90	5859	1	2	7	14	76	822	3633	1848	337	41	0
0.70	0.95	6129	1	2	6	13	71	822	3872	1885	331	41	0
0.90	0.80	5096	1	3	8	18	82	1237	2849	1846	362	37	2
0.90	0.90	8115	1	2	5	9	43	787	5420	2338	326	31	0
0.90	0.95	9533	1	2	4	7	34	783	6776	2433	295	29	0
