combo	comps	train_n	train_c	train_neff	train_maxfrac	val_n	val_c	val_neff	val_maxfrac	test_n	test_c	test_neff	test_maxfrac
0.30/0.80	156	27572	1	1.0	1.0	1676	77	1.3	0.876	1676	78	1.3	0.876
0.30/0.90	205	27398	1	1.0	1.0	1763	101	1.4	0.833	1763	103	1.4	0.833
0.30/0.95	242	21576	120	1.1	0.97	4781	1	1.0	1.0	4567	121	4.0	0.322
0.50/0.80	1075	21647	361	6.4	0.264	4639	357	14.2	0.177	4638	357	14.1	0.174
0.50/0.90	1242	21647	417	7.2	0.257	4639	413	18.0	0.158	4638	412	18.2	0.15
0.50/0.95	1317	21647	443	7.3	0.255	4639	437	18.7	0.158	4638	437	19.1	0.15
0.70/0.80	4423	21647	1542	63.4	0.057	4639	1441	358.0	0.011	4638	1440	358.1	0.01
0.70/0.90	5859	21647	2061	97.3	0.038	4639	1899	631.0	0.006	4638	1899	631.1	0.006
0.70/0.95	6129	21647	2156	97.8	0.038	4639	1987	693.1	0.005	4638	1986	693.3	0.005
0.90/0.80	5096	21647	1799	75.3	0.057	4639	1649	546.5	0.006	4638	1648	546.7	0.006
0.90/0.90	8115	21647	2914	110.8	0.036	4639	2601	1356.6	0.003	4638	2600	1356.8	0.003
0.90/0.95	9533	21647	3471	117.9	0.036	4639	3031	1895.2	0.002	4638	3031	1895.2	0.002
