rt_id	nc_id	rt_clusters	nc_clusters	components	largest	largest_pct	median_comp	singletons	pairs	uniq_rt	uniq_nc	train	val	test	test_pct	test_comps	T1_test	T2_test	T3_test	T4_test	T1_test_pct	T2_test_pct	T3_test_pct	T4_test_pct	rt_max_id	rt_max_id_cov	nc_max_id	nc_max_id_cov	rt_frac_detectable	nc_frac_detectable	rt_frac_ge_0.3	rt_frac_ge_0.4	rt_frac_ge_0.5	rt_frac_ge_0.7	rt_frac_ge_0.9	nc_frac_ge_0.3	nc_frac_ge_0.4	nc_frac_ge_0.5	nc_frac_ge_0.7	nc_frac_ge_0.9	rt_censored	nc_censored	test_pairs_reachable	test_pairs_reachable_frac	test_comps_isolated	test_comps_isolated_frac
0.30	0.80	937	5385	156	27572	89.16	1	119	30924	29192	16458	27572	1676	1676	5.42	78	1601	1517	1442	523	5.29	5.91	6.09	7.0	0.916	0.916	1.0	0.9895	0.1875	0.2012	0.1564	0.1142	0.0584	0.0097	0.0006	0.1105	0.1105	0.1105	0.1105	0.0039	1252	359	291	0.1736	3	0.0385
0.30	0.90	937	8570	205	27398	88.6	1	151	30924	29192	16458	27398	1763	1763	5.7	103	1693	1410	1272	426	5.59	5.49	5.37	5.7	0.983	0.962	1.0	0.9895	0.18	0.2604	0.1591	0.1395	0.1079	0.0238	0.0012	0.2174	0.2174	0.2174	0.2148	0.0054	1374	472	723	0.4101	10	0.0971
0.30	0.95	937	10475	242	20918	67.64	1	172	30924	29192	16458	21576	4781	4567	14.77	121	4436	3845	3607	1211	14.65	14.98	15.23	16.2	0.954	0.939	1.0	1.0	0.1203	0.3337	0.0941	0.075	0.0491	0.0124	0.0012	0.1279	0.1279	0.1279	0.1221	0.0185	3766	1302	983	0.2152	8	0.0661
0.50	0.80	2455	5385	1075	5711	18.47	1	581	30924	29192	16458	21647	4639	4638	15.0	357	4574	3922	3430	991	15.1	15.28	14.48	13.26	0.993	0.993	1.0	0.9895	0.7637	0.6335	0.759	0.7474	0.5209	0.0087	0.0007	0.3153	0.3153	0.3153	0.3044	0.0018	1055	939	3517	0.7583	2	0.0056
0.50	0.90	2455	8570	1242	5561	17.98	1	683	30924	29192	16458	21647	4639	4638	15.0	412	4512	3870	3370	1021	14.9	15.07	14.23	13.66	0.969	0.969	1.0	0.984	0.7987	0.8061	0.7859	0.7755	0.5997	0.0144	0.0002	0.6011	0.6011	0.6011	0.5732	0.0123	892	456	4579	0.9873	7	0.017
0.50	0.95	2455	10475	1317	5515	17.83	1	730	30924	29192	16458	21647	4639	4638	15.0	437	4479	3323	3011	935	14.79	12.94	12.72	12.51	0.993	0.993	1.0	1.0	0.7251	0.8052	0.7202	0.7033	0.5425	0.0319	0.0035	0.5805	0.5805	0.5805	0.5566	0.0342	1188	447	4249	0.9161	3	0.0069
0.70	0.80	7939	5385	4423	1237	4.0	1	2528	30924	29192	16458	21647	4639	4638	15.0	1440	4557	3691	3114	842	15.05	14.38	13.15	11.26	0.955	0.955	1.0	0.9931	0.9998	0.9339	0.9951	0.9907	0.9389	0.1119	0.0013	0.8162	0.8162	0.8162	0.7951	0.0159	0	152	4629	0.9981	7	0.0049
0.70	0.90	7939	8570	5859	822	2.66	1	3633	30924	29192	16458	21647	4639	4638	15.0	1899	4568	3791	3256	863	15.08	14.77	13.75	11.54	0.976	0.963	1.0	0.992	1.0	0.9481	0.9965	0.9921	0.9573	0.2523	0.004	0.8642	0.8642	0.8642	0.8554	0.0538	0	106	4635	0.9994	2	0.0011
0.70	0.95	7939	10475	6129	822	2.66	1	3872	30924	29192	16458	21647	4639	4638	15.0	1986	4546	3715	3151	789	15.01	14.47	13.31	10.55	0.985	0.985	1.0	0.9895	0.9998	0.9573	0.9958	0.9923	0.9597	0.2543	0.0081	0.868	0.868	0.868	0.8557	0.1021	0	70	4635	0.9994	3	0.0015
0.90	0.80	12555	5385	5096	1237	4.0	1	2849	30924	29192	16458	21647	4639	4638	15.0	1648	4561	3832	3253	905	15.06	14.93	13.74	12.11	0.993	0.993	1.0	0.9931	1.0	0.9552	0.9949	0.9891	0.9468	0.2813	0.0027	0.8543	0.8543	0.8543	0.8402	0.0445	0	85	4631	0.9985	6	0.0036
0.90	0.90	12555	8570	8115	787	2.54	1	5420	30924	29192	16458	21647	4639	4638	15.0	2600	4578	3750	3282	842	15.12	14.61	13.86	11.26	0.983	0.969	1.0	0.9938	0.9998	0.9673	0.9958	0.9917	0.9617	0.4834	0.0057	0.9057	0.9057	0.9057	0.8945	0.1329	0	57	4633	0.9989	5	0.0019
0.90	0.95	12555	10475	9533	783	2.53	1	6776	30924	29192	16458	21647	4639	4638	15.0	3031	4563	3787	3266	820	15.07	14.75	13.79	10.97	1.0	1.0	1.0	1.0	1.0	0.972	0.9961	0.9921	0.9673	0.5703	0.0136	0.9194	0.9194	0.9194	0.91	0.2894	0	34	4636	0.9996	2	0.0007
