modality	retron_type	pair_id	x	y
RT	Ec107_like	0	-6.126379	2.1651225
RT	TypeIIA3_firmi	1	-2.9024105	1.518917
RT	TypeIA_IIAI	2	1.3517637	-5.9444695
RT	TypeIIIA3	3	-8.760805	-5.5718904
RT	TypeIIA3_proteo	4	-2.081966	-3.446855
RT	OutgroupA	5	-2.6721601	-8.162211
RT	TypeIV	6	4.6509337	0.71329945
RT	TypeIB2	7	1.0604571	-0.23824193
RT	Ec107_like	8	-5.8574066	-13.361713
RT	TypeIIIA1	9	-4.4090004	-0.973639
RT	TypeIA_IIAI	10	1.4417892	-5.9010277
RT	TypeIV	11	4.734447	0.7537516
RT	TypeIB2	12	0.96700543	-0.08643439
RT	TypeIA_IIAI	13	0.3586728	-5.3525805
RT	TypeIIIA1	14	-4.466706	0.07704014
RT	TypeIIA3_proteo	15	-2.277611	-3.1182477
RT	TypeIB1	16	1.3358616	-1.5084115
RT	TypeIIA3_proteo	17	-2.16973	-3.0571728
RT	TypeXIIIB_Ne144	18	-5.180549	-4.672416
RT	Ec107_like	19	-5.780129	3.1210508
RT	OutgroupA	20	-2.7316751	-7.912772
RT	TypeIIA3_firmi	21	-3.249595	1.8308618
RT	TypeIIIA3	22	-8.696821	-4.990712
RT	TypeIA_IIAI	23	0.49983525	-5.3157396
RT	TypeIX	24	0.7521426	-0.45412502
RT	TypeIA_IIAI	25	1.3265089	-5.725546
RT	TypeIV	26	-8.631602	-4.2224293
RT	Ec107_like	27	-5.7843547	2.8522198
RT	TypeIV	28	4.6023417	0.013723804
RT	OutgroupA	29	-1.5829395	-7.6132207
RT	TypeIC1_IC2	30	5.3034	-3.7890441
RT	Ec107_like	31	-6.115916	-13.428326
RT	TypeIV	32	5.5901546	-0.0001201057
RT	TypeIB1	33	-0.23584574	-0.4267129
RT	Ec107_like	34	-6.4928675	1.329858
RT	Ec107_like	35	-6.7944036	-13.325029
RT	TypeIIIA3	36	-8.16907	-5.58417
RT	TypeIIA3_proteo	37	-2.4573755	-3.2005076
RT	TypeIV	38	5.404095	-0.05703395
RT	OutgroupA	39	-1.5883564	-7.95724
RT	TypeIIA3_proteo	40	-2.0091941	-3.4714723
RT	OutgroupA	41	-2.5435858	-8.053054
RT	TypeIX	42	2.030416	-1.2783484
RT	Ec107_like	43	-5.7520614	-12.938649
RT	TypeIV	44	4.889008	-0.73172957
RT	TypeIIIA1	45	-4.4011025	-1.1587764
RT	Ec107_like	46	-5.9614544	-13.411951
RT	OutgroupA	47	-1.8887191	-8.044529
RT	TypeIB2	48	1.0204873	-0.30631688
RT	TypeIA_IIAI	49	0.8162488	-5.327081
RT	Ec107_like	50	-5.6946235	3.0942411
RT	TypeIIIA3	51	-8.24047	-5.6359076
RT	TypeIV	52	5.1751676	0.59982485
RT	TypeIIIA1	53	-4.78567	-1.1767875
RT	TypeIB1	54	-0.53186834	-0.39656612
RT	TypeIA_IIAI	55	0.38275078	-5.1297617
RT	TypeIIIA1	56	-3.967437	0.45795584
RT	TypeIC1_IC2	57	5.2409286	-4.211817
RT	TypeIA_IIAI	58	-0.08646567	-5.1830363
RT	TypeIB1	59	-0.089966476	0.08113532
RT	TypeIC1_IC2	60	4.977767	-4.7592473
RT	Ec107_like	61	-6.216521	-13.549243
RT	TypeIIIA3	62	-8.381655	-5.197543
RT	Ec107_like	63	-5.9428444	-12.700463
RT	OutgroupA	64	-2.6574636	-7.758985
RT	Ec107_like	65	-6.054643	2.9877384
RT	TypeIIIA2	66	-1.0494052	-0.23800917
RT	OutgroupA	67	-2.5608778	-8.130127
RT	Ec107_like	68	-5.7933464	2.0324662
RT	Ec107_like	69	-5.9720697	-13.658447
RT	TypeIIIA2	70	-1.1591108	-2.863638
RT	TypeIV	71	6.1282935	1.8350664
RT	Ec107_like	72	-3.770804	1.6995099
RT	TypeIA_IIAI	73	0.065704666	-4.869961
RT	Ec107_like	74	-6.0101385	2.8408208
RT	Ec107_like	75	-6.45369	1.4260918
RT	TypeIIIA1	76	-3.3789108	-0.21965782
RT	TypeIIIA1	77	-4.768611	-1.2878594
RT	TypeIIIA1	78	-4.312601	-0.4545207
RT	TypeIA_IIAI	79	1.4335687	-5.9681807
RT	Ec107_like	80	-3.827961	1.7905867
RT	TypeIV	81	5.394236	-0.09669097
RT	TypeIV	82	4.64543	0.6034002
RT	TypeIIIA1	83	-8.365653	-4.559014
RT	TypeIB1	84	0.14918175	0.11902584
RT	TypeIIIA2	85	-1.3524778	-2.8060138
RT	Ec107_like	86	-3.674782	0.14512497
RT	TypeIB1	87	-0.03571993	-1.0814548
RT	TypeIB1	88	-0.28813347	-0.51678604
RT	TypeIC1_IC2	89	4.7765026	-5.010916
RT	TypeIX	90	0.4128193	-1.86179
RT	TypeIIIA1	91	-3.644824	-0.4463864
RT	Ec107_like	92	-6.684506	-13.442623
RT	TypeIIIA3	93	-8.145103	-5.591058
RT	TypeIIIA1	94	-4.441184	0.24030547
RT	TypeIIIA3	95	-8.937402	-4.2246437
RT	TypeIB2_firmi	96	0.5892363	0.28706694
RT	TypeIV	97	4.889594	0.48805612
RT	TypeIB2	98	0.7658795	0.06826713
RT	Ec107_like	99	-6.4170814	1.6293312
RT	Ec107_like	100	-5.764593	-13.275863
RT	TypeIV	101	5.033466	0.14712957
RT	Ec107_like	102	-5.883873	3.1949115
RT	TypeIIIA3	103	-8.733117	-4.200428
RT	TypeIV	104	4.6037636	0.33855915
RT	TypeIIIA1	105	-3.7632852	-0.5394687
RT	TypeIB2_firmi	106	0.4153373	0.5058086
RT	TypeIIIA1	107	-4.333711	-1.1185615
RT	TypeIIA3_proteo	108	-2.9635305	-4.185351
RT	TypeIV	109	4.9378853	-0.04146766
RT	OutgroupA	110	-1.6514117	-7.672283
RT	TypeIC1_IC2	111	5.2833824	-3.6554477
RT	TypeIV	112	4.774653	0.4113185
RT	TypeIA_IIAI	113	-0.07400896	-4.670061
RT	TypeIIIA1	114	-4.758431	-1.2042781
RT	TypeIA_IIAI	115	1.4252177	-5.9307313
RT	TypeIB1	116	-0.33188766	-0.60255945
RT	TypeIIA3_proteo	117	-2.9756348	-4.1963434
RT	OutgroupA	118	-2.6678083	-7.976288
RT	Ec107_like	119	-6.2636056	-13.741271
RT	TypeIV	120	5.9682574	1.6844275
RT	TypeIIIA1	121	-3.9015727	-0.10962223
RT	TypeIV	122	5.8011036	1.6130027
RT	Ec107_like	123	-5.657358	-13.025837
RT	TypeIB1	124	0.1608644	-0.40339577
RT	TypeIB1	125	0.5053026	-1.1262559
RT	TypeIV	126	5.533103	0.020745693
RT	TypeIIIA1	127	-4.0655065	0.45606086
RT	TypeIB2_firmi	128	0.41837335	0.5431014
RT	TypeIIA3_proteo	129	-2.55772	-3.7234144
RT	TypeIIIA1	130	-4.350983	0.09507149
RT	Ec107_like	131	-5.938499	-13.453535
RT	TypeIB1	132	0.9308581	-1.2729511
RT	TypeIB2	133	1.0435057	-0.020572422
RT	TypeIV	134	5.5469337	1.1871276
RT	Ec107_like	135	-3.9808803	-0.5308672
RT	TypeIIIA3	136	-8.48679	-5.0852838
RT	TypeIIIA2	137	-1.2739276	-2.772269
RT	TypeIB2_firmi	138	0.32157806	0.51994103
RT	TypeIB2	139	1.0053877	-0.3916653
RT	TypeIB1	140	0.5419246	0.51989025
RT	TypeIV	141	5.5599933	1.213039
RT	TypeIB2	142	1.0381241	-0.49814832
RT	TypeIIIA3	143	-8.212813	-5.265789
RT	TypeIX	144	2.006782	-1.281684
RT	TypeIIIA1	145	-4.498053	-1.2474082
RT	TypeIV	146	5.2440376	-0.21163055
RT	TypeIIIA3	147	-8.592368	-4.7881474
RT	TypeIB1	148	0.22876151	-0.42810386
RT	TypeIV	149	5.2762733	0.9471331
RT	TypeIV	150	4.9495406	-0.6217587
RT	OutgroupA	151	-2.3727129	-8.193763
RT	TypeIV	152	4.600771	0.7131759
RT	TypeIV	153	4.827912	-0.42822796
RT	TypeIB1	154	-0.21495144	0.20022446
RT	TypeIV	155	5.8446355	1.4185516
RT	TypeIIIA1	156	-4.6989713	-1.3088229
RT	TypeIV	157	5.578377	0.12917702
RT	TypeIIIA1	158	-3.856953	-0.19185783
RT	TypeIB1	159	0.38678876	-0.52252436
RT	Ec107_like	160	-5.8729854	1.8827803
RT	TypeIA_IIAI	161	-0.006968442	-5.395677
RT	TypeIV	162	1.1732972	-2.733005
RT	TypeIIA3_firmi	163	-3.2992604	1.7819406
RT	TypeIA_IIAI	164	1.104284	-5.5516577
RT	TypeIB1	165	0.78538704	-1.1841673
RT	Ec107_like	166	-6.449841	1.493823
RT	Ec107_like	167	-5.983416	-13.475121
RT	TypeIB1	168	0.79752195	-0.42822695
RT	Ec107_like	169	-6.0132866	2.9203274
RT	TypeIIIA1	170	-4.502215	0.07043755
RT	TypeIA_IIAI	171	1.3524007	-5.856791
RT	TypeIIIA2	172	-2.7947383	-4.251426
RT	TypeIIA3_proteo	173	-2.4883363	-3.288042
RT	TypeIB2_firmi	174	0.40566948	0.6310441
RT	TypeIIIA1	175	-3.8449824	-0.27351618
RT	Ec107_like	176	-6.046707	2.6998525
RT	TypeIIIA1	177	-4.2966146	0.4243843
RT	Ec107_like	178	-5.652425	-13.236303
RT	TypeIX	179	2.0513759	-1.1702968
RT	TypeIV	180	5.410773	-0.0034541355
RT	Ec107_like	181	-5.6191926	3.186283
RT	TypeXIIIB_Ne144	182	-6.043277	-4.8668723
