population	cosine
random_decoy	0.11783915
random_decoy	0.04732795
length_gc_matched_decoy	-0.041639507
length_gc_matched_decoy	0.4502554
random_decoy	0.17566709
type_matched_decoy	0.25646484
length_gc_matched_decoy	0.07527736
length_gc_matched_decoy	0.29531053
random_decoy	0.23573056
random_decoy	0.06562793
length_gc_matched_decoy	0.20165549
length_gc_matched_decoy	0.1365003
random_decoy	0.1551875
type_matched_decoy	0.85609466
random_decoy	0.33968586
random_decoy	0.24833158
type_matched_decoy	0.48075378
type_matched_decoy	0.47687137
length_gc_matched_decoy	0.41166508
type_matched_decoy	0.60325116
type_matched_decoy	0.5134016
random_decoy	0.057772834
length_gc_matched_decoy	0.097588494
random_decoy	0.009682424
random_decoy	-0.0086716935
length_gc_matched_decoy	0.5675343
random_decoy	0.031610966
random_decoy	-0.01589479
random_decoy	0.0774571
type_matched_decoy	0.584506
random_decoy	-0.08807378
type_matched_decoy	0.47495824
random_decoy	-0.022668093
length_gc_matched_decoy	0.4208109
type_matched_decoy	0.10593678
type_matched_decoy	0.2063433
type_matched_decoy	0.09030154
type_matched_decoy	0.1854237
length_gc_matched_decoy	0.7049092
length_gc_matched_decoy	0.09632901
type_matched_decoy	0.42591935
random_decoy	-0.19774714
random_decoy	-0.060114704
type_matched_decoy	0.18960562
length_gc_matched_decoy	0.6714791
random_decoy	0.107298896
type_matched_decoy	0.4352282
length_gc_matched_decoy	0.018550731
length_gc_matched_decoy	0.31139517
type_matched_decoy	0.29749465
random_decoy	0.07327926
length_gc_matched_decoy	0.09474452
length_gc_matched_decoy	0.20869473
length_gc_matched_decoy	-0.09018469
random_decoy	0.07092255
type_matched_decoy	0.21881166
type_matched_decoy	0.3487243
type_matched_decoy	0.35232866
length_gc_matched_decoy	0.34681648
length_gc_matched_decoy	0.4022451
random_decoy	-0.1318853
length_gc_matched_decoy	0.18210588
random_decoy	-0.021758646
length_gc_matched_decoy	-0.0029314086
type_matched_decoy	0.11910576
random_decoy	0.14786437
type_matched_decoy	0.57525104
type_matched_decoy	0.53196645
random_decoy	0.26725996
random_decoy	0.03661291
type_matched_decoy	0.58457696
random_decoy	-0.068432964
random_decoy	0.0882439
type_matched_decoy	0.7802529
type_matched_decoy	0.41717318
length_gc_matched_decoy	0.5551459
type_matched_decoy	0.44218424
random_decoy	0.022368323
type_matched_decoy	0.19536278
random_decoy	0.07055344
