dim	canonical_corr	share_of_total_corr	cum_share	corr_rtdim_rt_len	corr_rtdim_nc_len	corr_rtdim_nc_gc	eta2_retron_type_rt	eta2_retron_type_nc
1	0.9865	0.0353	0.0353	0.08	0.098	0.725	0.8092	0.7236
2	0.978	0.0349	0.0702	-0.423	0.154	-0.224	0.8531	0.7428
3	0.9685	0.0346	0.1048	-0.007	-0.058	-0.33	0.8796	0.6114
4	0.9576	0.0342	0.139	0.002	0.665	0.253	0.8394	0.5073
5	0.9513	0.034	0.173	0.143	-0.144	0.41	0.5377	0.3872
6	0.9466	0.0338	0.2069	-0.104	0.057	-0.156	0.8234	0.582
7	0.9334	0.0334	0.2402	0.009	0.107	-0.268	0.4437	0.2112
8	0.9264	0.0331	0.2733	0.026	0.061	-0.393	0.6611	0.3126
9	0.9163	0.0327	0.3061	-0.173	0.11	-0.525	0.6598	0.3486
10	0.9114	0.0326	0.3386	-0.151	-0.002	0.107	0.4747	0.3162
11	0.9005	0.0322	0.3708	0.224	-0.203	0.197	0.4602	0.2471
12	0.899	0.0321	0.4029	0.124	0.114	-0.173	0.5569	0.2602
13	0.8951	0.032	0.4349	0.011	0.27	0.54	0.5191	0.3462
14	0.8899	0.0318	0.4667	0.009	-0.464	-0.216	0.5884	0.2485
15	0.8853	0.0316	0.4983	0.128	0.044	0.084	0.6767	0.2649
16	0.8783	0.0314	0.5297	0.006	0.029	0.102	0.4923	0.3706
17	0.8698	0.0311	0.5608	0.013	0.257	0.169	0.725	0.4003
18	0.8658	0.0309	0.5917	0.053	-0.206	0.097	0.6641	0.4733
19	0.856	0.0306	0.6223	0.066	-0.342	-0.074	0.354	0.3076
20	0.8514	0.0304	0.6528	0.06	0.308	0.046	0.44	0.1934
21	0.8453	0.0302	0.683	-0.013	0.435	0.253	0.4065	0.4018
22	0.8385	0.03	0.7129	0.063	0.237	-0.081	0.4081	0.1982
23	0.8309	0.0297	0.7426	-0.088	-0.077	0.016	0.4274	0.3284
24	0.8245	0.0295	0.7721	-0.087	0.144	0.076	0.3864	0.2317
25	0.8179	0.0292	0.8013	0.038	-0.14	-0.257	0.364	0.1401
26	0.814	0.0291	0.8304	-0.295	-0.024	-0.337	0.3524	0.2703
27	0.8031	0.0287	0.8591	0.075	-0.082	-0.033	0.2195	0.1701
28	0.8008	0.0286	0.8877	-0.006	-0.367	-0.246	0.469	0.1717
29	0.7989	0.0285	0.9163	0.085	-0.508	-0.017	0.7611	0.2151
30	0.7906	0.0283	0.9445	0.144	-0.052	0.001	0.5005	0.37
31	0.7794	0.0278	0.9724	0.03	-0.2	0.038	0.2616	0.2627
32	0.7737	0.0276	1.0	-0.038	0.074	0.086	0.222	0.3141
