n_components	diff	median	trimmed_mean_90	ci_lo	ci_hi	frac_components_favouring_first	n_eff	contrast	population	status
1075	-0.02336626345760394	-0.02587699292221779	-0.026948030116010997	-0.027745562253136395	-0.01902097562863154	0.7609302325581395	1075.0	T - U	all	
1075	-0.042560229544322675	-0.034913034150094724	-0.04117339305784967	-0.046190103309013957	-0.038928830241292116	0.8604651162790697	1075.0	G - U	all	
1075	-0.04806682548411238	-0.03988354252833948	-0.045955034879551805	-0.051569862971871216	-0.044577864889808874	0.8725581395348837	1075.0	R - U	all	
1075	-0.024700562026508444	-0.013598079764686855	-0.020114088289327637	-0.029072240708837987	-0.020373936914935758	0.6493023255813953	1075.0	R - T	all	
1075	-0.0055065959397897065	-0.0026424370923090468	-0.0036618964695112935	-0.007968814466658236	-0.0031231573651863353	0.5534883720930233	1075.0	R - G	all	
1075	-0.01919396608671874	-0.00978651629082461	-0.015758675414869253	-0.02339045433608988	-0.014983225736638026	0.6241860465116279	1075.0	G - T	all	
1075	-0.005903819818172526	-0.006147107400529261	-0.008882990628000045	-0.011085393469362066	-0.00023409548263804704	0.5702325581395349	1075.0	P - T	all	
1075	-0.018796742208335916	-0.0083860335811492	-0.011820215082024665	-0.024600744704423996	-0.013589147509114928	0.5972093023255814	1075.0	R - P	all	
247	-0.02593921886397549	-0.011204969330133041	-0.0191459046001709	-0.03508011802558959	-0.01730904800223116	0.6356275303643725	247.0	R - T	T4	OK
247	-0.004986379944095227	-0.0036423078930105657	-0.003971593355730184	-0.00945004335830951	-0.0005527560767854039	0.5668016194331984	247.0	R - G	T4	OK
584	-0.028475390665207344	-0.013447346382276182	-0.021120611924477742	-0.0348940730804863	-0.022604234396445957	0.672945205479452	584.0	R - T	T3	OK
584	-0.005641783581186344	-0.0019836311701835196	-0.003295410541776899	-0.008755116244646064	-0.002708291693233528	0.535958904109589	584.0	R - G	T3	OK
284	-0.02532376407373267	-0.01298583780604834	-0.020990914406586042	-0.03409511007052496	-0.01681720152192398	0.6549295774647887	284.0	R - T	near_dup_sensitivity	OK
284	-0.002101840152242025	-0.0012302102606041032	-0.0018521718979951553	-0.006009444221056286	0.0019628428863705427	0.5316901408450704	284.0	R - G	near_dup_sensitivity	OK
