component_id	n_pairs	n_tok	n_distinct_rt	n_distinct_ncrna	n_retron_types	n_rt_homolog_groups	cv_fold	dominant_retron_type	any_T4	any_T3	in_sensitivity_population	mean_nearest_train_rt_cosine	relatedness_stratum	nll_per_nt_U	nll_per_nt_T	nll_per_nt_G	nll_per_nt_R	nll_per_nt_P	delta_R_minus_T	delta_R_minus_G	delta_R_minus_P	delta_P_minus_T	delta_logP_C1	n_pairs_C1	delta_logP_C2	n_pairs_C2	delta_logP_C3	n_pairs_C3	delta_logP_C4	n_pairs_C4
CMP00000	5711	769129	5579	1625	1	243	0	TypeIC1_IC2	1	1	0	0.987013	Q4	1.443808	1.335098	1.381594	1.388543	1.368616	0.053445	0.006949	0.019927	0.033518	0.007198	5711	0.006998	5678	-0.000828	5711	0.002322	5544
CMP00001	4024	524463	3959	2808	3	168	1	OutgroupA	1	1	0	0.984012	Q2	1.39201	1.375268	1.368942	1.359513	1.371643	-0.015755	-0.009429	-0.01213	-0.003625	0.008214	4024	0.008104	4000	-4.8e-05	4024	0.002094	3926
CMP00002	3455	639425	3136	1550	2	164	2	Ec107_like	1	1	0	0.97974	Q1	1.41542	1.552235	1.437071	1.448641	1.462431	-0.103594	0.01157	-0.01379	-0.089804	0.011854	3455	0.009223	3443	0.000395	3455	0.002091	3346
CMP00003	2917	456996	2389	1263	3	95	3	TypeIA_IIAI	1	1	0	0.98526	Q3	1.452617	1.412519	1.394427	1.38935	1.376743	-0.023169	-0.005077	0.012607	-0.035776	0.002013	2916	0.000977	2899	-0.0018	2917	-0.001142	2839
CMP00004	1889	400130	1842	1415	5	51	4	TypeXIIIB_Ne144	1	1	0	0.980333	Q1	1.397679	1.386733	1.387805	1.37344	1.357607	-0.013293	-0.014365	0.015833	-0.029126	0.024965	1888	0.017628	1874	6e-06	1889	0.012325	1866
CMP00005	823	190927	794	651	5	20	4	TypeXIIIC_Mx162	1	1	0	0.982736	Q1	1.398374	1.377768	1.415114	1.376282	1.387557	-0.001486	-0.038832	-0.011275	0.009789	0.013178	821	0.006366	803	-0.000408	823	-0.000925	814
CMP00006	809	151813	756	292	1	39	4	Ec107_like	1	1	0	0.987035	Q3	1.399374	1.419018	1.420377	1.380247	1.398897	-0.038771	-0.04013	-0.01865	-0.020121	0.004019	809	0.003733	786	-0.000176	809	0.003141	782
CMP00007	735	69560	725	265	1	33	3	TypeIV	1	1	0	0.989081	Q3	1.48777	1.472081	1.43587	1.459202	1.503517	-0.012879	0.023332	-0.044315	0.031436	-0.00255	735	-0.002318	720	0.000572	735	0.000666	707
CMP00008	696	105841	590	72	1	14	2	TypeIB2	1	1	0	0.990341	Q4	1.422874	1.336141	1.411626	1.393701	1.411056	0.05756	-0.017925	-0.017355	0.074915	5.5e-05	696	0.000863	558	0.000101	696	0.002799	684
CMP00009	530	104241	427	261	1	15	4	TypeXIIIA_firmi	0	1	0	0.98331	Q2	1.408673	1.432496	1.413177	1.393754	1.411663	-0.038742	-0.019423	-0.017909	-0.020833	0.03247	530	0.018728	517	0.000804	530	0.004045	524
CMP00010	453	77515	401	49	1	17	3	TypeV	1	1	0	0.988514	Q4	1.419281	1.382207	1.382898	1.372558	1.434262	-0.009649	-0.01034	-0.061704	0.052055	0.002422	453	0.000823	367	-0.001326	453	0.000935	425
CMP00011	342	73132	325	242	1	15	1	TypeIIIA2	1	1	0	0.989922	Q4	1.41268	1.394903	1.387905	1.395252	1.380517	0.000349	0.007347	0.014735	-0.014386	0.01229	342	0.011953	335	0.000183	342	0.005639	335
CMP00012	280	45508	269	128	1	10	4	TypeIIA3_proteo	1	1	0	0.988086	Q3	1.410644	1.397166	1.383796	1.402776	1.464144	0.00561	0.01898	-0.061368	0.066978	0.003252	280	0.001516	252	-2.2e-05	280	0.00154	275
CMP00013	262	37003	256	216	1	13	3	TypeIIIA1	1	1	0	0.990409	Q4	1.423247	1.407478	1.394179	1.385019	1.397311	-0.022459	-0.00916	-0.012292	-0.010167	0.00236	262	0.002086	247	-0.000544	262	0.000599	256
CMP00014	258	48304	243	143	1	20	2	TypeIIA3_firmi	1	1	0	0.989444	Q3	1.440715	1.379636	1.39925	1.379364	1.396853	-0.000272	-0.019886	-0.017489	0.017217	0.000816	258	0.000559	236	-0.000222	258	0.001033	246
CMP00015	204	57760	182	34	1	11	4	TypeIIIA3	1	1	0	0.987733	Q4	1.408432	1.394126	1.402858	1.427079	1.378646	0.032953	0.024221	0.048433	-0.01548	0.002931	204	0.0093	187	-0.000273	204	0.000738	199
CMP00016	199	27939	191	121	3	14	1	TypeIIIA1	1	1	0	0.988748	Q3	1.417074	1.39745	1.40959	1.404177	1.41072	0.006727	-0.005413	-0.006543	0.01327	0.007975	199	0.007329	181	0.000404	199	0.003904	192
CMP00017	182	36313	172	59	1	8	3	TypeIB2	1	1	0	0.992829	Q4	1.43271	1.429093	1.40631	1.46559	2.330358	0.036497	0.05928	-0.864768	0.901265	-0.010435	182	-0.009662	169	0.004209	182	-0.00076	179
CMP00018	179	33874	170	121	1	6	2	TypeV	1	1	0	0.990915	Q4	1.442862	1.387955	1.405913	1.395283	1.394121	0.007328	-0.01063	0.001162	0.006166	0.004021	179	0.004367	157	-0.00067	179	0.004587	179
CMP00019	168	45048	166	139	2	16	4	TypeIIIA3	1	1	1	0.990209	Q4	1.417028	1.376831	1.392227	1.385989	1.362315	0.009158	-0.006238	0.023674	-0.014516	0.012611	168	0.009313	167	0.00034	168	0.001018	164
CMP00020	163	22522	162	149	1	16	3	TypeIX	1	1	0	0.987155	Q2	1.453099	1.432663	1.412336	1.412178	1.423474	-0.020485	-0.000158	-0.011296	-0.009189	0.006783	163	0.006861	158	0.000349	163	0.003731	156
CMP00021	159	28507	158	16	1	6	1	TypeIB2	1	1	0	0.991499	Q4	1.407639	1.418542	1.40143	1.404777	1.409639	-0.013765	0.003347	-0.004862	-0.008903	0.000634	159	0.001324	55	-0.000342	159	-4.6e-05	85
CMP00022	154	25299	149	139	1	12	2	TypeIA_IIAI	0	0	1	0.987923	Q3	1.409875	1.38771	1.394167	1.38885	1.392465	0.00114	-0.005317	-0.003615	0.004755	0.004897	154	0.010692	144	0.000583	154	0.006981	146
CMP00023	148	34197	142	77	1	4	4	TypeXIIIB_Ne144	1	1	0	0.991953	Q4	1.409646	1.415364	1.388937	1.38489	1.378097	-0.030474	-0.004047	0.006793	-0.037267	0.065853	148	0.051907	147	-0.000432	148	0.002128	146
