source_id	evidence_tier	region_id	region_name	series	rt0_rt7_scope	n_literal_raw	n_literal_layout	n_range_expanded_raw	n_range_expanded_layout	n_named_total_raw	routes_agree	pages_with_hit	unit	frame	stratum	denominator
poch1989	TIER1	domain_0	domain/subdomain 0	numbered_rt_series	RT0_SEPARATE	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
poch1989	TIER1	domain_1	domain/subdomain 1	numbered_rt_series	RT1_RT7	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
poch1989	TIER1	domain_2	domain/subdomain 2	numbered_rt_series	RT1_RT7	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
poch1989	TIER1	domain_3	domain/subdomain 3	numbered_rt_series	RT1_RT7	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
poch1989	TIER1	domain_4	domain/subdomain 4	numbered_rt_series	RT1_RT7	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
poch1989	TIER1	domain_5	domain/subdomain 5	numbered_rt_series	RT1_RT7	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
poch1989	TIER1	domain_6	domain/subdomain 6	numbered_rt_series	RT1_RT7	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
poch1989	TIER1	domain_7	domain/subdomain 7	numbered_rt_series	RT1_RT7	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
poch1989	TIER1	rt_domain_whole	RT domain (whole)	whole_domain	CONTAINER	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
poch1989	TIER1	domain_2a	domain/subdomain 2a	numbered_rt_series_insertion	OUTSIDE_RT1_RT7	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
