statement_id	source_id	g1_assignment	statement	quantity	published_value	test_kind	testable_on_this_substrate	note
H01	xiong1990	X01	Seven peptide regions (domains 1-7) are common to all elements	n_blocks	7	BLOCK_COUNT	YES	The central structural claim of the founding partition.
H02	xiong1990	X01	The seven domains contain 178 amino acids in total	total_block_length_aa	178	LENGTH_TOTAL	PARTIAL	Xiong counted across all RT classes; this substrate is one class, so agreement in magnitude is informative and exact agreement is not expected.
H03	xiong1990	X03	42 conserved positions were identified within the seven domains	n_conserved_positions	42	POSITION_COUNT	PARTIAL	Same caveat as H02: a different sequence set, the same criterion.
H04	zimmerly2001	Z10	RT subdomains 0-7 are equally conserved within the mitochondrial and bacterial groups, 90 and 94 residues respectively	conserved_residues_mito_bact	90|94	PER_GROUP_COUNT	YES	Measured on this very alignment by its own authors, so it is the closest thing to a ground truth this gate has.
H05	zimmerly2001	Z11	The catalytic YxDD motif lies in subdomain 5	block_index_of_yxdd	5	ORDINAL_POSITION	YES	An ordering constraint that numbers the recovered blocks without importing any modern boundary.
H06	zimmerly2001	Z08	The 4/5 spacer varies from 1 to 179 amino acids	spacer_4_5_range_aa	1-179	SPACER_RANGE	YES	Tests whether the gap between recovered blocks 4 and 5 behaves as the source says a spacer does.
H07	zimmerly2001	Z08	The 7/X spacer ranges from 0 to 235 amino acids	spacer_7_X_range_aa	0-235	SPACER_RANGE	PARTIAL	Requires domain X to be located, which this gate does not reconstruct.
H08	xiong1990	X08	Most RNA viruses lack a complete domain 6	block_6_occupancy	incomplete in whole classes	OCCUPANCY_PATTERN	PARTIAL	The classes Xiong names are absent here; what is testable is whether one recovered block is systematically less occupied than the others.
H09	blocker2005	B02	LtrA RT0 is the N-terminal fragment M1-R85, and RT1/7 spans R86-R364	ltra_block_span	86-364	EXTERNAL_COORDINATE_TEST	YES	Independent and structural. Used only to test a reconstruction built without it; it may constrain or falsify, never define.
H10	zimmerly2001	Z06	Subdomain 0 is conserved only between group II intron and non-LTR RTs	rt0_cross_class_scope	group II intron and non-LTR only	CROSS_CLASS_SCOPE	NO	Untestable on a group II intron only alignment: there is no non-LTR comparison class here. Reported OUT_OF_FRAME rather than scored.
H11	zimmerly2001	Z04	The subdomain labels were taken from earlier work and adjusted to the boundaries of conservation seen in this alignment	labels_adjusted_to_this_alignment	qualitative	PROVENANCE_STATEMENT	YES	If the conservation boundaries in this alignment do not reproduce a seven-way partition, that bears directly on what the published labels rest on.
