key	bundle	table	selector	column	raw_value	rendered	unit	denominator
n_claims	rt07_g3_history_and_definition	g3_summary.tsv	quantity=prior_claims_audited	value	13	13	resolved report value	29 declared lookups
n_repro	rt07_g3_history_and_definition	g3_summary.tsv	quantity=verdict_reproduced_same_object_same_frame	value	2	2	resolved report value	29 declared lookups
n_partial	rt07_g3_history_and_definition	g3_summary.tsv	quantity=verdict_partially_reproduced	value	1	1	resolved report value	29 declared lookups
n_circular	rt07_g3_history_and_definition	g3_summary.tsv	quantity=verdict_circular_or_seed_dependent	value	3	3	resolved report value	29 declared lookups
n_objmis	rt07_g3_history_and_definition	g3_summary.tsv	quantity=verdict_object_mismatch	value	2	2	resolved report value	29 declared lookups
n_framemis	rt07_g3_history_and_definition	g3_summary.tsv	quantity=verdict_frame_mismatch	value	1	1	resolved report value	29 declared lookups
n_withdrawn	rt07_g3_history_and_definition	g3_summary.tsv	quantity=verdict_withdrawn_by_prior_work	value	2	2	resolved report value	29 declared lookups
n_nottest	rt07_g3_history_and_definition	g3_summary.tsv	quantity=verdict_not_testable	value	2	2	resolved report value	29 declared lookups
anchor_seed_pct	rt07_g3_history_and_definition	g3_summary.tsv	quantity=anchors72_in_seed_pct	value	100.00	100.00	resolved report value	29 declared lookups
anchor_retron_pct	rt07_g3_history_and_definition	g3_summary.tsv	quantity=anchors72_also_in_retron_population_pct	value	63.89	63.89	resolved report value	29 declared lookups
gold_seed_pct	rt07_g3_history_and_definition	g3_summary.tsv	quantity=gold175_uniq_in_seed_pct	value	25.73	25.73	resolved report value	29 declared lookups
gold_outside	rt07_g3_history_and_definition	g3_summary.tsv	quantity=gold_panel_members_outside_the_seed	value	127	127	resolved report value	29 declared lookups
landmarks_inside	rt07_g3_history_and_definition	g3_summary.tsv	quantity=prior_landmarks_inside_a_g2_region	value	27/28	27/28	resolved report value	29 declared lookups
blocks_anchored	rt07_g3_history_and_definition	g3_summary.tsv	quantity=prior_frame_blocks_fixed_by_a_published_motif	value	4/29	4/29	resolved report value	29 declared lookups
collapsing	rt07_g3_history_and_definition	g3_summary.tsv	quantity=prior_labels_collapsing_onto_one_g2_region	value	RT5 and RT6	RT5 and RT6	resolved report value	29 declared lookups
rt0_verdict	rt07_g3_history_and_definition	g3_summary.tsv	quantity=rt0_object_verdict	value	OBJECT_MISMATCH	OBJECT_MISMATCH	resolved report value	29 declared lookups
controls_pass	rt07_g3_history_and_definition	g3_summary.tsv	quantity=controls_pass	value	4	4	resolved report value	29 declared lookups
rt0_frame_extent	rt07_g3_history_and_definition	g3_rt0_object_audit.tsv	quantity=prior_frame_ltra_extent	value	53-361	53-361	resolved report value	29 declared lookups
rt0_alanine	rt07_g3_history_and_definition	g3_rt0_object_audit.tsv	quantity=blocker_rt0_conserved_alanine_ltra	value	39	39	resolved report value	29 declared lookups
rt0_covered_by_prior	rt07_g3_history_and_definition	g3_rt0_object_audit.tsv	quantity=prior_frame_covers_that_alanine	value	NO	NO	resolved report value	29 declared lookups
rt0_covered_by_g2	rt07_g3_history_and_definition	g3_rt0_object_audit.tsv	quantity=g2_region_covering_that_alanine	value	1	1	resolved report value	29 declared lookups
rt5_block	rt07_g3_history_and_definition	g3_prior_region_correspondence.tsv	prior_region_id=RT17_CORE:RT5	best_g2_block	5	5	resolved report value	29 declared lookups
rt6_block	rt07_g3_history_and_definition	g3_prior_region_correspondence.tsv	prior_region_id=RT17_CORE:RT6	best_g2_block	5	5	resolved report value	29 declared lookups
rt1_ltra	rt07_g3_history_and_definition	g3_prior_region_correspondence.tsv	prior_region_id=RT17_CORE:RT1	ltra_start	49	49	resolved report value	29 declared lookups
rt1_block	rt07_g3_history_and_definition	g3_prior_region_correspondence.tsv	prior_region_id=RT17_CORE:RT1	best_g2_block	1	1	resolved report value	29 declared lookups
rt17_leng	rt07_g3_history_and_definition	g3_frame_identity.tsv	frame_id=RT17_CORE	leng	305	305	resolved report value	29 declared lookups
rt17_name	rt07_g3_history_and_definition	g3_frame_identity.tsv	frame_id=RT17_CORE	declared_name_inside_file	B_span17	B_span17	resolved report value	29 declared lookups
pdb_anchors	rt07_g3_history_and_definition	g3_anchor_composition.tsv	property=id_prefix:PDB	value	26	26	resolved report value	29 declared lookups
tagged_anchors	rt07_g3_history_and_definition	g3_anchor_composition.tsv	property=expression_tag:His6	value	7	7	resolved report value	29 declared lookups
