profile_family	challenge_family	challenge_independence	direction	n_challenge	n_detected_NON_DISCRIMINATING	median_best_bitscore	claim_status
Retrons	Retrons	NON_INDEPENDENT_CHALLENGE	SELF	26	26	278.0	NOT_REPORTABLE_challenge_set_is_not_independent
Retrons	GII	NON_INDEPENDENT_CHALLENGE	CROSS	26	26	53.0	NOT_REPORTABLE_challenge_set_is_not_independent
Retrons	DGRs	NON_INDEPENDENT_CHALLENGE	CROSS	26	26	36.2	NOT_REPORTABLE_challenge_set_is_not_independent
Retrons	CRISPR	NON_INDEPENDENT_CHALLENGE	CROSS	26	26	59.2	NOT_REPORTABLE_challenge_set_is_not_independent
Retrons	UG3	NON_INDEPENDENT_CHALLENGE	CROSS	26	26	40.8	NOT_REPORTABLE_challenge_set_is_not_independent
Retrons	UG5	INDEPENDENT_CHALLENGE	CROSS	21	20	29.5	REPORTABLE
Retrons	AbiA	INDEPENDENT_CHALLENGE	CROSS	7	7	28.4	REPORTABLE
GII	Retrons	NON_INDEPENDENT_CHALLENGE	CROSS	26	26	41.6	NOT_REPORTABLE_challenge_set_is_not_independent
GII	GII	NON_INDEPENDENT_CHALLENGE	SELF	26	26	421.9	NOT_REPORTABLE_challenge_set_is_not_independent
GII	DGRs	NON_INDEPENDENT_CHALLENGE	CROSS	26	26	107.3	NOT_REPORTABLE_challenge_set_is_not_independent
GII	CRISPR	NON_INDEPENDENT_CHALLENGE	CROSS	26	26	250.1	NOT_REPORTABLE_challenge_set_is_not_independent
GII	UG3	NON_INDEPENDENT_CHALLENGE	CROSS	26	26	55.1	NOT_REPORTABLE_challenge_set_is_not_independent
GII	UG5	INDEPENDENT_CHALLENGE	CROSS	21	21	20.6	REPORTABLE
GII	AbiA	INDEPENDENT_CHALLENGE	CROSS	7	7	31.2	REPORTABLE
DGRs	Retrons	NON_INDEPENDENT_CHALLENGE	CROSS	26	26	34.0	NOT_REPORTABLE_challenge_set_is_not_independent
DGRs	GII	NON_INDEPENDENT_CHALLENGE	CROSS	26	26	128.9	NOT_REPORTABLE_challenge_set_is_not_independent
DGRs	DGRs	NON_INDEPENDENT_CHALLENGE	SELF	26	26	348.1	NOT_REPORTABLE_challenge_set_is_not_independent
DGRs	CRISPR	NON_INDEPENDENT_CHALLENGE	CROSS	26	26	138.3	NOT_REPORTABLE_challenge_set_is_not_independent
DGRs	UG3	NON_INDEPENDENT_CHALLENGE	CROSS	26	26	58.5	NOT_REPORTABLE_challenge_set_is_not_independent
DGRs	UG5	INDEPENDENT_CHALLENGE	CROSS	21	21	53.9	REPORTABLE
DGRs	AbiA	INDEPENDENT_CHALLENGE	CROSS	7	7	27.3	REPORTABLE
CRISPR	Retrons	NON_INDEPENDENT_CHALLENGE	CROSS	26	26	53.5	NOT_REPORTABLE_challenge_set_is_not_independent
CRISPR	GII	NON_INDEPENDENT_CHALLENGE	CROSS	26	26	235.5	NOT_REPORTABLE_challenge_set_is_not_independent
