family_A	via_B	family_C	n_testable_positions	n_consistent_within_2	pct_transitively_consistent
Retrons	GII	DGRs	237	231	97.5
Retrons	GII	CRISPR	197	187	94.9
Retrons	GII	UG3	186	173	93.0
Retrons	GII	UG5	110	76	69.1
Retrons	GII	AbiA	170	126	74.1
Retrons	DGRs	GII	248	237	95.6
Retrons	DGRs	CRISPR	195	192	98.5
Retrons	DGRs	UG3	190	160	84.2
Retrons	DGRs	UG5	114	88	77.2
Retrons	DGRs	AbiA	141	109	77.3
Retrons	CRISPR	GII	201	187	93.0
Retrons	CRISPR	DGRs	193	192	99.5
Retrons	CRISPR	UG3	166	152	91.6
Retrons	CRISPR	UG5	110	72	65.5
Retrons	CRISPR	AbiA	169	139	82.2
Retrons	UG3	GII	194	171	88.1
Retrons	UG3	DGRs	167	153	91.6
Retrons	UG3	CRISPR	164	151	92.1
Retrons	UG3	UG5	107	78	72.9
Retrons	UG3	AbiA	160	146	91.2
Retrons	UG5	GII	95	71	74.7
Retrons	UG5	DGRs	99	84	84.8
Retrons	UG5	CRISPR	92	70	76.1
Retrons	UG5	UG3	102	76	74.5
Retrons	UG5	AbiA	88	80	90.9
Retrons	AbiA	GII	170	127	74.7
Retrons	AbiA	DGRs	110	103	93.6
Retrons	AbiA	CRISPR	157	133	84.7
Retrons	AbiA	UG3	149	147	98.7
Retrons	AbiA	UG5	87	75	86.2
GII	Retrons	DGRs	237	231	97.5
GII	Retrons	CRISPR	197	187	94.9
GII	Retrons	UG3	186	173	93.0
GII	Retrons	UG5	110	75	68.2
GII	Retrons	AbiA	171	126	73.7
GII	DGRs	Retrons	234	230	98.3
GII	DGRs	CRISPR	262	262	100.0
GII	DGRs	UG3	225	203	90.2
GII	DGRs	UG5	216	180	83.3
GII	DGRs	AbiA	147	111	75.5
GII	CRISPR	Retrons	193	190	98.4
GII	CRISPR	DGRs	264	263	99.6
GII	CRISPR	UG3	208	205	98.6
GII	CRISPR	UG5	238	221	92.9
GII	CRISPR	AbiA	168	154	91.7
