raw_myrt_family_label_set	n_eligible	n_inspectable	inspectable_fraction	median_MAPPED_fraction_inspectable	median_AMBIGUOUS_fraction_inspectable	median_UNSUPPORTED_fraction_inspectable	median_DELETED_fraction_inspectable	n_cat_state_mapped	cat_mapped_fraction_of_eligible	n_cat_confirmed	cat_confirmed_over_cat_mapped
RVT-GII	176126	175588	0.9969	0.9400	0.0000	0.0000	0.0467	169972	0.9651	167277	0.9841
Retron	61395	53722	0.8750	0.4933	0.1133	0.1400	0.2000	57217	0.9319	54878	0.9591
RVT-DGRs	59487	58975	0.9914	0.8267	0.0467	0.0333	0.0667	58590	0.9849	55938	0.9547
RVT-UG2	6510	6304	0.9684	0.3933	0.0600	0.0467	0.5267	6374	0.9791	6363	0.9983
RVT-UG8	6264	6015	0.9602	0.4800	0.0800	0.1133	0.3067	6030	0.9626	5945	0.9859
RVT-UG5	6120	1994	0.3258	0.3600	0.0733	0.0733	0.4933	6067	0.9913	6063	0.9993
RVT-AbiP2	5665	5623	0.9926	0.4667	0.0533	0.0667	0.3133	5606	0.9896	5568	0.9932
RVT-UG3	4886	4867	0.9961	0.5400	0.1000	0.0867	0.2667	4880	0.9988	4874	0.9988
RVT-UG17	3727	3713	0.9962	0.7733	0.0800	0.0400	0.0867	3721	0.9984	3715	0.9984
RVT-UG26	3612	3548	0.9823	0.7933	0.0533	0.0200	0.1267	3592	0.9945	3574	0.9950
RVT-CRISPR	3531	3526	0.9986	0.9267	0.0067	0.0000	0.0533	3481	0.9858	3323	0.9546
RVT-UG15	3154	3137	0.9946	0.4467	0.0733	0.1400	0.3467	3138	0.9949	996	0.3174
RVT-UG7	3051	3043	0.9974	0.5867	0.0467	0.0400	0.3200	3041	0.9967	2952	0.9707
RVT-UG4	2972	2966	0.9980	0.7467	0.0133	0.0067	0.2200	2923	0.9835	2893	0.9897
MULTI	2824	2584	0.9150	0.5133	0.0733	0.0600	0.2733	2500	0.8853	2309	0.9236
RVT-UG12	2147	2120	0.9874	0.3767	0.0733	0.0600	0.3400	2132	0.9930	1527	0.7162
RVT-CRISPR-like	1826	1687	0.9239	0.7267	0.0533	0.0400	0.0867	1644	0.9003	1349	0.8206
RVT-UG1	1642	1575	0.9592	0.4133	0.1133	0.1133	0.3333	1607	0.9787	1607	1.0000
RVT-G2L	1292	1290	0.9985	0.7733	0.0933	0.0667	0.0667	1288	0.9969	1288	1.0000
RVT-UG28	992	987	0.9950	0.7800	0.0467	0.0733	0.0867	985	0.9929	983	0.9980
RVT-UG27	927	923	0.9957	0.8133	0.0733	0.0267	0.0733	923	0.9957	923	1.0000
RVT-UG19	926	908	0.9806	0.6800	0.0800	0.0733	0.1267	920	0.9935	915	0.9946
RVT-UG13	885	877	0.9910	0.6267	0.0667	0.0600	0.2467	872	0.9853	478	0.5482
RVT-UG24	839	190	0.2265	0.3467	0.0933	0.1133	0.4067	511	0.6091	511	1.0000
RVT-G2L4	832	827	0.9940	0.8400	0.0467	0.0467	0.0533	823	0.9892	822	0.9988
RVT-AbiK	826	800	0.9685	0.3467	0.0933	0.0400	0.3667	807	0.9770	803	0.9950
RVT-UG14	806	699	0.8672	0.4067	0.0867	0.0733	0.3333	798	0.9901	796	0.9975
RVT-UG28b	798	790	0.9900	0.6333	0.0933	0.0933	0.1033	763	0.9561	761	0.9974
RVT-UG11	740	621	0.8392	0.4867	0.0667	0.0667	0.3667	708	0.9568	705	0.9958
RVT-UG23	654	646	0.9878	0.6400	0.0533	0.0467	0.1667	646	0.9878	467	0.7229
RVT-UG9	635	628	0.9890	0.5533	0.0667	0.1067	0.1933	626	0.9858	590	0.9425
RVT-UG10	602	594	0.9867	0.5067	0.0867	0.0933	0.3200	595	0.9884	588	0.9882
RVT-UG16	528	443	0.8390	0.4333	0.0867	0.0733	0.3533	497	0.9413	484	0.9738
RVT-UG22	459	447	0.9739	0.5800	0.0400	0.0267	0.3533	451	0.9826	389	0.8625
RVT-UG6	318	130	0.4088	0.3200	0.0533	0.0400	0.5933	140	0.4403	136	0.9714
RVT-UG20	288	251	0.8715	0.6200	0.0333	0.0467	0.3000	276	0.9583	276	1.0000
RVT-G2Lc	281	280	0.9964	0.8467	0.0533	0.0400	0.0533	280	0.9964	280	1.0000
RVT-G2Lb	249	239	0.9598	0.7933	0.0267	0.0200	0.1533	249	1.0000	12	0.0482
RVT-UG25	201	189	0.9403	0.5800	0.0800	0.0467	0.3200	198	0.9851	195	0.9848
RVT-UG21	178	175	0.9831	0.6133	0.0467	0.0333	0.3200	175	0.9831	146	0.8343
RVT-UG18	168	163	0.9702	0.9000	0.0133	0.0067	0.0733	165	0.9821	164	0.9939
