source_databases	n_eligible	n_inspectable	inspectable_fraction	median_MAPPED_fraction_inspectable	median_AMBIGUOUS_fraction_inspectable	median_UNSUPPORTED_fraction_inspectable	median_DELETED_fraction_inspectable	n_cat_state_mapped	cat_mapped_fraction_of_eligible	n_cat_confirmed	cat_confirmed_over_cat_mapped
gtdb_bacteria;ncbi_bacteria	157415	151573	0.9629	0.8400	0.0267	0.0133	0.0667	152198	0.9669	147127	0.9667
ncbi_bacteria	138678	131819	0.9505	0.8333	0.0267	0.0133	0.0667	133263	0.9610	128594	0.9650
mgnify_human_gut	27994	27059	0.9666	0.8333	0.0267	0.0067	0.0667	27049	0.9662	26075	0.9640
gtdb_bacteria;mgnify_human_gut;ncbi_bacteria	8350	8018	0.9602	0.8200	0.0400	0.0267	0.0733	8101	0.9702	7827	0.9662
gem	7831	7536	0.9623	0.8667	0.0267	0.0133	0.0600	7564	0.9659	7282	0.9627
gtdb_bacteria	4513	4383	0.9712	0.8333	0.0267	0.0200	0.0667	4386	0.9719	4230	0.9644
mgnify_soil;ncbi_bacteria	4395	4295	0.9772	0.9200	0.0067	0.0000	0.0533	4203	0.9563	4062	0.9665
mgnify_soil	3114	3066	0.9846	0.9267	0.0067	0.0000	0.0533	2866	0.9204	2725	0.9508
ncbi_archaea	2803	2675	0.9543	0.8800	0.0267	0.0200	0.0600	2685	0.9579	2569	0.9568
gtdb_bacteria;mgnify_marine;ncbi_bacteria	2306	2168	0.9402	0.6533	0.0467	0.0400	0.1200	2229	0.9666	2158	0.9681
gem;gtdb_bacteria;ncbi_bacteria	2229	2125	0.9533	0.8200	0.0400	0.0200	0.0667	2182	0.9789	2087	0.9565
gtdb_archaea;ncbi_archaea	1722	1670	0.9698	0.8867	0.0200	0.0200	0.0600	1684	0.9779	1616	0.9596
gtdb_bacteria;mgnify_soil;ncbi_bacteria	1628	1567	0.9625	0.8533	0.0267	0.0200	0.0600	1579	0.9699	1540	0.9753
gem;gtdb_bacteria;mgnify_human_gut;ncbi_bacteria	1468	1429	0.9734	0.8267	0.0400	0.0267	0.0667	1446	0.9850	1384	0.9571
mgnify_human_gut;ncbi_bacteria	1306	1252	0.9587	0.8400	0.0333	0.0200	0.0667	1272	0.9740	1221	0.9599
mgnify_marine	1176	1098	0.9337	0.6467	0.0467	0.0400	0.1267	1120	0.9524	1089	0.9723
gem;mgnify_human_gut	817	783	0.9584	0.8133	0.0467	0.0333	0.0733	800	0.9792	763	0.9537
gem;ncbi_bacteria	326	323	0.9908	0.8933	0.0200	0.0200	0.0600	321	0.9847	315	0.9813
gem;gtdb_bacteria;mgnify_marine;ncbi_bacteria	200	192	0.9600	0.7300	0.0467	0.0333	0.0900	194	0.9700	186	0.9588
gem;mgnify_human_gut;ncbi_bacteria	179	174	0.9721	0.8566	0.0400	0.0100	0.0600	177	0.9888	164	0.9266
mgnify_marine;ncbi_bacteria	157	151	0.9618	0.8133	0.0400	0.0333	0.0667	153	0.9745	145	0.9477
