stage1_collapsed_family	n_eligible	n_inspectable	inspectable_fraction	median_MAPPED_fraction_inspectable	n_cat_state_mapped	g6_readiness
RVT-GII	176126	175588	0.9969	0.9400	169972	READY
Retron	61395	53722	0.8750	0.4933	57217	READY
RVT-DGRs	59487	58975	0.9914	0.8267	58590	READY
RVT-UG2	6510	6304	0.9684	0.3933	6374	READY
RVT-UG8	6264	6015	0.9602	0.4800	6030	READY
RVT-UG5	6120	1994	0.3258	0.3600	6067	READY
RVT-AbiP2	5665	5623	0.9926	0.4667	5606	READY
RVT-UG3	4886	4867	0.9961	0.5400	4880	READY
RVT-UG17	3727	3713	0.9962	0.7733	3721	READY
RVT-UG26	3612	3548	0.9823	0.7933	3592	READY
RVT-CRISPR	3531	3526	0.9986	0.9267	3481	READY
RVT-UG15	3154	3137	0.9946	0.4467	3138	READY
RVT-UG7	3051	3043	0.9974	0.5867	3041	READY
RVT-UG4	2972	2966	0.9980	0.7467	2923	READY
MULTI	2824	2584	0.9150	0.5133	2500	READY
RVT-UG12	2147	2120	0.9874	0.3767	2132	READY
RVT-CRISPR-like	1837	1698	0.9243	0.7267	1655	READY
RVT-UG1	1642	1575	0.9592	0.4133	1607	READY
RVT-G2L	1292	1290	0.9985	0.7733	1288	READY
RVT-UG28	992	987	0.9950	0.7800	985	READY
RVT-UG27	927	923	0.9957	0.8133	923	READY
RVT-UG19	926	908	0.9806	0.6800	920	READY
RVT-UG13	885	877	0.9910	0.6267	872	READY
RVT-UG24	839	190	0.2265	0.3467	511	READY
RVT-G2L4	832	827	0.9940	0.8400	823	READY
RVT-AbiK	826	800	0.9685	0.3467	807	READY
RVT-UG14	806	699	0.8672	0.4067	798	READY
RVT-UG28b	798	790	0.9900	0.6333	763	READY
RVT-UG11	740	621	0.8392	0.4867	708	READY
RVT-UG23	654	646	0.9878	0.6400	646	READY
RVT-UG9	635	628	0.9890	0.5533	626	READY
RVT-UG10	602	594	0.9867	0.5067	595	READY
RVT-UG16	528	443	0.8390	0.4333	497	READY
RVT-UG22	459	447	0.9739	0.5800	451	READY
RVT-UG6	318	130	0.4088	0.3200	140	READY
RVT-UG20	288	251	0.8715	0.6200	276	READY
RVT-G2Lc	281	280	0.9964	0.8467	280	READY
RVT-G2Lb	249	239	0.9598	0.7933	249	READY
RVT-UG25	201	189	0.9403	0.5800	198	READY
RVT-UG21	178	175	0.9831	0.6133	175	READY
RVT-UG18	168	163	0.9702	0.9000	165	READY
RVT-AbiA	7	7	1.0000	0.5733	7	UNDERPOWERED_FOR_BETWEEN_FAMILY_COMPARISON
