family_label	n_below_min_length	n_total_in_stratum	fraction_of_stratum_below_min_length
RVT-GII	66738	256624	0.2601
Retron	13972	78287	0.1785
RVT-DGRs	12652	76111	0.1662
MULTI	3391	7593	0.4466
RVT-UG4	1685	4705	0.3581
RVT-UG2	1632	8423	0.1938
RVT-CRISPR-like	1238	3168	0.3908
RVT-UG17	901	4702	0.1916
RVT-UG8	884	7261	0.1217
RVT-UG3	833	5821	0.1431
RVT-G2L	671	1988	0.3375
RVT-UG11	529	1292	0.4094
RVT-AbiP2	519	6377	0.0814
RVT-CRISPR	404	4035	0.1001
RVT-UG15	283	3479	0.0813
RVT-UG26	281	3954	0.0711
RVT-UG5	232	6439	0.0360
RVT-UG7	174	3262	0.0533
RVT-UG28	146	1158	0.1261
RVT-UG27	142	1183	0.1200
RVT-AbiK	132	966	0.1366
RVT-UG18	131	299	0.4381
RVT-UG12	105	2279	0.0461
RVT-G2L4	74	913	0.0811
RVT-UG1	73	1725	0.0423
RVT-G2Lb	71	324	0.2191
RVT-UG19	68	1010	0.0673
RVT-UG20	60	349	0.1719
RVT-UG16	57	595	0.0958
RVT-UG14	51	881	0.0579
RVT-UG28b	43	871	0.0494
RVT-G2Lc	41	355	0.1155
RVT-UG23	39	697	0.0560
RVT-UG13	37	929	0.0398
RVT-UG24	36	949	0.0379
RVT-UG9	33	674	0.0490
RVT-UG10	26	648	0.0401
RVT-UG22	23	484	0.0475
RVT-UG25	13	216	0.0602
RVT-UG21	9	193	0.0466
RVT-UG6	6	331	0.0181
RVT-AbiA	4	11	0.3636
