source_databases	n_below_min_length	n_total_in_stratum	fraction_of_stratum_below_min_length
ncbi_bacteria	46706	187155	0.2496
gtdb_bacteria;ncbi_bacteria	36756	196131	0.1874
mgnify_human_gut	13107	58847	0.2227
mgnify_soil	2452	6416	0.3822
gem	1701	9783	0.1739
ncbi_archaea	1243	4073	0.3052
gtdb_bacteria;mgnify_human_gut;ncbi_bacteria	1222	9607	0.1272
mgnify_soil;ncbi_bacteria	1187	5582	0.2126
gtdb_bacteria	1088	5732	0.1898
gtdb_archaea;ncbi_archaea	740	2487	0.2975
mgnify_marine	630	2707	0.2327
gtdb_bacteria;mgnify_marine;ncbi_bacteria	357	2688	0.1328
gtdb_bacteria;mgnify_soil;ncbi_bacteria	275	1905	0.1444
gem;gtdb_bacteria;ncbi_bacteria	269	2500	0.1076
mgnify_human_gut;ncbi_bacteria	174	1482	0.1174
gem;gtdb_bacteria;mgnify_human_gut;ncbi_bacteria	171	1639	0.1043
gem;mgnify_human_gut	91	908	0.1002
gem;ncbi_bacteria	47	374	0.1257
mgnify_marine;ncbi_bacteria	33	195	0.1692
mgnify_soil;ncbi_archaea	29	82	0.3537
gem;gtdb_bacteria;mgnify_marine;ncbi_bacteria	24	224	0.1071
gem;mgnify_human_gut;ncbi_bacteria	22	201	0.1095
gtdb_bacteria;mgnify_human_gut	21	119	0.1765
gtdb_archaea;mgnify_soil;ncbi_archaea	15	45	0.3333
gtdb_archaea;ncbi_bacteria	10	100	0.1000
gtdb_archaea;mgnify_marine;ncbi_archaea	7	23	0.3043
gtdb_bacteria;ncbi_archaea	6	50	0.1200
gtdb_bacteria;mgnify_soil	6	35	0.1714
gem;gtdb_archaea;ncbi_archaea	5	31	0.1613
gtdb_bacteria;mgnify_marine	5	57	0.0877
gtdb_bacteria;ncbi_archaea;ncbi_bacteria	4	29	0.1379
gtdb_archaea;ncbi_archaea;ncbi_bacteria	4	27	0.1481
gtdb_archaea	3	12	0.2500
gem;gtdb_bacteria;mgnify_human_gut;ncbi_archaea;ncbi_bacteria	3	4	0.7500
gem;ncbi_archaea	3	12	0.2500
gem;gtdb_bacteria;mgnify_human_gut;mgnify_marine;ncbi_bacteria	3	27	0.1111
mgnify_marine;ncbi_archaea	3	10	0.3000
gem;gtdb_bacteria	3	79	0.0380
gem;mgnify_marine	3	26	0.1154
ncbi_archaea;ncbi_bacteria	2	22	0.0909
gtdb_archaea;mgnify_human_gut;ncbi_archaea	2	12	0.1667
gtdb_archaea;gtdb_bacteria;mgnify_human_gut;ncbi_archaea;ncbi_bacteria	1	1	1.0000
gtdb_archaea;gtdb_bacteria;ncbi_bacteria	1	2	0.5000
gtdb_bacteria;mgnify_human_gut;ncbi_archaea;ncbi_bacteria	1	4	0.2500
gtdb_bacteria;mgnify_soil;ncbi_archaea	1	4	0.2500
gem;gtdb_bacteria;mgnify_soil;ncbi_bacteria	1	10	0.1000
gem;gtdb_bacteria;mgnify_human_gut	1	8	0.1250
gtdb_archaea;gtdb_bacteria;ncbi_archaea;ncbi_bacteria	1	14	0.0714
