arm	analysis_id	analysis	rho	null1_p99	null2_p99	exceeds_null1	exceeds_null2	n_groups	groups	n_sequences	unit	note
between_family	PRIMARY	split-half by cluster @ id 0.90	0.9865	0.9906	0.9066	NO	YES	36	MULTI;RVT-AbiK;RVT-AbiP2;RVT-CRISPR;RVT-CRISPR-like;RVT-DGRs;RVT-G2L;RVT-G2L4;RVT-G2Lb;RVT-G2Lc;RVT-GII;RVT-UG1;RVT-UG10;RVT-UG11;RVT-UG12;RVT-UG13;RVT-UG14;RVT-UG15;RVT-UG16;RVT-UG17;RVT-UG19;RVT-UG2;RVT-UG20;RVT-UG22;RVT-UG23;RVT-UG26;RVT-UG27;RVT-UG28;RVT-UG28b;RVT-UG3;RVT-UG4;RVT-UG5;RVT-UG7;RVT-UG8;RVT-UG9;Retron	353248	exact RT (INSPECTABLE)	halves share no cluster; families need >=100 inspectable in BOTH halves
between_family	CTRL-VIS[0.0,0.5)	narrow mapped_fraction stratum	0.9399	0.8855	0.6808	YES	YES	20	MULTI;RVT-AbiK;RVT-AbiP2;RVT-CRISPR-like;RVT-DGRs;RVT-GII;RVT-UG1;RVT-UG11;RVT-UG12;RVT-UG14;RVT-UG15;RVT-UG16;RVT-UG17;RVT-UG2;RVT-UG28b;RVT-UG3;RVT-UG5;RVT-UG7;RVT-UG8;Retron	63373	exact RT (INSPECTABLE)	64789 sequences with mapped_fraction in [0.0,0.5)
between_family	CTRL-VIS[0.5,0.8)	narrow mapped_fraction stratum	0.9801	0.9671	0.6365	YES	YES	25	MULTI;RVT-AbiP2;RVT-CRISPR-like;RVT-DGRs;RVT-G2L;RVT-GII;RVT-UG10;RVT-UG11;RVT-UG12;RVT-UG13;RVT-UG15;RVT-UG17;RVT-UG19;RVT-UG2;RVT-UG22;RVT-UG23;RVT-UG26;RVT-UG28;RVT-UG28b;RVT-UG3;RVT-UG4;RVT-UG7;RVT-UG8;RVT-UG9;Retron	90928	exact RT (INSPECTABLE)	92796 sequences with mapped_fraction in [0.5,0.8)
between_family	CTRL-VIS[0.8,1.01)	narrow mapped_fraction stratum	0.9885	0.9752	0.8426	YES	YES	11	MULTI;RVT-CRISPR;RVT-CRISPR-like;RVT-DGRs;RVT-G2L;RVT-G2L4;RVT-GII;RVT-UG17;RVT-UG26;RVT-UG27;RVT-UG28	195444	exact RT (INSPECTABLE)	196517 sequences with mapped_fraction in [0.8,1.01)
between_family	CTRL-REL@0.90	one representative per cluster	0.9959	0.9824	0.9832	YES	YES	33	MULTI;RVT-AbiK;RVT-AbiP2;RVT-CRISPR;RVT-CRISPR-like;RVT-DGRs;RVT-G2L;RVT-G2L4;RVT-GII;RVT-UG1;RVT-UG10;RVT-UG11;RVT-UG12;RVT-UG13;RVT-UG14;RVT-UG15;RVT-UG16;RVT-UG17;RVT-UG19;RVT-UG2;RVT-UG22;RVT-UG23;RVT-UG26;RVT-UG27;RVT-UG28;RVT-UG28b;RVT-UG3;RVT-UG4;RVT-UG5;RVT-UG7;RVT-UG8;RVT-UG9;Retron	171936	exact RT (INSPECTABLE)	173081 cluster representatives at identity 0.90
between_family	CTRL-REL@0.50	one representative per cluster	0.9855	0.9668	0.9655	YES	YES	27	MULTI;RVT-AbiP2;RVT-CRISPR;RVT-CRISPR-like;RVT-DGRs;RVT-G2L;RVT-G2L4;RVT-GII;RVT-UG1;RVT-UG10;RVT-UG12;RVT-UG13;RVT-UG15;RVT-UG17;RVT-UG19;RVT-UG2;RVT-UG22;RVT-UG23;RVT-UG26;RVT-UG28;RVT-UG28b;RVT-UG3;RVT-UG4;RVT-UG5;RVT-UG7;RVT-UG8;Retron	90741	exact RT (INSPECTABLE)	92230 cluster representatives at identity 0.50
between_family	CTRL-REL@0.30	one representative per cluster	0.9915	0.9708	0.9664	YES	YES	24	MULTI;RVT-AbiP2;RVT-CRISPR;RVT-CRISPR-like;RVT-DGRs;RVT-G2L;RVT-G2L4;RVT-GII;RVT-UG1;RVT-UG12;RVT-UG13;RVT-UG15;RVT-UG17;RVT-UG19;RVT-UG2;RVT-UG23;RVT-UG26;RVT-UG28b;RVT-UG3;RVT-UG4;RVT-UG5;RVT-UG7;RVT-UG8;Retron	81969	exact RT (INSPECTABLE)	83823 cluster representatives at identity 0.30
between_family	CTRL-COMP[all_complete]	one completeness class	0.9819	0.9906	0.9113	NO	YES	34	MULTI;RVT-AbiK;RVT-AbiP2;RVT-CRISPR;RVT-CRISPR-like;RVT-DGRs;RVT-G2L;RVT-G2L4;RVT-G2Lb;RVT-GII;RVT-UG1;RVT-UG10;RVT-UG11;RVT-UG12;RVT-UG13;RVT-UG14;RVT-UG15;RVT-UG16;RVT-UG17;RVT-UG19;RVT-UG2;RVT-UG22;RVT-UG23;RVT-UG26;RVT-UG27;RVT-UG28;RVT-UG28b;RVT-UG3;RVT-UG4;RVT-UG5;RVT-UG7;RVT-UG8;RVT-UG9;Retron	281061	exact RT (INSPECTABLE)	282212 sequences in completeness_class all_complete
between_family	CTRL-COMP[all_partial]	one completeness class	0.9456	0.9839	0.9043	NO	YES	19	MULTI;RVT-AbiK;RVT-AbiP2;RVT-CRISPR;RVT-CRISPR-like;RVT-DGRs;RVT-G2L;RVT-GII;RVT-UG1;RVT-UG15;RVT-UG17;RVT-UG2;RVT-UG26;RVT-UG3;RVT-UG4;RVT-UG5;RVT-UG7;RVT-UG8;Retron	67055	exact RT (INSPECTABLE)	68439 sequences in completeness_class all_partial
between_family	CTRL-COMP[mixed_or_codon_evidence]	one completeness class	1.0000	1.0000	1.0000	NO	NO	3	RVT-DGRs;RVT-GII;Retron	3019	exact RT (INSPECTABLE)	3451 sequences in completeness_class mixed_or_codon_evidence
