family	half_A_confirmed	half_A_cat_mapped	half_A_fraction	half_B_confirmed	half_B_cat_mapped	half_B_fraction	unit	denominator
MULTI	1081	1165	0.9279	1095	1191	0.9194	exact RT	CAT_STATE-MAPPED in that family-half
RVT-AbiK	271	271	1.0000	527	529	0.9962	exact RT	CAT_STATE-MAPPED in that family-half
RVT-AbiP2	2627	2645	0.9932	2932	2949	0.9942	exact RT	CAT_STATE-MAPPED in that family-half
RVT-CRISPR	1760	1823	0.9654	1563	1658	0.9427	exact RT	CAT_STATE-MAPPED in that family-half
RVT-CRISPR-like	672	794	0.8463	654	812	0.8054	exact RT	CAT_STATE-MAPPED in that family-half
RVT-DGRs	27582	28998	0.9512	28121	29238	0.9618	exact RT	CAT_STATE-MAPPED in that family-half
RVT-G2L	721	721	1.0000	565	565	1.0000	exact RT	CAT_STATE-MAPPED in that family-half
RVT-G2L4	411	411	1.0000	406	407	0.9975	exact RT	CAT_STATE-MAPPED in that family-half
RVT-G2Lb	0	109	0.0000	2	130	0.0154	exact RT	CAT_STATE-MAPPED in that family-half
RVT-G2Lc	167	167	1.0000	113	113	1.0000	exact RT	CAT_STATE-MAPPED in that family-half
RVT-GII	83935	85236	0.9847	83306	84692	0.9836	exact RT	CAT_STATE-MAPPED in that family-half
RVT-UG1	741	741	1.0000	822	822	1.0000	exact RT	CAT_STATE-MAPPED in that family-half
RVT-UG10	298	298	1.0000	288	294	0.9796	exact RT	CAT_STATE-MAPPED in that family-half
RVT-UG11	288	289	0.9965	330	332	0.9940	exact RT	CAT_STATE-MAPPED in that family-half
RVT-UG12	745	1020	0.7304	781	1095	0.7132	exact RT	CAT_STATE-MAPPED in that family-half
RVT-UG13	252	459	0.5490	224	411	0.5450	exact RT	CAT_STATE-MAPPED in that family-half
RVT-UG14	306	307	0.9967	391	392	0.9974	exact RT	CAT_STATE-MAPPED in that family-half
RVT-UG15	472	1706	0.2767	522	1429	0.3653	exact RT	CAT_STATE-MAPPED in that family-half
RVT-UG16	247	250	0.9880	188	192	0.9792	exact RT	CAT_STATE-MAPPED in that family-half
RVT-UG17	1984	1988	0.9980	1721	1722	0.9994	exact RT	CAT_STATE-MAPPED in that family-half
RVT-UG19	396	399	0.9925	505	507	0.9961	exact RT	CAT_STATE-MAPPED in that family-half
RVT-UG2	2995	2998	0.9990	3270	3276	0.9982	exact RT	CAT_STATE-MAPPED in that family-half
RVT-UG20	145	145	1.0000	104	104	1.0000	exact RT	CAT_STATE-MAPPED in that family-half
RVT-UG22	208	234	0.8889	178	213	0.8357	exact RT	CAT_STATE-MAPPED in that family-half
RVT-UG23	228	310	0.7355	238	331	0.7190	exact RT	CAT_STATE-MAPPED in that family-half
RVT-UG26	1628	1636	0.9951	1893	1902	0.9953	exact RT	CAT_STATE-MAPPED in that family-half
RVT-UG27	424	424	1.0000	497	497	1.0000	exact RT	CAT_STATE-MAPPED in that family-half
RVT-UG28	526	526	1.0000	455	456	0.9978	exact RT	CAT_STATE-MAPPED in that family-half
RVT-UG28b	374	375	0.9973	386	387	0.9974	exact RT	CAT_STATE-MAPPED in that family-half
RVT-UG3	2451	2452	0.9996	2407	2411	0.9983	exact RT	CAT_STATE-MAPPED in that family-half
RVT-UG4	1391	1407	0.9886	1500	1514	0.9908	exact RT	CAT_STATE-MAPPED in that family-half
RVT-UG5	842	842	1.0000	1148	1148	1.0000	exact RT	CAT_STATE-MAPPED in that family-half
RVT-UG7	1495	1537	0.9727	1453	1499	0.9693	exact RT	CAT_STATE-MAPPED in that family-half
RVT-UG8	2949	2985	0.9879	2991	3027	0.9881	exact RT	CAT_STATE-MAPPED in that family-half
RVT-UG9	287	307	0.9349	303	318	0.9528	exact RT	CAT_STATE-MAPPED in that family-half
Retron	25665	26698	0.9613	25763	26835	0.9601	exact RT	CAT_STATE-MAPPED in that family-half
