collection_label	n_records	n_unique_aa	n_duplicate_records	len_min	len_median	len_max	n_below_250aa	n_above_900aa	n_that_are_seed_sources	excluded_label
AbiA	19	19	0	302	630	788	0	0	17	NO
AbiK	5	5	0	590	599	610	0	0	5	NO
AbiP2	12	12	0	429	506	589	0	0	8	NO
CRISPR	130	130	0	176	657	1032	1	18	109	NO
DGRs	502	502	0	50	365	546	10	0	391	NO
G2L	55	55	0	232	406	724	3	0	39	NO
G2L4	8	8	0	329	422	580	0	0	8	NO
GII	503	503	0	181	475	666	6	0	434	NO
NotUsed	136	136	0	317	459	930	0	1	1	YES
Retrons	96	96	0	239	381	739	1	0	91	NO
UG1	31	31	0	316	1269	1325	0	30	29	NO
UG10	8	8	0	866	1821	1879	0	7	7	NO
UG11	14	14	0	255	257	334	0	0	14	NO
UG12	37	37	0	247	546	651	1	0	33	NO
UG13	25	25	0	263	603	849	0	0	18	NO
UG14	17	17	0	451	516	543	0	0	9	NO
UG15	39	39	0	488	532	571	0	0	35	NO
UG16	17	17	0	487	499	1172	0	1	16	NO
UG17	78	78	0	308	454	513	0	0	75	NO
UG18	10	10	0	238	323	420	1	0	9	NO
UG19	20	20	0	365	700	1037	0	3	16	NO
UG2	22	22	0	405	434	527	0	0	13	NO
UG20	5	5	0	506	517	529	0	0	5	NO
UG21	23	23	0	69	520	589	1	0	15	NO
UG22	11	11	0	454	503	575	0	0	11	NO
UG23	9	9	0	489	514	588	0	0	6	NO
UG24	5	5	0	839	1097	1192	0	4	2	NO
UG25	28	28	0	559	946	1160	0	19	23	NO
UG26	20	20	0	397	405	423	0	0	16	NO
UG27	10	10	0	420	423	732	0	0	9	NO
UG28	37	37	0	352	515	879	0	0	16	NO
UG28b	15	15	0	541	597	650	0	0	15	NO
UG3	86	86	0	257	422	532	0	0	77	NO
UG4	47	47	0	247	332	783	1	0	38	NO
UG5	67	67	0	548	1000	1274	0	61	56	NO
UG6	14	14	0	169	1074	1672	1	12	7	NO
UG7	77	77	0	352	530	1373	0	1	67	NO
UG8	83	83	0	561	663	793	0	0	75	NO
UG9	17	17	0	554	579	820	0	0	16	NO
UNC	1	1	0	632	632	632	0	0	0	YES
