myrt.models_in_RVT_All	45
myrt.NSEQ_sum	1988
myrt.seed_records	1988
myrt.seed_unique_aa	1986
myrt.NSEQ_equals_fasta_for_every_family	True
collection.records	2339
collection.unique_aa	2339
collection.nonstandard_residue_seqs	10
map.seeds_mapped	1835
map.seeds_unmapped	153
map.N_ext_median	97
map.N_ext_mean	112.3
map.N_ext_max	631
map.C_ext_median	160
map.sources_with_ge80aa_N_ext	1138
map.pct_with_ge80aa_N_ext	62.0
map.N_ext_median.RVT-GII-I	110
map.N_ext_median.RVT-GII-II	88
map.N_ext_median.RVT-Retrons	51
map.N_ext_median.RVT-DGRs	72
panel.eligible_full_length	2166
panel.non_redundant_at_kmerJ_0.90	2165
panel.eligible.UG	863
panel.eligible.GII_like	555
panel.eligible.DGR	488
panel.eligible.CRISPR	129
panel.eligible.Retron	95
panel.eligible.Abi	36
anchor.dyad_present	2090
anchor.labelled_proteins	2202
anchor.dyad_pct	94.9
anchor.multi_dyad_proteins	251
anchor.families_below_90pct	G2L,Retrons,UG12,UG13,UG15,UG21,UG23
anchor.dyad_pct.G2L	76.4
anchor.dyad_pct.Retrons	89.6
anchor.dyad_pct.UG12	86.5
anchor.dyad_pct.UG13	52.0
anchor.dyad_pct.UG15	69.2
anchor.dyad_pct.UG21	69.6
anchor.dyad_pct.UG23	66.7
anchor.dyad_inside_RVT1_window	1751/1758
perlabel_cap_20.total	612
perlabel_cap_20.UG_pct	76.5
perlabel_cap_20.Retron_pct	3.3
perlabel_cap_30.total	779
perlabel_cap_30.UG_pct	75.1
perlabel_cap_30.Retron_pct	3.9
perlabel_cap_40.total	911
perlabel_cap_40.UG_pct	73.2
perlabel_cap_40.Retron_pct	4.4
