collection_path	kind	n_files	total_bytes	manifest_sha256	example_file	root
/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/M_models/review-stage/cache/feat/positives/emb	matrix	13214	21421958912	084be2e2e628b3b22680abc68a3b1ceacc6b372c30f8d7cd06da6f579b83f140	0001186335aae7f6.npy	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4
/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/ncrna_representation_probes/cache/emb_oriented/positives	matrix	12802	20948662016	ddadd51676399e547f0f2abe37b0e9aec6ea2a43867c32b1dd38141cbaaafd18	0001186335aae7f6.npy	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4
/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/ncrna_extractor_detector_V2/cache/v11c	matrix	4501	19022219904	377aeee17a1f3b38fbc01c828783dca508b20ee774b306f24f43f9cf2ca69ee9	e_000110a0de116cee_1.npy	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4
/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/ncrna_representation_probes/cache/emb_oriented/secondbest_wide	matrix	6966	9758029568	cfc0fd5c104f4ec8595d541ca0f33cab88ec229454b619117ceed89a4a8357a5	000063b9339e9e40.npy	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4
/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/ncrna_extractor_detector/cache/d2/emb	matrix	5	9200375034	c5e68a592538be3f25d5eb9debd927b20c04ad0a52db483a88aded02e6b7cee7	c2_gii_1500_3712953b3e54.npz	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4
/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/ncrna_representation_probes/cache/emb_oriented/gii	matrix	5001	6875397248	3a5bdd69b943f3512f7a15015e2fdfb02fcfb61ce141017b02753f53d242b30f	000d227b6360bab6.npy	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4
/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/ncrna_extractor_detector/cache/h9/emb	matrix	4	5061756838	03a91dc54d15365ec866c619f3f9486bf68c0a0ed5cc093fc15438ee69a5a543	h10_set0_171_d786a6b19955.npz	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4
/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/ncrna_representation_probes/cache/emb_oriented/candidates	matrix	1862	2787458816	c61a56091f8e1b5606f5eb1489a833b8987165d45d20a47d621135e96c0bf681	0004cfff656f6213.npy	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4
/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/ncrna_extractor_detector_V2/cache/v11b	matrix	1200	2614810624	7c033d3fb236820c03b7e276c269d54984938c85699ad00fb145e37bce78fe78	e_008a10dd9efb7d5c_4.npy	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4
/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/ncrna_representation_probes/cache/emb_oriented/secondbest_matched	matrix	1800	2486069760	300f4e35b382618835e3ff7298b4c5aa9e09fd86950a1e7e8a4efe948abafb1f	0026d15c1b55c8cb.npy	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4
/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/ncrna_extractor_detector_V3/cache/w7/emb64	matrix	22142	1865563008	c6074f819b0c1e2c5d1278e3b47cda19e95c743e3ac2b7de6c311982295fbe65	0001186335aae7f6.npy	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4
/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/stage4_ncRNA_assessment/cache/p5_ext	matrix	1	1813708928	f7021b2e66f82964ebebada862be66c0b0581bc26894a02ae708fde50d41cdf6	ext_emb.npy	/home/borg/RESEARCH-in-sleep-RETRON-DB_V3
/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embeddings/ARIS_OUTPUT/embed_x2_confirmation/work	matrix	39	1806449406	ee6d55b74c0ce68d6166516124950ae8a8c2d2e6f6e38809941e8db821351850	cf_selection.npz	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embeddings
/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embeddings/ARIS_OUTPUT/embed_x1_conditional/work	matrix	9	1799571072	20ae9a78041ff532895e80562ba37554d429ceddd8796493c47fd2cbc571ddb4	dataset.npz	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embeddings
/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embeddings	matrix	1	1414047488	e74470c358a9523e1b2424a970bd260e5ca89b4982bf4cd9cc65250f4165be33	t0.npy	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embeddings
