chain	n_primary	n_p4	overlap	IMPLEMENTATION_SENSITIVE
1RTD_A	4	4	1.0	0
23OR_A	4	4	0.9646	0
24NC_A	5	5	1.0	0
26CZ_A	4	4	1.0	0
5G2X_C	2	2	1.0	0
5HHJ_A	2	2	1.0	0
5HHK_A	2	2	1.0	0
5HHL_A	2	2	1.0	0
5VBS_A	1	1	1.0	0
6AR1_A	4	4	1.0	0
6ME0_C	4	4	1.0	0
6MEC_C	3	3	1.0	0
7KFT_C	3	4	0.8468	1
7R06_A	3	3	1.0	0
7R08_A	3	3	1.0	0
7UIM_D	3	3	1.0	0
7UIN_D	4	4	1.0	0
7V9U_A	2	2	0.945	0
7V9X_A	3	3	1.0	0
7XJG_A	3	3	1.0	0
8BGJ_A	1	1	1.0	0
8C8J_A	4	4	1.0	0
8FLI_B	5	5	0.952	0
8GH6_A	5	5	0.9477	0
8OZ7_A	4	4	1.0	0
8QBK_A	2	2	1.0	0
8QBL_A	2	2	1.0	0
8QBM_A	2	2	1.0	0
8SXT_A	5	5	1.0	0
8UB7_A	3	3	1.0	0
8UBD_A	3	3	1.0	0
8UW3_A	8	9	0.9225	1
9C0I_A	3	3	0.8	1
9D4S_A	3	3	1.0	0
9D5X_A	2	2	0.9745	0
9DOU_A	7	7	0.9513	0
9E8Z_H	2	2	1.0	0
9HDO_A	7	7	1.0	0
9I2F_A	5	5	1.0	0
9I2G_B	4	4	1.0	0
9IOA_A	3	3	1.0	0
9K6G_A	6	6	1.0	0
9L7P_E	3	3	1.0	0
9LBQ_A	3	3	1.0	0
9LJE_A	2	2	1.0	0
9LPA_A	4	4	0.9649	0
9N69_E	3	3	0.8279	1
9NL2_A	7	7	0.9449	0
9NL3_A	5	5	0.9703	0
9NNB_B	3	3	1.0	0
9S1F_B	4	4	1.0	0
9VHE_A	2	2	1.0	0
9VHL_A	2	2	1.0	0
9WN8_A	3	3	0.8757	0
9WY8_A	2	2	1.0	0
9X94_A	4	4	1.0	0
9X9B_A	4	4	0.9635	0
9YFD_A	7	7	0.9831	0
9Z6Y_A	3	3	1.0	0
9Z6Y_H	6	6	1.0	0
9Z6Z_A	3	3	1.0	0
9Z6Z_H	2	6	0.4657	1
