terminal	set	protein_len	tte_status	tte_template	tte_template_identity	tte_start	tte_end	mcc2_status	mcc2_start	mcc2_end	mcc2_core_start	mcc2_core_end	toro_stated_start	toro_stated_end
terminal_1	CLEAN	311	TTE_EXTRACTED	T624	0.484	12	241	EXTRACTABLE	25	241	40.0	231.0		
terminal_2	CLEAN	311	TTE_EXTRACTED	T624	0.484	12	241	EXTRACTABLE	25	241	40.0	231.0		
terminal_3	CLEAN	311	TTE_EXTRACTED	T626	0.482	16	241	EXTRACTABLE	23	240	40.0	231.0		
terminal_4	CLEAN	310	TTE_EXTRACTED	T626	0.471	16	241	EXTRACTABLE	23	240	40.0	231.0		
terminal_5	CLEAN	347	TTE_EXTRACTED	T624	0.469	44	277	EXTRACTABLE	51	276	77.0	267.0		
terminal_6	CLEAN	310	TTE_EXTRACTED	T626	0.458	16	240	EXTRACTABLE	25	240	40.0	230.0		
terminal_7	OTHER_SUBSTITUTE	310	TTE_EXTRACTED	T624	0.474	12	240	EXTRACTABLE	17	239	40.0	230.0		
terminal_8	CLEAN	314	TTE_EXTRACTED	T624	0.481	12	242	EXTRACTABLE	23	242	40.0	232.0		
terminal_9	CLEAN	312	TTE_EXTRACTED	T624	0.479	12	241	EXTRACTABLE	21	240	40.0	231.0		
terminal_10	CLEAN	312	TTE_EXTRACTED	T624	0.506	12	241	EXTRACTABLE	16	240	40.0	231.0		
terminal_11	CLEAN	304	TTE_EXTRACTED	T624	0.5	39	268	EXTRACTABLE	48	267	67.0	258.0		
terminal_12	CLEAN	340	TTE_EXTRACTED	T624	0.5	39	268	EXTRACTABLE	48	267	67.0	258.0		
terminal_13	CLEAN	313	TTE_EXTRACTED	T624	0.483	12	241	EXTRACTABLE	21	240	40.0	231.0		
terminal_14	CLEAN	319	TTE_EXTRACTED	T624	0.502	12	241	EXTRACTABLE	22	241	40.0	231.0		
terminal_15	CLEAN	313	TTE_EXTRACTED	T624	0.485	12	238	EXTRACTABLE	22	237	40.0	228.0		
terminal_16	CLEAN	310	TTE_EXTRACTED	T624	0.504	12	238	EXTRACTABLE	25	235	40.0	228.0		
terminal_17	CLEAN	309	TTE_EXTRACTED	T626	0.517	16	238	EXTRACTABLE	25	238	40.0	228.0		
terminal_18	CLEAN	313	TTE_EXTRACTED	T627	0.542	16	241	EXTRACTABLE	21	240	40.0	231.0		
terminal_19	CLEAN	313	TTE_EXTRACTED	T627	0.52	16	241	EXTRACTABLE	25	240	40.0	231.0		
terminal_20	CLEAN	307	TTE_EXTRACTED	T626	0.532	16	235	EXTRACTABLE	5	235	40.0	225.0		
terminal_21	CLEAN	304	TTE_EXTRACTED	T627	0.513	15	233	EXTRACTABLE	23	232	39.0	223.0		
terminal_22	CLEAN	305	TTE_EXTRACTED	T624	0.533	12	238	EXTRACTABLE	15	238	40.0	228.0		
terminal_23	CLEAN	312	TTE_EXTRACTED	T627	0.515	16	243	EXTRACTABLE	24	243	40.0	233.0		
terminal_24	CLEAN	312	TTE_EXTRACTED	T627	0.5	16	243	EXTRACTABLE	22	243	40.0	233.0		
terminal_25	CLEAN	312	TTE_EXTRACTED	T626	0.549	16	243	EXTRACTABLE	18	243	40.0	233.0		
terminal_26	CLEAN	356	TTE_EXTRACTED	T627	0.476	62	281	EXTRACTABLE	59	281	86.0	271.0		
terminal_27	CLEAN	360	TTE_EXTRACTED	T627	0.484	64	286	EXTRACTABLE	69	286	88.0	276.0		
terminal_28	CLEAN	306	TTE_EXTRACTED	T627	0.49	16	236	EXTRACTABLE	21	236	40.0	226.0		
terminal_29	CLEAN	312	TTE_EXTRACTED	T626	0.511	16	238	EXTRACTABLE	22	238	40.0	228.0		
terminal_30	CLEAN	313	TTE_EXTRACTED	T624	0.495	12	238	EXTRACTABLE	22	237	40.0	228.0		
terminal_31	CLEAN	305	TTE_EXTRACTED	T627	0.479	16	234	EXTRACTABLE	24	234	40.0	224.0		
terminal_32	CLEAN	307	TTE_EXTRACTED	T626	0.477	16	236	EXTRACTABLE	24	236	40.0	226.0		
terminal_33	CLEAN	313	TTE_EXTRACTED	T627	0.495	16	239	EXTRACTABLE	25	238	40.0	229.0		
terminal_34	CLEAN	310	TTE_EXTRACTED	T627	0.515	16	241	EXTRACTABLE	25	240	40.0	231.0		
terminal_35	CLEAN	310	TTE_EXTRACTED	T627	0.526	16	238	EXTRACTABLE	7	237	40.0	228.0		
