rt_seq_hash	n_placements	n_loci	n_species	n_databases	family	model	median_distance	n_ncrna_seqs	unit	denominator
047ed4bb4968857be9062e77ece8fa30ed207efe23b8de6f0676ae42249b5256	9	6	4	3	RVT-UG14	TypeIX	-15.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
e148d1df920c1c74da0358a80e60701bcda0f9b4522adbde5fd756669f15ac07	6	5	3	3	RVT-UG26	TypeIIIA2	4451.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
978eba630711b8806a8becee86ed28f584bf95bf9987993a942f4564d344e049	6	4	1	3	RVT-UG10	TypeIIIA2	100.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
23885b99153d3bf83c4ec07594221b16ede904d07f603253de2b8bd86a547838	5	3	2	2	RVT-GII	TypeXIIIB_Ne144	-2401.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
d79cdb3a0e6ea573bca426cb71588b1bb6ad23efb2011d71c2a72e4dfd102a8f	5	5	3	2	RVT-DGRs	TypeIIIA3	-3463.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
805ec59d37fda058c2f8a6fa83312f475ec4889461efe0ad940b05a22843c54a	5	4	2	3	RVT-GII	TypeXIIIC_Mx162	-3667.0	2	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
703901aebb430cabec62bdd1bcc7a99af8964b2e62eac71c2a1ce22430cf5b28	5	3	2	3	RVT-DGRs	TypeIIIA1	4404.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
393bc14051f2034402d414f6a619a5b753142a616393372d2a729ffac37c526a	5	3	2	2	RVT-DGRs	TypeIIIA2	2665.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
11485450ad68608eee0f89bfa566c15731b39aa09a2467364b59d3e8b71897de	5	3	1	2	RVT-UG2	TypeIA_IIAI	7704.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
cba87bee6eb199f2017b478acbbfcd3359a38363b543cc9f8bacfd567cae3734	4	2	1	2	RVT-GII	OutgroupA	-498.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
662bf15af964388b66a1932bca70bfcbf4abc9efc6340a486ab56bbcc9d872b6	4	3	1	2	RVT-GII	TypeIIA3_firmi	-7465.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
47ef8e0defa3223b05c881eebd26431bef71ff442afa8486321fb71451674b3b	4	2	1	2	RVT-UG2	TypeIA_IIAI	7887.0	1	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
89c7aa865a919e4ebb1f9770e247f004a30a065f446113c5dba249db224b6cc0	3	2	1	1	RVT-GII	OutgroupA	7674.0	3	exact RT sequences	exact RTs carrying at least one of the 266 candidate placements
