buffington_id	rt_exact_present	ncrna_exact_present	reconciliation_state	x1b_overlap_class_RETRACTED
NRT-1	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-2	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-3	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-4	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-5	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-6	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-7	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-8	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-9	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-10	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-11	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-12	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-13	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-14	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-15	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-16	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-17	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-18	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-19	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-20	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-21	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-22	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-23	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-24	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-25	0	0	NEITHER_EXACT_PRESENT	EXTERNAL_NEW
NRT-26	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-27	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
NRT-28	1	0	RT_ONLY_EXACT_PRESENT	RT_PRESENT_NCRNA_DIFFERS
