block	stratum_METADATA	n_chains	n_groups	median_mapper_mapped_fraction	n_available	frac_available	n_contained	frac_contained_of_available	modal_unit_roles	unit	note
RT0_none	bacterial	51	25	0.5533	0	0.0000	0		-	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
RT0_none	bacterial:retron	21	6	0.4267	0	0.0000	0		-	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
RT0_none	non-LTR	9	4	0.8133	0	0.0000	0		-	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
RT0_none	viral	2	2	0.0000	0	0.0000	0		-	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
RT1_none	bacterial	51	25	0.5533	0	0.0000	0		-	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
RT1_none	bacterial:retron	21	6	0.4267	0	0.0000	0		-	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
RT1_none	non-LTR	9	4	0.8133	0	0.0000	0		-	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
RT1_none	viral	2	2	0.0000	0	0.0000	0		-	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
SB2p	bacterial	51	25	0.5533	18	0.3529	6	0.3333	fingers-like=2;unclassified=4	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
SB2p	bacterial:retron	21	6	0.4267	3	0.1429	2	0.6667	fingers-like=2	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
SB2p	non-LTR	9	4	0.8133	6	0.6667	6	1.0000	unclassified=6	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
SB2p	viral	2	2	0.0000	0	0.0000	0		-	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
SB3	bacterial	51	25	0.5533	27	0.5294	25	0.9259	palm-like=15;unclassified=10	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
SB3	bacterial:retron	21	6	0.4267	8	0.3810	8	1.0000	palm-like=8	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
SB3	non-LTR	9	4	0.8133	6	0.6667	6	1.0000	unclassified=6	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
SB3	viral	2	2	0.0000	0	0.0000	0		-	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
SB4	bacterial	51	25	0.5533	28	0.5490	17	0.6071	fingers-like=3;palm-like=4;unclassified=10	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
SB4	bacterial:retron	21	6	0.4267	10	0.4762	3	0.3000	palm-like=2;unclassified=1	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
SB4	non-LTR	9	4	0.8133	9	1.0000	9	1.0000	fingers-like=1;palm-like=1;unclassified=7	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
SB4	viral	2	2	0.0000	0	0.0000	0		-	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
SB56	bacterial	51	25	0.5533	45	0.8824	44	0.9778	palm-like=24;unclassified=20	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
SB56	bacterial:retron	21	6	0.4267	17	0.8095	17	1.0000	palm-like=11;unclassified=6	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
SB56	non-LTR	9	4	0.8133	9	1.0000	9	1.0000	fingers-like=1;palm-like=1;unclassified=7	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
SB56	viral	2	2	0.0000	0	0.0000	0		-	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
SB7	bacterial	51	25	0.5533	32	0.6275	32	1.0000	palm-like=16;unclassified=16	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
SB7	bacterial:retron	21	6	0.4267	12	0.5714	12	1.0000	palm-like=6;unclassified=6	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
SB7	non-LTR	9	4	0.8133	5	0.5556	5	1.0000	unclassified=5	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
SB7	viral	2	2	0.0000	0	0.0000	0		-	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
CAT262	bacterial	51	25	0.5533	50	0.9804	49	0.9800	palm-like=28;unclassified=21	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
CAT262	bacterial:retron	21	6	0.4267	21	1.0000	21	1.0000	palm-like=14;unclassified=7	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
CAT262	non-LTR	9	4	0.8133	9	1.0000	9	1.0000	fingers-like=1;palm-like=1;unclassified=7	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
CAT262	viral	2	2	0.0000	0	0.0000	0		-	chain	metadata stratum; the mapper frame is GII-centred, a confound for every between-family comparison
