family_label	completeness_class	n_exact_rt	median_aa_len	n_exact_rt_in_family	unit	denominator	note
RVT-AbiA	all_complete	9	485.0	11	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-AbiA	all_partial	2	151.5	11	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-AbiK	all_complete	574	576.0	966	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-AbiK	all_partial	377	402.0	966	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-AbiK	mixed_or_codon_evidence	15	449.0	966	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-AbiP2	all_complete	3954	509.0	6377	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-AbiP2	all_partial	2137	360.0	6377	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-AbiP2	mixed_or_codon_evidence	286	436.0	6377	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-CRISPR	all_complete	3193	473.0	4035	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-CRISPR	all_partial	760	432.0	4035	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-CRISPR	mixed_or_codon_evidence	82	386.0	4035	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-CRISPR-like	all_complete	1782	414.0	3156	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-CRISPR-like	all_partial	1223	228.0	3156	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-CRISPR-like	mixed_or_codon_evidence	151	274.0	3156	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-DGRs	all_complete	60215	365.0	76111	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-DGRs	all_partial	10932	268.0	76111	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-DGRs	mixed_or_codon_evidence	4964	384.0	76111	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-G2L	all_complete	777	398.0	1988	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-G2L	all_partial	1183	260.0	1988	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-G2L	mixed_or_codon_evidence	28	296.0	1988	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-G2L4	all_complete	792	424.0	913	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-G2L4	all_partial	112	313.0	913	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-G2L4	mixed_or_codon_evidence	9	266.0	913	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-G2Lb	all_complete	303	266.0	324	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-G2Lb	all_partial	18	252.5	324	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-G2Lb	mixed_or_codon_evidence	3	503.0	324	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-G2Lc	all_complete	265	420.0	355	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-G2Lc	all_partial	46	293.5	355	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-G2Lc	mixed_or_codon_evidence	44	501.0	355	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-GII	all_complete	167033	434.0	256624	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-GII	all_partial	70671	276.0	256624	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-GII	mixed_or_codon_evidence	18920	345.0	256624	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG1	all_complete	1363	1248.0	1725	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG1	all_partial	350	513.0	1725	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG1	mixed_or_codon_evidence	12	294.0	1725	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG10	all_complete	464	1131.0	648	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG10	all_partial	144	709.0	648	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG10	mixed_or_codon_evidence	40	387.0	648	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG11	all_complete	969	255.0	1292	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG11	all_partial	298	186.0	1292	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG11	mixed_or_codon_evidence	25	328.0	1292	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG12	all_complete	2025	541.0	2279	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG12	all_partial	226	386.5	2279	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG12	mixed_or_codon_evidence	28	361.5	2279	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG13	all_complete	823	565.0	929	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG13	all_partial	99	384.0	929	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG13	mixed_or_codon_evidence	7	436.0	929	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG14	all_complete	701	514.0	881	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG14	all_partial	145	380.0	881	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG14	mixed_or_codon_evidence	35	416.0	881	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG15	all_complete	2689	511.0	3479	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG15	all_partial	724	372.0	3479	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG15	mixed_or_codon_evidence	66	395.5	3479	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG16	all_complete	443	493.0	595	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG16	all_partial	144	332.5	595	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG16	mixed_or_codon_evidence	8	375.5	595	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG17	all_complete	2676	450.0	4702	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG17	all_partial	1922	295.0	4702	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG17	mixed_or_codon_evidence	104	370.5	4702	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG18	all_complete	228	286.0	299	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG18	all_partial	69	259.0	299	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG18	mixed_or_codon_evidence	2	308.5	299	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG19	all_complete	842	686.0	1010	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG19	all_partial	159	450.0	1010	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG19	mixed_or_codon_evidence	9	335.0	1010	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG2	all_complete	5950	448.0	8423	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG2	all_partial	2098	252.0	8423	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG2	mixed_or_codon_evidence	375	346.0	8423	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG20	all_complete	262	527.0	349	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG20	all_partial	86	313.5	349	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG20	mixed_or_codon_evidence	1	303.0	349	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG21	all_complete	153	521.0	193	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG21	all_partial	35	445.0	193	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG21	mixed_or_codon_evidence	5	394.0	193	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG22	all_complete	440	503.0	484	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG22	all_partial	42	344.5	484	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG22	mixed_or_codon_evidence	2	494.5	484	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG23	all_complete	649	499.0	697	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG23	all_partial	43	288.0	697	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG23	mixed_or_codon_evidence	5	301.0	697	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG24	all_complete	683	1097.0	949	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG24	all_partial	151	596.0	949	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG24	mixed_or_codon_evidence	115	444.0	949	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG25	all_complete	171	990.0	216	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG25	all_partial	45	603.0	216	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG26	all_complete	3293	406.0	3954	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG26	all_partial	593	301.0	3954	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG26	mixed_or_codon_evidence	68	394.0	3954	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG27	all_complete	851	421.0	1183	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG27	all_partial	184	300.0	1183	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG27	mixed_or_codon_evidence	148	419.5	1183	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG28	all_complete	953	500.0	1158	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG28	all_partial	184	279.0	1158	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG28	mixed_or_codon_evidence	21	325.0	1158	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG28b	all_complete	719	579.0	871	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG28b	all_partial	105	367.0	871	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG28b	mixed_or_codon_evidence	47	362.0	871	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG3	all_complete	3758	422.0	5821	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG3	all_partial	1917	289.0	5821	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG3	mixed_or_codon_evidence	146	379.0	5821	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG4	all_complete	3535	325.0	4705	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG4	all_partial	1126	204.0	4705	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG4	mixed_or_codon_evidence	44	384.0	4705	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG5	all_complete	3682	1003.0	6439	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG5	all_partial	2643	419.0	6439	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG5	mixed_or_codon_evidence	114	416.5	6439	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG6	all_complete	285	1065.0	331	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG6	all_partial	40	735.5	331	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG6	mixed_or_codon_evidence	6	525.0	331	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG7	all_complete	2750	530.0	3262	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG7	all_partial	484	346.5	3262	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG7	mixed_or_codon_evidence	28	355.5	3262	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG8	all_complete	3930	665.0	7261	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG8	all_partial	3146	344.0	7261	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG8	mixed_or_codon_evidence	185	424.0	7261	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG9	all_complete	611	562.0	674	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG9	all_partial	50	386.5	674	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
RVT-UG9	mixed_or_codon_evidence	13	275.0	674	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
Retron	all_complete	54679	366.0	78287	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
Retron	all_partial	19954	255.0	78287	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
Retron	mixed_or_codon_evidence	3654	375.0	78287	exact RT sequences	V-RT-SINGLE exact RTs of that family label	a missing Prodigal partial flag is 'no_completeness_evidence', never 'partial'
