family	in_RVT_All_hmm	in_List_file	has_fst	has_sto	hmm_model_length	hmm_NSEQ	fasta_records	fasta_unique_aa	duplicates_within_family	NSEQ_equals_fasta_records	len_min	len_median	len_max	n_seeds_contained_in_RTs_collection	n_in_RTs_collection_same_label	what_the_sequences_are	unit	stratum	denominator
RVT-AbiA	YES	YES	YES	YES	174	18	18	18	0	YES	137	166	222	17	19	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-AbiK	YES	YES	YES	YES	132	12	12	12	0	YES	84	127	142	5	5	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-AbiP2	YES	YES	YES	YES	154	43	43	43	0	YES	139	151	189	8	12	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-CRISPR-G1	YES	YES	YES	YES	204	13	13	13	0	YES	202	203	205	13	0	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-CRISPR-G2	YES	YES	YES	YES	203	23	23	23	0	YES	162	204	235	22	0	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-CRISPR-G3	YES	YES	YES	YES	205	19	19	19	0	YES	165	204	210	17	0	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-CRISPR-G4	YES	YES	YES	YES	209	6	6	6	0	YES	209	212	213	6	0	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-CRISPR-G5	YES	YES	YES	YES	203	52	52	52	0	YES	88	201	224	52	0	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-CRISPR-like	NO	YES	YES	YES			10	10	0	n/a	198	220	226	10	0	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-DGRs	YES	YES	YES	YES	208	416	416	416	0	YES	81	202	254	391	502	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-G2L	YES	NO	YES	YES	220	27	27	25	2	YES	185	220	226	27	55	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-G2L4	YES	YES	YES	YES	197	17	17	17	0	YES	179	198	224	8	8	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-G2Lb	YES	NO	YES	YES	174	10	10	10	0	YES	172	174	197	10	0	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-G2Lc	YES	NO	YES	YES	224	6	6	6	0	YES	202	222	226	6	0	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-GII-I	YES	YES	YES	YES	221	207	207	207	0	YES	98	222	266	195	0	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-GII-II	YES	YES	YES	YES	209	247	247	247	0	YES	87	211	277	239	0	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-Retrons	YES	YES	YES	YES	191	91	91	91	0	YES	161	197	235	91	96	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG1	YES	YES	YES	YES	172	29	29	29	0	YES	110	172	196	29	31	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG10	YES	YES	YES	YES	222	16	16	16	0	YES	140	222	230	7	8	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG11	YES	YES	YES	YES	153	14	14	14	0	YES	141	152	174	14	14	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG12	YES	YES	YES	YES	156	33	33	33	0	YES	81	142	209	33	37	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG13	YES	YES	YES	YES	160	18	18	18	0	YES	133	152	215	18	25	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG14	YES	YES	YES	YES	163	10	10	10	0	YES	128	166	194	9	17	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG15	YES	YES	YES	YES	139	38	38	38	0	YES	82	138	166	35	39	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG16	YES	YES	YES	YES	137	17	17	17	0	YES	125	134	158	16	17	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG17	YES	YES	YES	YES	203	75	75	75	0	YES	170	202	209	75	78	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
RVT-UG18	YES	YES	YES	YES	195	9	9	9	0	YES	193	195	196	9	10	RT-domain fragment excised at the Pfam RVT_1 hit coordinates by buildRVT.sh	myRT family seed set	family	45 canonical models in RVT-All.hmm
