population	bin_left_bp	bin_right_bp	n_placements	n_in_population	pct_of_population
CANONICAL	-10000.001	-5000.0	390	344154	0.1133
CANONICAL	-5000.0	-2000.0	2631	344154	0.7645
CANONICAL	-2000.0	-1000.0	122227	344154	35.5152
CANONICAL	-1000.0	-500.0	6253	344154	1.8169
CANONICAL	-500.0	-200.0	3418	344154	0.9932
CANONICAL	-200.0	-100.0	9224	344154	2.6802
CANONICAL	-100.0	-50.0	23188	344154	6.7377
CANONICAL	-50.0	-20.0	98645	344154	28.663
CANONICAL	-20.0	-5.0	23667	344154	6.8769
CANONICAL	-5.0	0.0	47750	344154	13.8746
CANONICAL	0.0	5.0	0	344154	0.0
CANONICAL	5.0	20.0	7	344154	0.002
CANONICAL	20.0	50.0	20	344154	0.0058
CANONICAL	50.0	100.0	676	344154	0.1964
CANONICAL	100.0	200.0	201	344154	0.0584
CANONICAL	200.0	500.0	182	344154	0.0529
CANONICAL	500.0	1000.0	54	344154	0.0157
CANONICAL	1000.0	2000.0	86	344154	0.025
CANONICAL	2000.0	5000.0	5372	344154	1.5609
CANONICAL	5000.0	10000.0	163	344154	0.0474
ATYPICAL	-10000.001	-5000.0	4	1159	0.3451
ATYPICAL	-5000.0	-2000.0	45	1159	3.8827
ATYPICAL	-2000.0	-1000.0	98	1159	8.4556
ATYPICAL	-1000.0	-500.0	9	1159	0.7765
ATYPICAL	-500.0	-200.0	7	1159	0.604
ATYPICAL	-200.0	-100.0	34	1159	2.9336
ATYPICAL	-100.0	-50.0	209	1159	18.0328
ATYPICAL	-50.0	-20.0	207	1159	17.8602
ATYPICAL	-20.0	-5.0	79	1159	6.8162
ATYPICAL	-5.0	0.0	434	1159	37.4461
ATYPICAL	0.0	5.0	2	1159	0.1726
ATYPICAL	5.0	20.0	0	1159	0.0
ATYPICAL	20.0	50.0	4	1159	0.3451
ATYPICAL	50.0	100.0	10	1159	0.8628
ATYPICAL	100.0	200.0	0	1159	0.0
ATYPICAL	200.0	500.0	0	1159	0.0
ATYPICAL	500.0	1000.0	0	1159	0.0
ATYPICAL	1000.0	2000.0	0	1159	0.0
ATYPICAL	2000.0	5000.0	17	1159	1.4668
ATYPICAL	5000.0	10000.0	0	1159	0.0
