replicate_group	tier	relatedness_cluster_30pct	group_evidence_class	n_pdb_entries	n_chains	pdb_entries	family_class_METADATA_ONLY	per_chain_evidence_classes	n_with_catalytic_metal	n_with_nucleotide	n_apo	best_resolution_A	structure_truth	literature_truth	literature_status
RG01	A_calibration	C30_01	HARD_PAIR	5	5	5HHJ,5HHK,5HHL,7UIM,7UIN	RVT-GII maturase	HARD_PAIR=3; NONE=2	2	0	3	1.2	5HHJ_A:151,239 | 5HHK_A:151,239 | 5HHL_A:139,227		PENDING (deposition evidence sufficient for tiering)
RG02	A_calibration	C30_03	HARD_PAIR	5	5	8C8J,8SXT,8UW3,9HDO,9K6G	non-LTR (LINE-1 ORF2p)	HARD_PAIR=4; NONE=1	3	4	0	2.1	8C8J_A:600,702 | 8SXT_A:600,702 | 8UW3_A:600,702 | 9HDO_A:600,702		PENDING (deposition evidence sufficient for tiering)
RG03	B_heldout	C30_02	HARD_SINGLE	6	6	7V9U,7V9X,7XJG,8QBK,8QBL,8QBM	RVT-Retrons (Ec86)	NONE=4; HARD_SINGLE=2	4	0	0	2.51	7XJG_A:198 | 8QBL_A:198		PENDING
RG04	A_calibration	C30_01	NONE	3	3	6ME0,6MEC,8FLI	RVT-GII maturase	NONE=3	3	0	0	3.6			PENDING
RG05	C_no_truth_yet	C30_04	NONE	4	4	9L7P,9NNB,9VHE,9VHL	RVT-Retrons (Ec78);RVT-Retrons (St85)	NONE=4	3	4	0	2.5			PENDING
RG06	B_heldout	C30_08	FUNCTIONAL_PAIR	6	6	23OR,9LBQ,9LPA,9WN8,9X94,9X9B	RVT-Retrons (Eco8)	NONE=6	1	2	0	2.57		D107; Y198; D200; D201 (YADD motif Y198-D201)	VERIFIED from PMC full text 2026-09-18
RG07	A_calibration	C30_10	HARD_PAIR	2	2	8UB7,8UBD	RVT-DGRs (bRT)	HARD_PAIR=1; NONE=1	1	1	0	3.05	8UB7_A:138,215		PENDING (deposition evidence sufficient for tiering)
RG08	B_heldout	C30_11	HARD_SINGLE	2	2	9C0I,9LJE	RVT-UG2;RVT-UG2 (DRT2)	HARD_SINGLE=2	2	0	0	2.75	9C0I_A:140 | 9LJE_A:140		PENDING (deposition evidence sufficient for tiering)
RG09	A_calibration	C30_05	HARD_PAIR	2	2	9D4S,9D5X	RVT-G2L4	HARD_PAIR=1; NONE=1	1	1	1	2.61	9D4S_A:145,239,240		PENDING (deposition evidence sufficient for tiering)
RG10	A_calibration	C30_06	HARD_PAIR	2	2	9DOU,9NL3	non-LTR (R2Tg)	HARD_PAIR=1; HARD_SINGLE=1	2	2	0	3.2	9DOU_A:777,878 | 9NL3_A:657		PENDING (deposition evidence sufficient for tiering)
