key	value
schema_version	rtmap-schema-1.0
mapper_version	rtmap-1.0.0/46aa95cb0e197b40
instrument_sha256	46aa95cb0e197b403f4e765c0264bb1dd1ea12a6b9c601286d419f136fd31610
shard	smoke
input_path	/tmp/claude-1000/vg4b_1/smoke/smoke_input.faa
input_sha256	eb61e9a4b55c9a502c0a3a1894bc5d9b5e4656d2f8f0d27e6e891bd3976a66b9
input_records_read	23
input_valid	19
input_invalid	4
distinct_rt_hash	18
duplicate_ids_collapsed	1
batch_size	500
n_batches	1
sequences_emitted	19
state_rows_emitted	2850
failures_emitted	4
metadata_path	NONE
metadata_sha256	NONE
min_aa_eligibility	250
hmmer_version	HMMER 3.4 (Aug 2023); http://hmmer.org/
python_version	3.12.12
host	borg-AS-5014A-TT
started_utc	2026-09-17T14:47:55Z
finished_utc	2026-09-17T14:47:55Z
instrument.CAT_STATE	262
instrument.D_MAX	0.48
instrument.D_RANDOM	0.067
instrument.K_MIN	30
instrument.PP_HI	0.75
instrument.PP_LO	0.5
instrument.S_MIN	10
instrument.T1	0.32
instrument.anchor_set_sha256	3eca033357f5f7ca25c0572cb743cc6827246140e57f1eb5012637b219c826dc
instrument.dyad_pattern	[YF].DD
instrument.hmmalign_sha256	532f1ed4c21dc03a12007b31c2dc0568e82cab659b0d75c20efd20e6374f53e2
instrument.hmmsearch_sha256	e73bad9d701f129795dd3ffb108ee2d4724ab4c8b1a46269bd5671bdcfcdc8f2
instrument.mapper_sha256	69575dc7ac74f6094bda3c35df100d0f8f5a0e4c25142ac61c5d1026f10fceef
instrument.match_state_definition	hhmake -M 50
instrument.n_anchors	150
instrument.profile_leng	471
instrument.profile_sha256	292495a4f4ec2d04c47cf73c658b0f5cbaec7b202de70d97e6fc2496dd82e97b
instrument.schema_version	rtmap-schema-1.0
output.smoke.failures.tsv	10ff4ee9e9471bd68f484585135530a3fdae15cc70d7767d132865442d65d0ef
output.smoke.sequences.tsv	7366f419a7520958c8797bd03b3d889f99e4a50bd2d6880ac67f660e8abdfce6
output.smoke.states.tsv	a63c5b317b229dec0249cf549ea310603505131d555dac8694fd1aec185a771d
