set_id	member_id	cohort	stratum	win_from	win_to	physical_locus_key	record_key	rt_seq_hash	contig	rt_start	rt_end	rt_strand	tax_phylum	rt50	rt90
CTRL_GII_HARD_1	m00	CTRL_GII_HARD	RVT-GII	-300	-1	FCOJ02000021.1:106963-108243:+	master_RVT-GII_merged_oriented.jsonl:1525784	5ffa088f000251012c1be2e7b950a7f7d6b1f19756d880c194964ac6257626b8	FCOJ02000021.1	106963	108243	+		11cec2d82c2015e0f690d8adb76e06bf246ef36444a098c87570994145496adc	5ffa088f000251012c1be2e7b950a7f7d6b1f19756d880c194964ac6257626b8
CTRL_GII_HARD_1	m01	CTRL_GII_HARD	RVT-GII	-300	-1	PWWU01000285.1:1767-3260:-	master_RVT-GII_merged_oriented.jsonl:1552356	34a5d1fef3ea9fd67bac5c731d9ce36117d25d75f44eaa4acca74999bf3e9bd1	PWWU01000285.1	1767	3260	-		11cec2d82c2015e0f690d8adb76e06bf246ef36444a098c87570994145496adc	34a5d1fef3ea9fd67bac5c731d9ce36117d25d75f44eaa4acca74999bf3e9bd1
CTRL_GII_HARD_1	m02	CTRL_GII_HARD	RVT-GII	-300	-1	JBFRKX010000097.1:1638-2948:-	master_RVT-GII_merged_oriented.jsonl:611568	bbf347deb8b78592d808b87197b599f5e4a5fb0cd40773060f973d0158c62511	JBFRKX010000097.1	1638	2948	-		11cec2d82c2015e0f690d8adb76e06bf246ef36444a098c87570994145496adc	f3bc6370eee6e91e38da53915660b667acae45169de4c05b7be98882f9a5a068
CTRL_GII_HARD_1	m03	CTRL_GII_HARD	RVT-GII	-300	-1	CP066308.1:2025183-2026445:+	master_RVT-GII_merged_oriented.jsonl:265654	74da0330d06c71cba34996a852657424ffeb3eb5099e9350695f6d66ae1d8cfd	NZ_CP066308.1	2025183	2026445	+	Bacillota	11cec2d82c2015e0f690d8adb76e06bf246ef36444a098c87570994145496adc	74da0330d06c71cba34996a852657424ffeb3eb5099e9350695f6d66ae1d8cfd
CTRL_GII_HARD_1	m04	CTRL_GII_HARD	RVT-GII	-300	-1	CP016321.1:640807-642117:+	master_RVT-GII_merged_oriented.jsonl:41891	f71b249186df446b76ac220340185edd1ea8a8d31b464318cd5a8f8004a99d9f	NZ_CP016321.1	640807	642117	+	Pseudomonadota	11cec2d82c2015e0f690d8adb76e06bf246ef36444a098c87570994145496adc	f71b249186df446b76ac220340185edd1ea8a8d31b464318cd5a8f8004a99d9f
CTRL_GII_HARD_1	m05	CTRL_GII_HARD	RVT-GII	-300	-1	JARBTB010000005.1:69594-70961:+	master_RVT-GII_merged_oriented.jsonl:1597550	54a518c692a573e28f6e731f98225643011f03f7c3e91dc44c477d2538f95d1a	JARBTB010000005.1	69594	70961	+		11cec2d82c2015e0f690d8adb76e06bf246ef36444a098c87570994145496adc	54a518c692a573e28f6e731f98225643011f03f7c3e91dc44c477d2538f95d1a
CTRL_GII_HARD_1	m06	CTRL_GII_HARD	RVT-GII	-300	-1	CP133587.1:4808885-4810174:-	master_RVT-GII_merged_oriented.jsonl:247508	d483ae53108b6df1f4cfbf8a247d726ddf043990212e5e1f26ef93c673690bc6	NZ_CP133587.1	4808885	4810174	-	Bacillota	11cec2d82c2015e0f690d8adb76e06bf246ef36444a098c87570994145496adc	d483ae53108b6df1f4cfbf8a247d726ddf043990212e5e1f26ef93c673690bc6
CTRL_GII_HARD_1	m07	CTRL_GII_HARD	RVT-GII	-300	-1	JACGMF010000003.1:1356515-1357825:-	master_RVT-GII_merged_oriented.jsonl:1175077	8933fd92d66d5873f7bf25cd0b7c46f6cf7eb544ac93bac334edd34446b9a62f	JACGMF010000003.1	1356515	1357825	-		11cec2d82c2015e0f690d8adb76e06bf246ef36444a098c87570994145496adc	8933fd92d66d5873f7bf25cd0b7c46f6cf7eb544ac93bac334edd34446b9a62f
CTRL_GII_HARD_1	m08	CTRL_GII_HARD	RVT-GII	-300	-1	ABKWRA010000080.1:526-1836:+	master_RVT-GII_merged_oriented.jsonl:1382975	77bfd66bd5a3e99cacd9afc88de1a16e4902c675abb4c9968f64448cc255e52f	ABKWRA010000080.1	526	1836	+		11cec2d82c2015e0f690d8adb76e06bf246ef36444a098c87570994145496adc	77bfd66bd5a3e99cacd9afc88de1a16e4902c675abb4c9968f64448cc255e52f
CTRL_GII_HARD_1	m09	CTRL_GII_HARD	RVT-GII	-300	-1	LR593888.1:4665656-4667074:-	master_RVT-GII_merged_oriented.jsonl:323598	2bc7b19a83cb316a13a8f7a20affcf545c998a7b76067da0d7b4c250a5caea87	NZ_LR593888.1	4665656	4667074	-	Planctomycetota	11cec2d82c2015e0f690d8adb76e06bf246ef36444a098c87570994145496adc	2bc7b19a83cb316a13a8f7a20affcf545c998a7b76067da0d7b4c250a5caea87
