set_id	member_id	z6_locus_keys	physical_locus_key	genome	source_database	contig	rt_start	rt_end	rt_strand	cand_start	cand_end	cand_strand	model	cm_E	cm_score	z6_status	overlaps_retained_intergenic	n_nonRT_cds_overlapping_hit	cds_nt_over_hit	hit_len	assigned_to_neighbour_record	other_record	other_call	production_artifact_inspected	class	final_status
PIL_S12_HOMOLOG_HAS_CM_1	m03	DAZMUP010000004.1:269605-270570:-	DAZMUP010000004.1:269605-270570:-	GCA_043695575.1	ncbi_bacteria	DAZMUP010000004.1	269605	270570	-	270572	270704	-	TypeIX	1e-15	65.1	NO_NCRNA_CALL_IN_RETAINED_WINDOW	False	1	133	133	False			local: raw June corpus record, rt_ncrna_calls_v1, producer code copies; Ibex (read-only, 2026-09-19): /ibex/project/c2366/RETRONS listed (8 entries; FINAL_RETRON_PROJECT_v7/ -> embeddings only; RESEARCH-retron-db/ -> nbhd only) — no per-genome June Infernal tblout / integrated_results found	R1_NO_INTERGENIC_OVERLAP	RECONCILED_R1: hit not in any retained intergenic region (producer version for June run unrecorded -> provenance uncertainty)
PIL_S12_HOMOLOG_HAS_CM_1	m09	CP099736.1:9287-10249:-;NZ_CP099736.1:9287-10249:-	CP099736.1:9287-10249:-	GCA_025398175.1	ncbi_bacteria	CP099736.1	9287	10249	-	10251	10383	-	TypeIX	2.3e-15	63.8	NO_NCRNA_CALL_IN_RETAINED_WINDOW	False	1	133	133	False			local: raw June corpus record, rt_ncrna_calls_v1, producer code copies; Ibex (read-only, 2026-09-19): /ibex/project/c2366/RETRONS listed (8 entries; FINAL_RETRON_PROJECT_v7/ -> embeddings only; RESEARCH-retron-db/ -> nbhd only) — no per-genome June Infernal tblout / integrated_results found	R1_NO_INTERGENIC_OVERLAP	RECONCILED_R1: hit not in any retained intergenic region (producer version for June run unrecorded -> provenance uncertainty)
PIL_S12_HOMOLOG_HAS_CM_1	m04	ABGWIB010000016.1:65395-66357:-	ABGWIB010000016.1:65395-66357:-	GCA_024112095.1	ncbi_bacteria	ABGWIB010000016.1	65395	66357	-	66359	66491	-	TypeIX	2.6e-15	63.6	NO_NCRNA_CALL_IN_RETAINED_WINDOW	False	1	133	133	False			local: raw June corpus record, rt_ncrna_calls_v1, producer code copies; Ibex (read-only, 2026-09-19): /ibex/project/c2366/RETRONS listed (8 entries; FINAL_RETRON_PROJECT_v7/ -> embeddings only; RESEARCH-retron-db/ -> nbhd only) — no per-genome June Infernal tblout / integrated_results found	R1_NO_INTERGENIC_OVERLAP	RECONCILED_R1: hit not in any retained intergenic region (producer version for June run unrecorded -> provenance uncertainty)
PIL_S12_HOMOLOG_HAS_CM_1	m02	CAWPZC010001720.1:105896-106861:+	CAWPZC010001720.1:105896-106861:+	GCA_963892075.1	ncbi_bacteria	CAWPZC010001720.1	105896	106861	+	105762	105894	+	TypeIX	3e-15	63.4	NO_NCRNA_CALL_IN_RETAINED_WINDOW	False	1	133	133	False			local: raw June corpus record, rt_ncrna_calls_v1, producer code copies; Ibex (read-only, 2026-09-19): /ibex/project/c2366/RETRONS listed (8 entries; FINAL_RETRON_PROJECT_v7/ -> embeddings only; RESEARCH-retron-db/ -> nbhd only) — no per-genome June Infernal tblout / integrated_results found	R1_NO_INTERGENIC_OVERLAP	RECONCILED_R1: hit not in any retained intergenic region (producer version for June run unrecorded -> provenance uncertainty)
PIL_S12_HOMOLOG_HAS_CM_1	m01	JBCIHZ010000010.1:100182-101150:-	JBCIHZ010000010.1:100182-101150:-	GCA_040102955.1	ncbi_bacteria	JBCIHZ010000010.1	100182	101150	-	101152	101284	-	TypeIX	4.9e-15	62.6	NO_NCRNA_CALL_IN_RETAINED_WINDOW	False	1	133	133	False			local: raw June corpus record, rt_ncrna_calls_v1, producer code copies; Ibex (read-only, 2026-09-19): /ibex/project/c2366/RETRONS listed (8 entries; FINAL_RETRON_PROJECT_v7/ -> embeddings only; RESEARCH-retron-db/ -> nbhd only) — no per-genome June Infernal tblout / integrated_results found	R1_NO_INTERGENIC_OVERLAP	RECONCILED_R1: hit not in any retained intergenic region (producer version for June run unrecorded -> provenance uncertainty)
PIL_S12_HOMOLOG_HAS_CM_1	m06	MGYG000476397_17:209234-210199:+	MGYG000476397_17:209234-210199:+	MGYG000476397	mgnify_marine	MGYG000476397_17	209234	210199	+	209100	209232	+	TypeIX	4.9e-15	62.6	NO_NCRNA_CALL_IN_RETAINED_WINDOW	False	1	133	133	False			local: raw June corpus record, rt_ncrna_calls_v1, producer code copies; Ibex (read-only, 2026-09-19): /ibex/project/c2366/RETRONS listed (8 entries; FINAL_RETRON_PROJECT_v7/ -> embeddings only; RESEARCH-retron-db/ -> nbhd only) — no per-genome June Infernal tblout / integrated_results found	R1_NO_INTERGENIC_OVERLAP	RECONCILED_R1: hit not in any retained intergenic region (producer version for June run unrecorded -> provenance uncertainty)
PIL_S12_HOMOLOG_HAS_CM_1	m05	DBIZKH010000008.1:56142-57104:+	DBIZKH010000008.1:56142-57104:+	GCA_050761935.1	ncbi_bacteria	DBIZKH010000008.1	56142	57104	+	56008	56140	+	TypeIX	7.6e-15	61.9	NO_NCRNA_CALL_IN_RETAINED_WINDOW	False	1	133	133	False			local: raw June corpus record, rt_ncrna_calls_v1, producer code copies; Ibex (read-only, 2026-09-19): /ibex/project/c2366/RETRONS listed (8 entries; FINAL_RETRON_PROJECT_v7/ -> embeddings only; RESEARCH-retron-db/ -> nbhd only) — no per-genome June Infernal tblout / integrated_results found	R1_NO_INTERGENIC_OVERLAP	RECONCILED_R1: hit not in any retained intergenic region (producer version for June run unrecorded -> provenance uncertainty)
PIL_S12_HOMOLOG_HAS_CM_1	m00	NC_019393.1:994971-995933:+	NC_019393.1:994971-995933:+	GCF_000310085.1	gtdb_bacteria	NC_019393.1	994971	995933	+	994837	994969	+	TypeIX	8.3e-15	61.8	NO_NCRNA_CALL_IN_RETAINED_WINDOW	False	1	133	133	False			local: raw June corpus record, rt_ncrna_calls_v1, producer code copies; Ibex (read-only, 2026-09-19): /ibex/project/c2366/RETRONS listed (8 entries; FINAL_RETRON_PROJECT_v7/ -> embeddings only; RESEARCH-retron-db/ -> nbhd only) — no per-genome June Infernal tblout / integrated_results found	R1_NO_INTERGENIC_OVERLAP	RECONCILED_R1: hit not in any retained intergenic region (producer version for June run unrecorded -> provenance uncertainty)
PIL_S12_HOMOLOG_HAS_CM_1	m08	NZ_SIHM01000015.1:5660-6622:+;SIHM01000015.1:5660-6622:+	SIHM01000015.1:5660-6622:+	GCF_004321515.1	gtdb_bacteria	SIHM01000015.1	5660	6622	+	5526	5658	+	TypeIX	1e-14	61.4	NO_NCRNA_CALL_IN_RETAINED_WINDOW	False	1	133	133	False			local: raw June corpus record, rt_ncrna_calls_v1, producer code copies; Ibex (read-only, 2026-09-19): /ibex/project/c2366/RETRONS listed (8 entries; FINAL_RETRON_PROJECT_v7/ -> embeddings only; RESEARCH-retron-db/ -> nbhd only) — no per-genome June Infernal tblout / integrated_results found	R1_NO_INTERGENIC_OVERLAP	RECONCILED_R1: hit not in any retained intergenic region (producer version for June run unrecorded -> provenance uncertainty)
PIL_S12_HOMOLOG_HAS_CM_4	m09	LIUW01000013.1:36974-38197:-;NZ_LIUW01000013.1:36974-38197:-	LIUW01000013.1:36974-38197:-	GCA_001419785.1	ncbi_bacteria	LIUW01000013.1	36974	38197	-	38218	38308	-	TypeIV	1e-14	69.2	NO_NCRNA_CALL_IN_RETAINED_WINDOW	True	0	0	91	False			local: raw June corpus record, rt_ncrna_calls_v1, producer code copies; Ibex (read-only, 2026-09-19): /ibex/project/c2366/RETRONS listed (8 entries; FINAL_RETRON_PROJECT_v7/ -> embeddings only; RESEARCH-retron-db/ -> nbhd only) — no per-genome June Infernal tblout / integrated_results found	R3_UNRESOLVED	UNRESOLVED_R3: production per-genome output not located; not inferred
