family	n_inspectable	mean_mapped_fraction	profile	unit	denominator
MULTI	2584	0.5300	0.1788;0.2295;0.2299;0.2314;0.2299;0.2326;0.2353;0.2415;0.2500;0.2523;0.2663;0.2802;0.2786;0.2748;0.2697;0.2666;0.2678;0.2500;0.2237;0.2601;0.2705;0.2844;0.3030;0.3154;0.4791;0.4791;0.3479;0.3382;0.2933;0.2701;0.2268;0.2856;0.3216;0.5731;0.6838;0.7291;0.7307;0.7314;0.7318;0.7334;0.7372;0.7372;0.7376;0.7388;0.7279;0.7237;0.7214;0.7187;0.7194;0.7156;0.7156;0.7136;0.7140;0.4559;0.4385;0.4164;0.4098;0.4087;0.3982;0.4129;0.4300;0.4307;0.4245;0.5097;0.5112;0.5147;0.5101;0.5089;0.4992;0.5116;0.4334;0.3549;0.3119;0.3038;0.2802;0.2485;0.8162;0.8220;0.8189;0.8193;0.8212;0.8042;0.7988;0.7875;0.7813;0.7272;0.6970;0.6656;0.6552;0.6443;0.6374;0.6262;0.0240;0.0275;0.0252;0.0252;0.0244;0.0224;0.2713;0.3189;0.6064;0.9156;0.9075;0.8793;0.7980;0.6033;0.6095;0.6087;0.6099;0.6362;0.6420;0.6606;0.6672;0.6800;0.7098;0.7248;0.7515;0.7655;0.7779;0.7802;0.7864;0.7872;0.8053;0.8139;0.8189;0.8317;0.8363;0.8429;0.8495;0.8413;0.8390;0.8363;0.8185;0.7543;0.6858;0.6184;0.5670;0.5418;0.5008;0.4799;0.3409;0.4822;0.4938;0.4961;0.4957;0.4721;0.4485;0.4315;0.3986;0.3665	exact RT (INSPECTABLE)	2584 inspectable in this family
RVT-AbiK	800	0.3864	0.0075;0.0075;0.0075;0.0075;0.0075;0.0075;0.0075;0.0000;0.0000;0.0000;0.0075;0.0075;0.0075;0.0075;0.0075;0.0075;0.0075;0.0075;0.0075;0.0075;0.0088;0.0088;0.0088;0.0088;0.0000;0.0000;0.0075;0.0100;0.0100;0.0100;0.0100;0.0113;0.0200;0.3738;0.3762;0.3775;0.3775;0.3775;0.3775;0.3750;0.3750;0.3700;0.3625;0.1063;0.0025;0.0063;0.0063;0.0063;0.0063;0.0063;0.0075;0.0075;0.0075;0.0063;0.0063;0.0063;0.0088;0.0125;0.0312;0.0550;0.0575;0.0637;0.0600;0.2975;0.2988;0.3100;0.3162;0.3162;0.3162;0.3200;0.2975;0.2338;0.0000;0.0000;0.0000;0.0000;0.9625;0.9625;0.9638;0.9725;0.9725;0.9725;0.9737;0.9737;0.9737;0.9737;0.9750;0.9750;0.9750;0.9750;0.9750;0.9750;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0037;0.0162;0.9187;1.0000;0.9987;0.9975;0.9975;0.9975;0.9975;0.9975;0.9975;0.9975;0.9975;0.9975;0.9975;0.9975;0.9950;0.9937;0.9925;0.9912;0.9812;0.9812;0.9812;0.9812;0.9887;0.9887;0.9875;0.9875;0.9875;0.9850;0.9850;0.9837;0.9837;0.9825;0.9613;0.9438;0.9362;0.6263;0.0850;0.0050;0.0000;0.0000;0.0050;0.0050;0.0050;0.0050;0.0050;0.0025;0.0000;0.0000;0.0000;0.0000	exact RT (INSPECTABLE)	800 inspectable in this family
RVT-AbiP2	5623	0.4726	0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0272;0.0279;0.0286;0.0341;0.0357;0.0672;0.4587;0.6541;0.6708;0.7000;0.7012;0.7012;0.7016;0.7018;0.7014;0.6996;0.6973;0.6838;0.5072;0.4352;0.4201;0.4089;0.4053;0.3941;0.3948;0.3957;0.3957;0.1158;0.1186;0.1254;0.1272;0.1240;0.1288;0.1362;0.1499;0.1738;0.1222;0.2333;0.2751;0.3418;0.3806;0.3868;0.3852;0.3841;0.3724;0.3596;0.2636;0.2604;0.2472;0.2131;0.9833;0.9833;0.9833;0.9835;0.9840;0.9909;0.9911;0.9906;0.9906;0.9900;0.9906;0.9902;0.9902;0.9902;0.9897;0.9893;0.5782;0.5721;0.5513;0.5074;0.4834;0.3966;0.2780;0.7795;0.8383;0.9911;0.9911;0.9908;0.9897;0.9877;0.9867;0.9861;0.9860;0.9858;0.9852;0.9851;0.9845;0.9842;0.9827;0.9820;0.9815;0.9810;0.9803;0.9797;0.9790;0.9783;0.9765;0.9765;0.9762;0.9760;0.9760;0.9753;0.9730;0.9719;0.9705;0.9701;0.9659;0.6794;0.3399;0.1151;0.0066;0.0007;0.0004;0.0002;0.0066;0.0094;0.0101;0.0107;0.0094;0.0092;0.0091;0.0085;0.0084;0.0076	exact RT (INSPECTABLE)	5623 inspectable in this family
RVT-CRISPR	3526	0.9004	0.9546;0.9668;0.9677;0.9694;0.9694;0.9725;0.9753;0.9756;0.9767;0.9770;0.9756;0.9767;0.9762;0.9759;0.9745;0.9711;0.9694;0.9688;0.9725;0.9745;0.9762;0.9770;0.9779;0.9784;0.9796;0.9796;0.9748;0.9742;0.9725;0.9714;0.9370;0.9736;0.9787;0.9855;0.9855;0.9858;0.9861;0.9861;0.9864;0.9870;0.9875;0.9875;0.9870;0.9870;0.9864;0.9858;0.9850;0.9844;0.9841;0.9836;0.9836;0.9833;0.9821;0.9396;0.9455;0.9464;0.9470;0.9433;0.9368;0.9402;0.9444;0.9461;0.9402;0.9558;0.9623;0.9623;0.9594;0.9535;0.9521;0.9532;0.9385;0.9019;0.8437;0.8296;0.8179;0.8066;0.9427;0.9464;0.9461;0.9458;0.9478;0.9507;0.9535;0.9501;0.9492;0.9535;0.9538;0.9507;0.9487;0.9475;0.9467;0.9450;0.0060;0.0048;0.0045;0.0045;0.0040;0.0034;0.0752;0.0902;0.8744;0.9841;0.9838;0.9833;0.9807;0.9714;0.9711;0.9702;0.9699;0.9682;0.9677;0.9677;0.9674;0.9668;0.9665;0.9663;0.9660;0.9674;0.9711;0.9711;0.9725;0.9733;0.9711;0.9711;0.9708;0.9705;0.9697;0.9694;0.9688;0.9382;0.8755;0.8429;0.8364;0.8953;0.9115;0.9178;0.9195;0.9180;0.9163;0.9169;0.9512;0.9611;0.9611;0.9583;0.9566;0.9022;0.8687;0.8449;0.7011;0.5567	exact RT (INSPECTABLE)	3526 inspectable in this family
RVT-CRISPR-like	1698	0.6796	0.5789;0.5978;0.5966;0.5989;0.5966;0.6154;0.6278;0.6455;0.6537;0.6561;0.6667;0.6661;0.6620;0.6614;0.6596;0.6567;0.6461;0.6443;0.6431;0.6525;0.6484;0.6525;0.6561;0.6602;0.6855;0.6531;0.6066;0.5978;0.5807;0.5677;0.5194;0.5218;0.5542;0.8133;0.8322;0.8510;0.8545;0.8551;0.8551;0.8569;0.8545;0.8534;0.8445;0.8233;0.7273;0.7173;0.7126;0.7291;0.7397;0.7344;0.7350;0.7332;0.7303;0.4929;0.4829;0.4759;0.4788;0.4717;0.4541;0.4499;0.4541;0.4670;0.4817;0.6402;0.6737;0.6837;0.6773;0.6678;0.6620;0.6567;0.6154;0.5842;0.5495;0.5377;0.5236;0.5165;0.9346;0.9358;0.9340;0.9311;0.9287;0.9199;0.9140;0.9005;0.8940;0.8657;0.8610;0.8557;0.8486;0.8439;0.8369;0.8298;0.0059;0.0065;0.0059;0.0065;0.0065;0.0065;0.0889;0.3793;0.7556;0.9464;0.9441;0.9234;0.9128;0.8828;0.8834;0.8804;0.8787;0.8751;0.8704;0.8675;0.8663;0.8663;0.8722;0.8781;0.8775;0.8793;0.8781;0.8769;0.8769;0.8757;0.8245;0.8227;0.8210;0.8269;0.8221;0.8139;0.7762;0.7373;0.7079;0.6926;0.6419;0.6178;0.5889;0.5766;0.5571;0.5453;0.5300;0.5141;0.6190;0.6643;0.6708;0.6696;0.6667;0.6390;0.6201;0.6042;0.5648;0.5224	exact RT (INSPECTABLE)	1698 inspectable in this family
RVT-DGRs	58975	0.7907	0.5785;0.6487;0.6448;0.6407;0.6483;0.7388;0.7927;0.8424;0.8496;0.8470;0.8380;0.8466;0.8469;0.8464;0.8458;0.8486;0.8480;0.8467;0.8387;0.8391;0.8299;0.8174;0.8150;0.8212;0.8320;0.8437;0.7910;0.7584;0.7112;0.6838;0.4996;0.5525;0.6000;0.9451;0.9562;0.9613;0.9614;0.9616;0.9618;0.9618;0.9620;0.9618;0.9617;0.9616;0.9611;0.9605;0.9543;0.9510;0.9474;0.9429;0.9412;0.9362;0.9312;0.8642;0.8657;0.8573;0.8546;0.8463;0.7666;0.7675;0.7671;0.7670;0.6242;0.6254;0.6202;0.6145;0.6019;0.5982;0.5848;0.5458;0.4514;0.3456;0.1541;0.1303;0.1202;0.1082;0.8536;0.8571;0.8529;0.8600;0.8838;0.9164;0.9193;0.9250;0.9186;0.9343;0.9342;0.9334;0.9324;0.9311;0.9286;0.9276;0.0315;0.0305;0.0286;0.0266;0.0218;0.0197;0.3116;0.5464;0.6730;0.9865;0.9855;0.9841;0.9825;0.9650;0.9669;0.9670;0.9654;0.9668;0.9677;0.9693;0.9694;0.9700;0.9709;0.9713;0.9720;0.9728;0.9725;0.9724;0.9726;0.9721;0.9677;0.9676;0.9678;0.9675;0.9672;0.9652;0.9628;0.6640;0.6141;0.6282;0.7398;0.8036;0.8193;0.8196;0.8254;0.8253;0.8199;0.8157;0.9110;0.9366;0.9367;0.9357;0.9309;0.9227;0.8930;0.8781;0.8622;0.8349	exact RT (INSPECTABLE)	58975 inspectable in this family
RVT-G2L	1290	0.7754	0.8829;0.9070;0.9070;0.9109;0.9109;0.9295;0.9302;0.9302;0.9302;0.9302;0.8775;0.8752;0.8419;0.2264;0.1984;0.1853;0.2023;0.1829;0.1760;0.1659;0.1806;0.1891;0.7651;0.8752;0.2667;0.2620;0.2364;0.2039;0.0984;0.0698;0.0116;0.9744;0.9791;0.9915;0.9922;0.9946;0.9953;0.9961;0.9961;0.9984;0.9984;0.9984;0.9984;0.9984;0.9977;0.9969;0.9961;0.9946;0.9946;0.9938;0.9938;0.9938;0.9922;0.3481;0.9558;0.9519;0.9512;0.9155;0.9202;0.9202;0.9209;0.9194;0.9186;0.9202;0.9217;0.9163;0.8946;0.8922;0.8992;0.2806;0.2496;0.2240;0.2023;0.1806;0.1295;0.1000;0.9969;0.9969;0.9969;0.9969;0.9969;0.9969;0.9977;0.9977;0.9977;0.9977;0.9977;0.9977;0.9977;0.9977;0.9969;0.9969;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0039;0.9868;0.9961;0.9961;0.9961;0.9953;0.9938;0.9915;0.9907;0.9891;0.9884;0.9876;0.9860;0.9853;0.9845;0.9837;0.9829;0.9829;0.9822;0.9822;0.9814;0.9791;0.9783;0.9729;0.9729;0.9721;0.9721;0.9729;0.9690;0.9465;0.0953;0.0876;0.8938;0.9605;0.9605;0.9620;0.9612;0.9597;0.9434;0.9411;0.9411;0.9302;0.9581;0.9581;0.9558;0.9558;0.9527;0.9488;0.9457;0.9419;0.9349	exact RT (INSPECTABLE)	1290 inspectable in this family
RVT-G2L4	827	0.8197	0.6977;0.8742;0.8779;0.8622;0.8755;0.8767;0.8779;0.8803;0.8863;0.8875;0.8609;0.8416;0.7025;0.3966;0.2503;0.2503;0.3736;0.3229;0.3313;0.3603;0.3797;0.5429;0.6638;0.7243;0.7400;0.7340;0.8972;0.8996;0.8996;0.9033;0.8682;0.9480;0.9613;0.9782;0.9891;0.9927;0.9927;0.9927;0.9927;0.9927;0.9927;0.9927;0.9927;0.9927;0.9927;0.9927;0.9903;0.9891;0.9891;0.9891;0.9891;0.9891;0.9879;0.9637;0.9649;0.9661;0.9698;0.9661;0.9758;0.9758;0.9819;0.9855;0.9819;0.9819;0.9807;0.9819;0.9758;0.9516;0.9045;0.8779;0.8489;0.7449;0.7195;0.6542;0.5139;0.4365;0.9952;0.9952;0.9952;0.9952;0.9940;0.9927;0.9927;0.9927;0.9927;0.9927;0.9927;0.9927;0.9927;0.9927;0.9903;0.9903;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0133;0.0641;0.9867;0.9867;0.9867;0.9855;0.9843;0.9831;0.9831;0.9831;0.9831;0.9589;0.9589;0.9577;0.9541;0.9541;0.9541;0.9649;0.9637;0.9674;0.9686;0.9686;0.9698;0.9710;0.9625;0.9589;0.9565;0.9553;0.9553;0.8597;0.7364;0.4450;0.4534;0.6264;0.6929;0.6276;0.5913;0.5635;0.5490;0.5635;0.5574;0.5562;0.9794;0.9807;0.9807;0.9807;0.9807;0.9758;0.9637;0.9359;0.8706;0.7860	exact RT (INSPECTABLE)	827 inspectable in this family
RVT-G2Lb	239	0.7877	0.9833;0.9833;0.9833;0.9916;0.9958;0.9958;0.9958;0.9958;0.9958;0.9958;0.9958;0.9958;0.9958;0.9958;0.9958;0.9958;0.9916;0.9582;0.6276;0.7657;0.6653;0.4310;0.4142;0.5900;0.9874;0.9833;0.9958;0.9958;0.9958;0.9958;0.9874;0.9958;0.9958;0.9916;0.9874;0.9749;0.9916;0.9874;0.9833;0.9749;0.9749;0.9749;0.9749;0.9791;0.9665;0.9749;0.9749;0.9707;0.9707;0.9749;0.9749;0.9665;0.9749;0.9749;0.9749;0.9749;0.9791;0.9791;0.9874;0.9791;0.9791;0.9791;0.9456;0.9498;0.9498;0.9372;0.9289;0.9247;0.9163;0.9121;0.7406;0.5774;0.0042;0.0042;0.0000;0.0000;0.9916;0.9916;0.9958;0.9916;0.9916;0.9958;0.9958;0.9958;0.9916;0.9707;0.9749;0.9707;0.9707;0.9707;0.9540;0.9414;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0042;0.0042;0.0251;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9958;0.9958;0.9958;0.9958;0.9916;0.9916;0.9916;0.9916;0.9916;0.9916;0.9874;0.9791;0.9791;0.9707;0.9707;0.9707;0.9498;0.5774;0.2929;0.0502;0.0167;0.0084;0.0293;0.0335;0.0335;0.0335;0.0335;0.0335;0.0335;0.0335;0.0335;0.0293	exact RT (INSPECTABLE)	239 inspectable in this family
RVT-G2Lc	280	0.8222	0.9214;0.9250;0.9250;0.9250;0.9250;0.9286;0.9357;0.9357;0.9357;0.9357;0.9357;0.9321;0.9321;0.9214;0.9036;0.8929;0.8143;0.6107;0.5179;0.4464;0.1250;0.2143;0.3286;0.9214;0.9179;0.9071;0.9536;0.9536;0.8286;0.8286;0.7000;0.9536;0.9536;0.9607;0.9607;0.9607;0.9607;0.9607;0.9607;0.9643;0.9643;0.9679;0.9679;0.9714;0.9750;0.9714;0.9464;0.9429;0.9321;0.9071;0.8107;0.7250;0.7857;0.9286;0.9393;0.9464;0.9536;0.9607;0.9571;0.9571;0.9607;0.9607;0.9571;0.9643;0.9607;0.9607;0.9571;0.9464;0.9143;0.9036;0.7571;0.6143;0.3821;0.3036;0.1250;0.1036;1.0000;1.0000;0.9964;0.9964;0.9964;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9821;0.9821;0.9821;0.9821;0.9821;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.9929;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;0.9964;0.9929;0.9893;0.9893;0.9893;0.9893;0.9893;0.9893;0.9893;0.9893;0.9893;0.9893;0.9893;0.9893;0.9893;0.9893;0.9857;0.9821;0.9821;0.9643;0.9393;0.8643;0.2464;0.5000;0.7857;0.7857;0.7821;0.7571;0.6821;0.6714;0.6500;0.6286;0.8893;0.9464;0.9500;0.9464;0.9286;0.9250;0.9036;0.8857;0.1571;0.0571	exact RT (INSPECTABLE)	280 inspectable in this family
