rt50	pool_loci	pool_exact_rt	pool_rt90	pool_rt70	type_modal	divergence_rt70_per_rt90	depth_bin	loci	exact_rt	rt90	genomes	genera	phyla	round1_exposed	split	stratum	n_members	gid	stability_testable	evaluable
02744525a93a1c919b69b38fedaa045d79369de4d5030a271431349c7cfd084e	69	21	9	5	I-B	0.5555555555555556	6-9	74	23	10	74	5	2	False	DEV	I-B|6-9	9.0	02744525a93a1c91	False	True
032d2a34f24a586307f74738de349c78c9cb151a7b7f82f46bfa3f82e7c1a78b	137	21	10	3	I-A	0.3	10-19	144	24	11	144	10	3	False	HELDOUT	I-A|10-19	10.0	032d2a34f24a5863	False	True
039364c73e6edb3d813abbbc4da224e91346fa3d4a57844399de63abb1cbdfc8	1559	62	13	8	V	0.6153846153846154	10-19	7981	275	21	7914	23	5	False	HELDOUT	V|10-19	10.0	039364c73e6edb3d	False	True
044abc71151a26393fb4d414fe91094f4f66b0221a36b3c814816323e8f46157	139	64	18	21	I-C	1.1666666666666667	10-19	456	157	28	456	17	6	False	HELDOUT	I-C|10-19	12.0	044abc71151a2639	True	True
05921466b26a20a6742bcd178fd702f79271a0196dea4bebaa312c2a84b14664	106	22	7	4	I-C	0.5714285714285714	6-9	110	24	7	110	11	3	False	HELDOUT	I-C|6-9	7.0	05921466b26a20a6	False	True
0594c9347ae55db37ddf398cc68424756036fd886b099d3484b1143662305cf9	126	64	50	26	I-C	0.52	>=20	160	84	59	160	49	5	False	HELDOUT	I-C|>=20	20.0	0594c9347ae55db3	True	True
0943928814da3b07362d0ebb3a1ea4a4e206d71469abccb88a4c9eee208425a3	75	26	18	11	I-B	0.6111111111111112	10-19	114	43	29	114	29	2	False	HELDOUT	I-B|10-19	14.0	0943928814da3b07	True	True
09c19c449b3724b5afc80ba79f12ef95776a7d03e628403ca1959c478ab55b32	2761	94	11	3	IV	0.2727272727272727	10-19	2864	132	11	2861	18	5	False	DEV	IV|10-19	11.0	09c19c449b3724b5	False	True
09ea76dd9b8fdd4d8ecbb114ec5400a61e1b08e0096417267f58ff17c7040fa3	10	7	6	5	III-A	0.8333333333333334	6-9	20	14	13	20	13	2	False	HELDOUT	III-A|6-9	6.0	09ea76dd9b8fdd4d	False	True
0a04ed3a6833941714586d04e1549d2922daf02b195d290f6345eae30afd9894	632	272	75	23	XIII	0.30666666666666664	>=20	678	299	87	678	46	2	False	DEV	XIII|>=20	20.0	0a04ed3a68339417	True	True
