asset_id	path	kind	sha256	bytes	mtime	n_seqs	includes_substitutes	full_or_extract	interval_definition	producer	command	notes
R01	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/references/rt0_rt7/historical/toro_2014_Rt0-Rt7.FASTA	reference_extraction_alignment	6e43c4ccd3660f4cc1b8c3903ee53cb530552475c2b1d0eef9a55530d08e95b1	1186359	2026-08-16T14:44:11	742	N (no Mestre)	extract (RT0-RT7 extraction, 742 RTs, NOT Mestre)	Toro & Nisa-Martinez 2014 RT0-RT7 extraction; 1466 cols; N-cut modal col 68 (413/742), C-cut modal col 1305 (598/742); retrons median anchor-174..+55 (YxDD Y=0)	Toro & Nisa-Martinez 2014 (published supplement)	n/a (published)	identical sha to V4 MELISSA_DATA/supporting_material copy; 0 Mestre tips
R02	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/references/rt0_rt7/historical/TableS1_Toro_2014.XLSX	reference_table	385e8043f873f56a92cd69c547bf293b41e36413da914360db92756556b68505	153853	2026-08-16T15:20:42		NA	NA	Table S1: RT class, RT phylogeny (102 'Retrons'), aa REfSeq full length	Toro 2014	n/a	joined to alignment headers by V4 s05 (723/742)
A01	/home/borg/RETRONS_january_2026/the-retron-project/PHYLOGENETIC_TREE/IBEX_TESTS/Mestre_sequences	source_protein_set_dir	manifest:05afada21e7b87ece646bd6d0cf7e8b67845dca0ea3d431e50a2108a86ae15cd	2825261085 (5784 files)	2026-03-08T11:46:11	1926 (1814 clean)	Y (112)	full-length	none (per-terminal protein_aminoacid.fasta + genome + CDS)	owner Ibex download/rescue (retron_download.log, retron_rescue.log)	IBEX script not local (IBEX_UNINSPECTED)	1926 protein files; 112 '|rescued' substitutes; terminals 461,1774 absent; clean=1814
A02	/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/mestre_scope_audit/cache/mestre_1928_proteins.faa	protein_set	bcce5246b6c66dd518f738040dd151caad806a6a0e2d9d0d13a273fc15573985	895550	2026-08-04T11:39:52	1926	Y (112)	full-length	none	V3 mestre_scope_audit (pooled per-dir FASTAs)	concatenation of Mestre_sequences/*/protein_aminoacid.fasta	misnamed 1928; holds 1926
A03	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test/cache/mestre_from_V3/mestre_1926_proteins.faa	protein_set	bcce5246b6c66dd518f738040dd151caad806a6a0e2d9d0d13a273fc15573985	895550	2026-08-16T15:36:27	1926	Y (112)	full-length	none	copy of A02 (PROVENANCE.md)	cp	renamed to true count
A04	/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/mestre_scope_audit/cache/mestre_1926_vs_RT17CORE.sto	hmmalign_projection (pre-trim)	aad8e71f915519a6e02fe38de8dc8e336da74a6869aa7428c18de012923af16e	15076882	2026-08-04T11:40:42	1926	Y (112)	full-length projected	RT17_CORE frame span17 = RT1-150..RT7+150, 305 states; landmarks RT1=42..RT7=276; states 1-41 = 'RT0 region'; NO Toro RT0 column	V3 m5_rt0_placeability.py	hmmalign RT17_CORE.hmm mestre_1928_proteins.faa (V3 stage2b step3 model)	source of x1-x5 tables
A05	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test/cache/mestre_from_V3/mestre_1926_vs_RT17CORE.sto	hmmalign_projection (pre-trim)	aad8e71f915519a6e02fe38de8dc8e336da74a6869aa7428c18de012923af16e	15076882	2026-08-16T15:36:27	1926	Y (112)	full-length projected	as A04	copy of A04	cp	
B01	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test/cache/frame/toro742.hmm	HMM (extraction-frame profile)	05c170fff39cde731fc195ad03700b8ac1fac26ed17037143f2dc9ac2ee9bd5c	217246	2026-08-16T17:01:45		NA	NA	LENG 465 = states 1-67 -> cols 1-67 (occ<=0.135), 68-304 -> cols 68-1305, 305-465 -> cols 1306-1466 (occ<=0.046). Toro-2014 frame: blocks 1-3 (cols 68-182; toro742.hmm states 68-105) = RT0-RT1; block 29 cols 1297-1305 (states 296-304) = RT7/region Y; Toro C-terminal cut = col 1305	V4 rt0_rt7_domain_test A3 (ad hoc, logged in cache/frame/hmmbuild.log)	hmmbuild -n toro742_RT0-RT7 -o cache/frame/hmmbuild.log cache/frame/toro742.hmm toro_2014_Rt0-Rt7.FASTA  (HMMER 3.4, ALL defaults: symfrac 0.5, fragthresh 0.5, PB weights, no --hand)	REPRODUCED here byte-identical except DATE (LENG 465, EFFN 57.246971, CKSUM 2099268526). Every Toro row is a 'fragment' (L<=0.5*alen) so leading/trailing gaps = missing data -> flank columns become match states; --fragthresh 0 gives LENG 230
B02	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test/cache/frame/hmmbuild.log	log	94c754d5ea7aeca57229d8fb8f1525ec788bc8196f90efecd72feda4ed7e2190	992	2026-08-16T17:01:45		NA	NA		hmmbuild	see B01	no non-default options listed
B03	/home/borg/RESEARCH-in-sleep-RETRON-DB_V4/ARIS_OUTPUT/rt0_rt7_domain_test/cache/frame/mestre1926_in_toro_frame.sto	hmmalign_projection (pre-trim) + mapali	607b4478351bf0d0f842b9a9132eec761fa977478e9a844420a3ce639e110c70	27090884	2026-08-16T17:06:39	2668 (1926 Mestre terminals)	Y (112)	full-length projected (not extracted)	4203 cols; RF match cols = 465 toro742 states; Toro-2014 frame: blocks 1-3 (cols 68-182; toro742.hmm states 68-105) = RT0-RT1; block 29 cols 1297-1305 (states 296-304) = RT7/region Y; Toro C-terminal cut = col 1305	V4 rt0_rt7_domain_test A6 (ad hoc; consumed by s09/s10/s14/s17)	hmmalign --amino --mapali toro_2014_Rt0-Rt7.FASTA -o cache/frame/mestre1926_in_toro_frame.sto cache/frame/toro742.hmm cache/mestre_from_V3/mestre_1926_proteins.faa	REPRODUCED here byte-identical (sha 607b4478...). 742 Toro rows + 1926 Mestre rows. This is the only full-protein -> Toro RT0-RT7 frame mapping for Mestre tips
