buffington_id	rt_len_stripped	rt_raw_sha256	rt_stopstripped_sha256	msr_len	msr_forward_sha256	msr_revcomp_sha256
NRT-1	316	62b4ca6874cd7dbcc98c50fb02f39f3c32ebcd55f9c9a2d10f9b131bf482d146	2a9923d51d71add2646f1235c3bf0215d050e2aff016c6e9bacbf3e481127883	161	a13c4febd49a98a5ad79269b516a1afa9250345ad273da920b4c4b4cc3adbc81	39b1798a06fbe103631ddfc93541591cdecb5dc74275965dd3a63bf0d0b6300b
NRT-2	316	6f5811bb5f2d2ffce028bc5a4c9c9cf5546cc6126f9c2b461cd2034391826bb9	e78b27d8fadd87e582577899f3648298b04a739a830f4f4c32396ef85eb2a753	166	ebe10af790e1d3a83c3d6d0553baf7a6756aa21488c3c9b9cb4f9f33adc6a49b	7727d870923b66fd194a38feea5763b3b35febcf7eda7a98848b76147d251cf8
NRT-3	316	e2c09fc868da62feaf41faba7daa6850a899ee8d9cc1e055f1e5d9abb7080f6b	b6b434565564c9cec4d187b8ccec3befd62de3aab67df688a6de2c4d58d2b780	165	d558808e4479f081ef5bdbab3a7cb47b42021e7f5cc98890df11539cd13278d6	4ad0aa3bba4d9a24c92eeb681bf4273770dbe60aeb74eaa29a47e174a465a762
NRT-4	320	2c23882dba58bdd45d15107e0f00875ba9c3052ed11c8e6e8c18b9352006b7ef	9f25533ddaf93c6fb53a448f988f51df5d162343cf48334cab0731c366e65394	162	f8775a7858bcf82a67b3ede2a58f53ba52d56131e197969aa05b3f6b63233209	2987ebbe3fe678864b5820e6a441fe12520b253d26e731edb48da4a55557e4db
NRT-5	311	2bac347c6f3f07a68af147dfb4aa9e7af7322552e25fd65f3550159e558c74ac	4e86f2e42b1d37aa188f050e65d48007b244b6ff5bb62c01b1c2e04fa9ed5063	162	ebfbd866b8b71e2ea379de19e12fe026061f496635c36f8146872fc8b4859be2	8fb48b04d9851def8e26a63b1e65db1b1aba92b4c1c2249a265330b59a6a53eb
NRT-6	316	25730bb097cfdb1fe8989f7470dfb2229c08655ebb95f0922d0579f16d8d65b2	92a6e560b3ea364bf110eb8e9914f5adb24ae1e33f80cd86721ef154d5a7c45e	157	eff41ee0068f360f76670cc5f973b121caf73f2361859976a1ab91a50d6da912	ab0fbe3eb648dd0b715c529c58c9f6b4ed1a3c9b1d06bd7f1b189e0bd7c28a93
NRT-7	316	b98fb3b56c60c894be592a891640b2be7001922a1e33d3d494dc99e018874f86	d902ccaa8fa92ee94ba2fba0e68d70861272a117fca5ed365f6250c5604ca1a0	153	7d87b123f8189af105e8e1b4d34ebb509f867d301eeb29482f179c5ac56d0106	a1ec5469dd2656aeae9a488815e6cdfa00da4f4a70b5fc7366be8972655b3f18
NRT-8	320	ce3bf06e1cddc7cbf5ec65a84de7b6a8a74d9a1b7ac7359d2fec17df7e9d9d7c	ab7219da752752f2eb1f1faf0e7681f848c32656090cf2b9f80777e7a5521d51	162	ebfbd866b8b71e2ea379de19e12fe026061f496635c36f8146872fc8b4859be2	8fb48b04d9851def8e26a63b1e65db1b1aba92b4c1c2249a265330b59a6a53eb
NRT-9	317	c1ddc1fd8581c7a317dc7a81b43a656fd76fb886c6304bf1197326aee719f76b	73cc4ae2b52bb0cc703dbd9592c1c4d74c4ecd043d6f05c3a54fbc23aff87258	152	00c3c55657712f0e690ce69687e7524a94f8fceb3a784105dc4ffa8cb7590d75	9199b772486813440b205e73e61901b3a623f2c173190069a4b120ac874c2fbc
NRT-10	223	ce32245d84fc7ebacc33e2eead060f5d82113730e96cf279113f61b0a018330f	ce4b46e35f86c9156938b27d4a9212074310ed38b3b8941b2b32952cae98b596	135	12e734db68283f57265c8908c799d155fd8bbf0b8e7d218082fe004bd158d94e	a49e72491b44a5fdfa24d9bd634f61e732e18ad0ca087290f432c0819683ac44
