rt_seq_hash	n_distinct_ncrna	n_placements	n_loci	n_genomes	n_species	n_models	n_databases	median_abs_distance_bp	n_such_rts	unit	denominator
4e86f2e42b1d37aa188f050e65d48007b244b6ff5bb62c01b1c2e04fa9ed5063	176	102921	102768	102712	2	1	4	1037.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
b5c4f0f0a05b4bdc6604ef2d1e65965f6ffdcdfbdfba1353ec744a6a65836363	103	2926	2892	2587	8	1	4	68.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
38a2e35211e6ae7f1a5baf0c6ff989dc5e3eb89adb3be015712bdc068da245b3	48	27019	26827	26822	28	1	5	0.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
e4922a230cfc05bc46c7daed52cdf63fe57b0e2e095f683be10c2bb3f8384cd2	34	8054	7972	7969	2	1	3	55.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
9d2bfbf78c9a76d4f8194a7f93d05ad2c564e3d6fa742ce0880cd26860b3f43f	30	23626	23548	23537	13	1	4	31.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
c03e3abcb7d16c8fb4d08bb9678246d6d28cd9b8367f9e2793191ed527e19e97	25	202	201	201	5	1	3	1034.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
1c87c6f65fdf4f5657857c9a8a80dcabe44d4347dce8433118feefcecd82d418	19	157	149	147	5	1	4	20.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
d0273b0bba8462eccbd241bd83a7269ef83db79d494f58b3f3a4b3d8eeca10cd	13	11690	11644	11635	11	1	5	37.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
d40428a8fc99157d4afce7fd0f0e314ed2f8a7a81cb05b5f6d29dad7b996ee6b	12	251	241	241	1	1	2	403.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
60a1dc2a3926188bee55a4347e6142e18d88bcd0f0456a6ff14cb63106a51e08	12	72	36	36	4	1	2	5037.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
b7c587d656e87a6efd4ce5a34bac0c261b2862349523b71a28f34e8a5d5c3e1c	11	49	48	48	1	1	3	106.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
95b12729682fd75d69fdbb048c49754367d26e0b03754e948d4286dbb3dc16f0	10	834	819	807	12	1	4	107.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
fb54d3f8fa696c0a1e74fdb8e36eb324d9e9588ca15e4609d146339a0ef48c12	10	4429	4394	4393	9	1	4	37.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
8f58a2e4abceeebc2558a9a3762dde159553bea2332fc2a333f9708d2c921833	9	133	32	32	3	1	2	5122.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
2852e030278f38fdf49063311f965ca57a611bedd7ed4d9e10f69b49a941e749	9	628	622	622	7	1	4	107.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
0dfdedc7da6f78808b208b9db253587811459f1037a53c9b8d25a7279f7a2aef	9	231	215	215	6	1	4	14.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
51478fc4914daad26466f794cea3a756d087a22b191d1c662588560954f90c36	9	22	9	9	3	1	2	5274.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
7fdb594d9c32b571b2af6eaef2c3bcc8086ef1eebfb696d2bb19fbecc863933c	9	39	34	34	4	1	2	67.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
cf403513a6f72ee8c33a24c79d7cd4adcf82ea5e9bd6889a2e50c0cc234d5ec0	8	1137	1130	1011	7	1	4	1029.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
9e2a903d3345abd784f09f82a674f80e36343e265a50cdf4ac6f7f7b2c48764a	8	5394	5352	5352	7	1	3	1040.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
29c2b116c8d4093bf39973809e46ed02be11cf16a44fa5dbc35962b45a9ed926	8	3409	3409	3409	6	1	2	2730.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
349978438a89fb60ffbf954962c4d0c8ae055459311f6aaed7329a0b415c5a76	8	141	75	75	2	1	2	4687.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
b077da508c07b7d46b50ae4f35c5e9777fe7aa64ff31e566a25207ceaf54717f	7	92	90	90	15	1	2	42.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
a301e595701184eecba08c447fe0527ab558eedffd7b6fb6796227ae662e8cd6	7	38	35	35	3	1	3	77.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
af4bd7263accb1a95463c117fab3898fd985f70aa50a15237c6ab61bcbed25a0	7	22	11	11	4	1	2	5037.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
a443206edb7fc651bd99c043bf437c0988a74d4e3fd214ef29a2b1ef9f169b3a	7	198	183	181	15	1	4	23.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
1bd6ccf4fa3779d66adc0e137ebd46fd339e2546e0ee5c8c69285eeba71fddbd	6	26	23	23	3	1	3	23.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
31993eb431c6d6079e3c802c6a3faac36f7a1d3a80c495867cc94b3332671b9f	6	314	311	308	3	1	3	37.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
f2015f221c510e7a7bbdec21a57245fdf546548c6509220b14d21aaa2de1913a	6	156	143	140	12	1	4	23.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
e3f9a291d5b6476d248fe5e6ffd159e9e75f1b0253e6978dde34912427d5280b	6	96	48	48	6	1	2	4710.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
ff8929368663842dfa581506c08915451a28899251fe3ba38a2eff8e08bc9d32	6	681	679	543	10	1	3	86.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
aac3d9e1373c56a51979ec3b19b26700fe7e96f20198df99417edb8645d0d198	6	92	92	92	11	1	4	144.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
fde2e6486cbc27e84b17438dc703032711e22d6072c0368b9b296e458a229c2c	6	1168	1168	1168	5	1	2	2634.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
76f34dcf7e8eb26e3d952e4933dbb1068407e58520337d615af4755684b84478	6	131	125	125	2	1	3	64.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
a3d62431819463dd54b750ca7fe9c953554edf83e1d0187a9a44ed735b1f732d	5	28	26	26	6	1	3	25.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
06f895ca60a4536680af99b2877634afaf5053d9c303ddd43b305b9125b11627	5	115	115	115	4	1	2	1038.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
23fb1495e96331b3885d564263e8468d91ee73e41278d2027d577bd78d874d17	5	24	22	22	13	1	4	24.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
759ed911f297e6338c25def335c1ec6c6b396bbf6a91a0115c894ecf5cc11f7e	5	12	6	6	3	1	2	4901.5	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
b2dca4b21bd3ca78fe995efbe4ab867f53f8513e9919baf5c367fadb32d6ad26	5	36	36	36	4	1	4	25.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
594f9900b38bc15b65c25becdf0ba211ad41bea8049dd653818539eb73c9abb5	5	45	40	39	9	1	4	153.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
919c476cfbf4fd111ca6b1a929507e158d2c3113f7fcb55bd929061d304fee8e	5	25	13	13	3	1	2	4719.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
d7f498a6946effe9fb15501e44a96543134476ee9137f878989895aa829991a4	5	220	216	216	4	1	2	37.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
a21965a0c69f037fad47128964a7cd61fbbfdf0a7665e93ff12a533893e1748d	5	30	28	28	4	1	4	20.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
4df2c5d3a187eea9269d4674268f9b9537f7d24d9b55ccd4cb54bed4249f1ad5	5	34	29	21	2	1	2	352.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
0e04234530e04c28964d50c463075ab4d659f0e27e5a70e6fdd0088d67865b29	5	3018	3018	3018	2	1	4	1037.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
370da8143c9eb788bea23c9a3ad6f9a99abe180357d859b16a9af1d2f633f7d5	5	25	18	18	2	1	2	24.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
d0a3b8216669c9687fc9713994823f5af64c29397ca7f09de3975e649628787a	4	193	101	101	5	1	2	4750.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
abc506786634ba00df86b4d6c5e82004367ccae33d87b79d9c5b3fe233cf035a	4	2701	2697	2697	7	1	3	35.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
bf6a5dd9cd5d4eb75a113f47d8e94458e7ebd9a27050a40fe76ef35421c567a1	4	35	35	35	6	1	2	1027.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
6928ced0c1855fc8e91e4089f5b0df4fd677671b8c12561a79d17bcce9aead7a	4	45	45	45	3	1	2	0.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
6d2a126cad2e5f3577d257fa4957ed46cc3b3ff39c6c3cf4c965f0afea4c364b	4	5	4	4	2	1	2	20.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
741702cd366cd565ff52e9876da6ed2e8bb9d9018a5562ea62c3c9988819691c	4	54	53	53	1	1	2	0.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
82d0fe87da84eb2152c8eddb1e7f4bd556d2a71f8e4bef62d3d2e2728f23cd7b	4	49	42	42	6	1	3	23.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
42aa4982cc6a6d16e7746eb1715da8347c32d47771c3eb16d788bdcd887eba2a	4	83	64	63	9	1	3	53.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
244aa73b91d0edddefffc6e9b671c93c1dc38cdf2bdaa4c165666668dc2db1f9	4	3922	3916	3916	4	1	3	19.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
429a9c9894501e04f48803b96307cea45955f63b85f1461dc25c017e94b7eaeb	4	747	693	693	11	1	4	7.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
9e1189504b99cd49a7fe952c2fc4a8b6f7d0c9490ae42f5b85d928a2c5340cb9	4	332	331	331	2	1	3	37.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
6cded344e68911962da733086077ff07a02540f79cb8121815396265ecabb6f0	4	35	35	35	1	1	1	86.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
e60f73618b59b5c11a42820a1a50d82aef57b19e70d051ff31b7f0c4d2df0220	4	249	246	246	7	1	3	42.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
a1786d61678a546fd21cbe18df0fe15cbbf142f006358ae94ca212c67db21eb7	4	460	459	459	9	1	4	72.0	921	exact RTs	exact RTs paired with >1 ncRNA sequence (top 500 by degree)
