rt_seq_hash	family_label_set	rt_aa_len	n_records	n_loci	n_physical_loci	n_genomes	n_source_databases
4e86f2e42b1d37aa188f050e65d48007b244b6ff5bb62c01b1c2e04fa9ed5063	Retron	311	118634	118462	115206	118405	4
cec659b114f0652e71224676f02ef25453a26745b8f1401af4d1b9604af9ca79	RVT-GII	494	82153	80997	62609	52979	5
6d07b3a55ae91fd12b60d981a60ac32507888998d157f2389deba5e427bb00b5	RVT-UG11	254	33487	33441	32630	33439	3
9b0bd9c5f585b74cae2b979c32ad9e1fd1c631729f4757350faa64c8dd8e0737	RVT-GII	507	35909	35413	30179	31520	5
b9cbae36f998734b33c390bd05d02fc9447c4347fa470ec4728b013f85c7bc9b	RVT-G2L	398	30693	30527	25849	30418	3
38a2e35211e6ae7f1a5baf0c6ff989dc5e3eb89adb3be015712bdc068da245b3	Retron	366	27047	26857	22307	26852	5
5be6ce56c3bc6e557d9d611934566c723d8f88ec8b63b97532622304f1093e2e	RVT-GII	636	25922	25849	23602	24799	4
9d2bfbf78c9a76d4f8194a7f93d05ad2c564e3d6fa742ce0880cd26860b3f43f	Retron	585	23653	23575	21235	23564	4
a21cc8d7874bd71e76c0d2ffcad8e53c1d9439c0af51fddb94118d0aa52f8045	Retron	338	23502	23409	19397	23408	3
bbaaf4cf689f11fc7a572cf9f589aa7bb2819aa9a9e3c236c4ab30c7226790d0	RVT-GII	160	23405	23288	20691	23275	5
72984ba60ce0153d375192a2426070aa51576eef34dc4f6840b8c2eb8f2f8724	Retron	310	22144	22140	21699	22140	3
c964841ce2998464d563387eba696552396218e497b1a91a8bdf50ba2c3ef641	RVT-GII	424	16677	16587	13601	16079	3
9033a14cb7a0c64637f7c454c4b1c98216f6ef4956513450ea2a75a1fc3df0f3	RVT-UG11	257	17432	15726	14685	15726	3
c57b2ee10479f63840a370a79765bc5b7f3e191cad6218b9c9520b59e8d75e6c	RVT-GII	502	14112	13964	12131	13800	5
802d70a818b1fd0d599de0feb5d021cd811283afef205ad1360c1e4ac9a18ee8	RVT-GII	93	13314	13257	11417	13248	2
cf059a73859f81d8e8b93dc46805ed558e132c828772d34da029bfec152bde36	RVT-GII	507	16273	16119	13287	13144	4
820398d02c4ef841d406b7f9246c3cf1cdfe538a2e6cca8f71ccddcd06d624d9	RVT-GII	625	13334	13313	12274	13142	3
0c5a71e71bda116acce628136655ffb72000bb1363b384adf382b3704aae889d	RVT-GII	561	12297	12184	10308	12180	5
e9a4a2b313b38bc5d7175acb0a58c44795350693aed7a862594ff17037aadd52	RVT-GII	392	11828	11822	11284	11822	3
d0273b0bba8462eccbd241bd83a7269ef83db79d494f58b3f3a4b3d8eeca10cd	Retron	319	11691	11645	10249	11636	5
