gid	member_id	rt_class	locus_key	rt_seq_hash	rt90	source_file	byte_offset	byte_len	rt_start	rt_end	rt_strand
PM_RVT-AbiK_1	m00	RVT-AbiK	JBIQTQ010000002.1:40901-41743:-	3a01bae1a5cef28219f87303d5dccbc0a52f93f82b03a39e798b253a83ae135a	1356bd3a6960d5f0c719c24c682197449f9cbbc288f1cf3867fdbb186b81af49	master_RVT-AbiK_merged_oriented.jsonl	199005712	38062	40901	41743	-
PM_RVT-AbiK_1	m01	RVT-AbiK	JBPXNK010000002.1:48434-49132:+	4b34bcb5f928d8244e926cf6f9f5ba17303770fd90bbe38060d5c8b651d0c887	4b34bcb5f928d8244e926cf6f9f5ba17303770fd90bbe38060d5c8b651d0c887	master_RVT-AbiK_merged_oriented.jsonl	223719619	24534	48434	49132	+
PM_RVT-AbiK_1	m02	RVT-AbiK	VPNR01000004.1:151356-152390:-	e4ba70004574d4f8dafc193b21f0dd8ecad512edc1a537a0875683e400c98e6d	e4ba70004574d4f8dafc193b21f0dd8ecad512edc1a537a0875683e400c98e6d	master_RVT-AbiK_merged_oriented.jsonl	205165048	26121	151356	152390	-
PM_RVT-AbiK_1	m03	RVT-AbiK	JBPXNK010000002.1:20653-21555:+	3d265b6d26eedd4127534b212ea2b470c7c35bdc1e9269002bf5151560b0f109	3d265b6d26eedd4127534b212ea2b470c7c35bdc1e9269002bf5151560b0f109	master_RVT-AbiK_merged_oriented.jsonl	223677850	41768	20653	21555	+
PM_RVT-AbiK_1	m04	RVT-AbiK	JBMRKF010000002.1:31197-32174:-	989da0e587c00ddc95a666cd9e9cf97d067eb4775f115432325b13985d069e99	989da0e587c00ddc95a666cd9e9cf97d067eb4775f115432325b13985d069e99	master_RVT-AbiK_merged_oriented.jsonl	215341370	25893	31197	32174	-
PM_RVT-AbiK_1	m05	RVT-AbiK	JBIQTW010000005.1:20882-21580:-	34115116d757c920d1e1ff633495dc0ec96ef51c7999c36a417da00c6bdc92ac	515c5dd79ff9a211f5ad8518b97dd03deff6c02f8c1c86b6396357ba5c43804c	master_RVT-AbiK_merged_oriented.jsonl	199356441	31380	20882	21580	-
PM_RVT-AbiK_2	m00	RVT-AbiK	VDUC01000053.1:22587-24359:-	ade3675b53eacc4c5b3e09aa696e204028fdf09690473498c5f2aaa482c5806c	2b437386447c8dd3bd216888ba89cc2a1103045cf91357dab3b9209ccdfab685	master_RVT-AbiK_merged_oriented.jsonl	61551714	31089	22587	24359	-
PM_RVT-AbiK_2	m01	RVT-AbiK	JBIEGO010000052.1:1689-3461:-	81da1eb8ac731bf4af0ceb3091bf8fc4f79595f3e34d0f74b237b2ec9a14cdf6	a656501352941867c93396e39f5abcfed84a072cbd75833f0fd31997cdc9a52f	master_RVT-AbiK_merged_oriented.jsonl	60684647	13453	1689	3461	-
PM_RVT-AbiK_2	m02	RVT-AbiK	JBPPUN010000006.1:57707-59476:-	e44ec3e88a59a7a250f64e99e8666ee2a4e20693b32993e30b7b849ff0244a8f	e44ec3e88a59a7a250f64e99e8666ee2a4e20693b32993e30b7b849ff0244a8f	master_RVT-AbiK_merged_oriented.jsonl	225627545	33270	57707	59476	-
PM_RVT-AbiK_2	m03	RVT-AbiK	JAINOT010000003.1:194675-196450:+	581f86fb58b51e6bd83079b139d763fbcbc6566203dd25b045fdbb6f4c1dd727	581f86fb58b51e6bd83079b139d763fbcbc6566203dd25b045fdbb6f4c1dd727	master_RVT-AbiK_merged_oriented.jsonl	52964105	29675	194675	196450	+
PM_RVT-AbiK_2	m04	RVT-AbiK	JAUDTY010000011.1:22447-24234:+	9b1f83b641be9f4f488252844da15fd81b2ad94c610d4745f3617cc26b5af117	9b1f83b641be9f4f488252844da15fd81b2ad94c610d4745f3617cc26b5af117	master_RVT-AbiK_merged_oriented.jsonl	5624491	34198	22447	24234	+
PM_RVT-AbiK_2	m05	RVT-AbiK	JARQDB010000007.1:124402-126204:+	495bfb6ee3277be244f19cb17c175c4e77c00699cbf8bc8006b1f632f5fd19b7	01369ba0ab4557fba087488965329cae85d793a20730430acebb098f80414c51	master_RVT-AbiK_merged_oriented.jsonl	26345788	36079	124402	126204	+
PM_RVT-AbiK_2	m06	RVT-AbiK	CP110851.1:12747-14546:+	9b1db0fb408783fdf2b041c60ca09b8d36f533bfed58ee4e6cf2f67928949dff	266d94dc9eba55831679d9f8d8348503bf47f0f5ec6560e03808e15af02bcf8a	master_RVT-AbiK_merged_oriented.jsonl	27832307	31670	12747	14546	+
PM_RVT-AbiK_2	m07	RVT-AbiK	JBMAOU010000002.1:775911-777701:-	f429d90dcae950ac9dcce8d4bafcc084dd668f474fba2c17ec74151d47bd6eed	f429d90dcae950ac9dcce8d4bafcc084dd668f474fba2c17ec74151d47bd6eed	master_RVT-AbiK_merged_oriented.jsonl	62993493	29918	775911	777701	-
PM_RVT-AbiK_2	m08	RVT-AbiK	DALTKT010000019.1:17477-19000:-	71916a7d2007dc8784596117e2defd740035474360c4cfed8c404885ab8679b6	12ca01cc0a613bc9acaf18aa3c5ac9ee10fee37efb85b36b0a02d8700afbd338	master_RVT-AbiK_merged_oriented.jsonl	113766951	23701	17477	19000	-
PM_RVT-AbiK_2	m09	RVT-AbiK	JAINIT010000009.1:7612-9156:-	69c914513eb0d1e9d78374c1811e55881432f9744130809f61dd7b912cfcc726	69c914513eb0d1e9d78374c1811e55881432f9744130809f61dd7b912cfcc726	master_RVT-AbiK_merged_oriented.jsonl	52420500	30416	7612	9156	-
PM_RVT-AbiK_3	m00	RVT-AbiK	JUNV01000589.1:13907-15670:-	06f64cff0465b0f6f529276140aea992bf33a28748e5bab4866ea844e5d0e784	06f64cff0465b0f6f529276140aea992bf33a28748e5bab4866ea844e5d0e784	master_RVT-AbiK_merged_oriented.jsonl	204886951	25954	13907	15670	-
PM_RVT-AbiK_3	m01	RVT-AbiK	JAOTBR010000013.1:1478-3247:-	4ca07a67e4cb16983ba4c926bcc8a6f79528784d05fa3a7e327b38433335c789	4ca07a67e4cb16983ba4c926bcc8a6f79528784d05fa3a7e327b38433335c789	master_RVT-AbiK_merged_oriented.jsonl	221100826	22068	1478	3247	-
PM_RVT-AbiK_3	m02	RVT-AbiK	JABJXU010000001.1:208756-210534:-	c03469e078be1c0998a0128d6ed2017942e17498a37cff705d352f147d5eeb0d	c03469e078be1c0998a0128d6ed2017942e17498a37cff705d352f147d5eeb0d	master_RVT-AbiK_merged_oriented.jsonl	31503265	33217	208756	210534	-
PM_RVT-AbiK_3	m03	RVT-AbiK	DASGQG010000025.1:14269-16035:-	5aa4dfc437ea94696f2f6b85f8b4ae6e3a5fdacf1da433375b951e1bb7eef0a7	5aa4dfc437ea94696f2f6b85f8b4ae6e3a5fdacf1da433375b951e1bb7eef0a7	master_RVT-AbiK_merged_oriented.jsonl	218325749	35833	14269	16035	-
PM_RVT-AbiK_3	m04	RVT-AbiK	BAAICJ010000004.1:29513-31312:-	31ae9b5dd1acb9e23d5e5d3c1dcb7d873a77b3f3843c3b70bcc70ba17db50b2a	31ae9b5dd1acb9e23d5e5d3c1dcb7d873a77b3f3843c3b70bcc70ba17db50b2a	master_RVT-AbiK_merged_oriented.jsonl	61297445	36033	29513	31312	-
PM_RVT-AbiK_3	m05	RVT-AbiK	CAUREV010000029.1:20349-22157:-	81aeb90b2dad1cc22454d9e168b6402577303b8c99b4d6c2a275b37752ce57bf	81aeb90b2dad1cc22454d9e168b6402577303b8c99b4d6c2a275b37752ce57bf	master_RVT-AbiK_merged_oriented.jsonl	35212317	21328	20349	22157	-
PM_RVT-AbiK_4	m00	RVT-AbiK	JBBOQC010000001.1:666948-668639:+	4486738d2e449064d2b0a5290d2d63533f05417be25a1ac7987d7ed9a31ab788	371f0d2d190f3e2323136dea9c8744d43a543bfec3d633586a46ff6840ea5776	master_RVT-AbiK_merged_oriented.jsonl	9630160	34434	666948	668639	+
PM_RVT-AbiK_4	m01	RVT-AbiK	JBPEOS010000001.1:2849759-2851147:+	0e94ad265dd8bbe4e22ce6280526af4864b929bee44b01695e9ad7ea61c6bb7e	d49d565a614c7cc41dae1b3776a560e4dfcbdc8dccd253613e70b513985ae24d	master_RVT-AbiK_merged_oriented.jsonl	230779953	34257	2849759	2851147	+
PM_RVT-AbiK_4	m02	RVT-AbiK	BORI01000006.1:91385-92572:-	f2abbe14c573f4ff0ce82a74af3be68dda462046a7798bc07916ca49f1cbc026	f2abbe14c573f4ff0ce82a74af3be68dda462046a7798bc07916ca49f1cbc026	master_RVT-AbiK_merged_oriented.jsonl	36395114	40298	91385	92572	-
