sequence_id	component	n_mapped	n_ambiguous	n_unsupported	n_deleted	pct_mapped	verdict	reason	domain_bitscore	catalytic_verdict
AFK85630.1_UG25	2	86	15	1	48	57.3	MAPPED	OK	81.1	CATALYTIC_CONFIRMED
AUZM01000002.1_91077_93338_+_NewM_UG25	0	75	23	16	36	50.0	MAPPED	OK	64.4	CATALYTIC_SUBSTITUTED
CADECP010000063.1_1_1731_-_NewM_UG25	0	54	6	0	90	36.0	MAPPED	OK	23.0	CATALYTIC_STATE_DELETED
CDRZ01000102.1_2291_3970_+_NewM_UG25	2	112	5	11	22	74.7	MAPPED	OK	104.0	CATALYTIC_CONFIRMED
CM001775.1_3474342_3477527_+_NewM_UG25	0	106	10	16	18	70.7	MAPPED	OK	63.8	CATALYTIC_CONFIRMED
CP003945.1_1822306_1825782_+_NewM_UG25	0	75	13	10	52	50.0	MAPPED	OK	56.5	CATALYTIC_CONFIRMED
DMPJ01000042.1_707_3742_-_NewM_UG25	0	74	11	24	41	49.3	MAPPED	OK	68.9	CATALYTIC_CONFIRMED
DUMA01000018.1_133958_136609_+_NewM_UG25	2	120	7	6	17	80.0	MAPPED	OK	90.9	CATALYTIC_CONFIRMED
GL890827.1_58913_61969_+_NewM_UG25	0	70	8	20	52	46.7	MAPPED	OK	60.5	CATALYTIC_CONFIRMED
JAABSJ010000051.1_4924_8043_-_NewM_UG25	0	98	6	2	44	65.3	MAPPED	OK	71.2	CATALYTIC_CONFIRMED
JAABSJ010000360.1_1_2556_-_NewM_UG25	0	113	21	11	5	75.3	MAPPED	OK	72.1	CATALYTIC_CONFIRMED
JAAHGT010000089.1_1_2298_-_NewM_UG25	0	80	18	8	44	53.3	MAPPED	OK	69.9	CATALYTIC_CONFIRMED
JAAHHF010000033.1_14065_16047_+_NewM_UG25	0	92	4	5	49	61.3	MAPPED	OK	69.2	CATALYTIC_CONFIRMED
JACJQG010000014.1_145931_148924_-_NewM_UG25	0	77	29	2	42	51.3	MAPPED	OK	68.8	CATALYTIC_CONFIRMED
KB850956.1_1298721_1301435_+_NewM_UG25	1	89	32	13	16	59.3	MAPPED	OK	82.0	CATALYTIC_CONFIRMED
KB904821.1_4119055_4122522_+_NewM_UG25	0	74	4	19	53	49.3	MAPPED	OK	34.0	CATALYTIC_CONFIRMED
KI913949.1_2909212_2910930_-_NewM_UG25	0	83	13	7	47	55.3	MAPPED	OK	59.6	CATALYTIC_CONFIRMED
KV757658.1_174759_177821_+_NewM_UG25	0	71	15	17	47	47.3	MAPPED	OK	58.1	CATALYTIC_CONFIRMED
LZRT01000011.1_3192_6122_-_NewM_UG25	1	84	7	12	47	56.0	MAPPED	OK	87.1	CATALYTIC_CONFIRMED
NEED01000075.1_89285_91354_+_NewM_UG25	0	84	17	1	48	56.0	MAPPED	OK	62.7	CATALYTIC_CONFIRMED
OMJF01000147.1_1549_5031_-_NewM_UG25	0	72	6	20	52	48.0	MAPPED	OK	54.9	CATALYTIC_CONFIRMED
PWTR01000310.1_2128_4977_+_NewM_UG25	2	72	14	13	51	48.0	MAPPED	OK	67.6	CATALYTIC_CONFIRMED
QWRB01000092.1_649_3615_-_NewM_UG25	0	99	13	11	27	66.0	MAPPED	OK	65.7	CATALYTIC_CONFIRMED
RFHV01000865.1_102_2966_-_NewM_UG25	0	87	23	21	19	58.0	MAPPED	OK	58.8	CATALYTIC_CONFIRMED
SCJ84789.1_UG25	1	92	9	13	36	61.3	MAPPED	OK	66.6	CATALYTIC_CONFIRMED
WP_057537913.1_UG25	1	89	4	2	55	59.3	MAPPED	OK	71.0	CATALYTIC_CONFIRMED
WP_077844619.1_UG25	1	100	19	13	18	66.7	MAPPED	OK	85.7	CATALYTIC_CONFIRMED
WTGC01000212.1_13706_16624_+_NewM_UG25	0	72	23	3	52	48.0	MAPPED	OK	58.6	CATALYTIC_CONFIRMED
