dataset_id	description	count	unit	canonical_path	generating_task	commit	hash_or_manifest	heavy_or_light	training_or_evaluation_role	caveats
RAW-CORPUS	the mined genome/metagenome RT corpus; 43 .jsonl files, 81,007,695,609 bytes	3,358,182	raw record (line)	/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/MELISSA_DATA/json_files_input_june/	upstream mining (not this project)	pinned by dbchar_g1 8f3ea78	record-manifest sha256 8e9b7999954b460d2bdfc558c605d26610d58e6901788f61720e11eafdc41d00; per-file sha256 in results/dbchar_g1_corpus_identity/INPUTS.tsv	HEAVY ~76 GB	source of everything	read-only; contig-based coordinates; 1 in 6 records has start==1 where both frames coincide
RT-EXACT-501561	the exact-RT catalogue: distinct RT protein sequences	501,561	exact RT (sha256 of protein, one trailing * removed)	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/data/derived/rt_exact_v1.faa (+ .parquet)	dbchar_g2	27ae7aa	FASTA headers ARE the hashes; registered in docs/DATASET_REGISTRY.md	HEAVY 230 MB faa / 114 MB parquet	the population for Stage 2 and for RT-side leakage checks	484,360 are coordinate-verified; MULTI (7,593) and V-RT-CROSS (12) are separate strata
G5-ELIGIBLE	the censused eligible subset that is the Stage-2 denominator	369,381	exact RT	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/results/rt07_g5a_eligibility_census/tables/g5a_census_summary.tsv	rt07_g5a	6f4a7fe	bundle MANIFEST.tsv	LIGHT (summary) / HEAVY (per-sequence g5 outputs in data/derived/rt07_g5)	THE denominator for every g5/g6 rate	501,561 is NOT the denominator; eligibility removed 26.35% unevenly by stratum
G5-MAPPED	per-sequence mapped state dataset (150 states x 369,381)	55,407,150	state row	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/data/derived/rt07_g5/	rt07_g5	6f4a7fe	registered in docs/DATASET_REGISTRY.md	HEAVY (part of data/derived, 2.2 GB total; plus 12 GB shards in ARIS_OUTPUT/rt07_g5/)	input to g6 and to any downstream architecture work	354,102 INSPECTABLE; 15,279 frozen abstentions - abstention is not absence
LOCI	distinct genomic loci / physical loci	2,847,312 / 2,475,684	locus / physical locus	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/data/derived/rt_loci_v1.parquet, rt_physical_loci_v1.parquet	dbchar_g2	27ae7aa	bundle registry g2_derived_registry.tsv	HEAVY 144 MB / 45 MB	genomic-context analyses	NZ_ contig-prefix normalisation distinguishes the two
Z6-RETRON-LOCI	Retron-labelled loci with matched/unmatched ncRNA status	630,741	physical locus	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-dbchar-workbench/analysis/dbchar_rt_ncrna_workbench/tables/Z6_matched_summary.tsv (summary; parquet Z6_locus_matched_status.parquet 53 MB NOT committed)	dbchar workbench (exploratory, NOT a gate)	12ea561	none - exploratory	LIGHT (summary) / HEAVY (parquet, local only)	descriptive; the 47.24% zero-ncRNA figure	47.24% unmatched is DETECTOR SCOPE, not biology; drops to 42.91% with >=1 kb upstream context and rises to 87.27% with <200 bp
PAIR-ELIG	exact RT-ncRNA pairs; the population for all embedding work	30,924 pairs / 29,192 exact RTs / 16,458 exact ncRNAs / 1,075 components	exact RT-ncRNA pair; inference unit = bipartite component	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/data/derived/rt_ncrna_exact_pairs_v1.parquet	dbchar_g3	2b13a9e	g3_derived_registry.tsv	HEAVY 1.8 MB (light by size, heavy by role)	the modelling population for embed_g2/x1/x2	every ncRNA call is an Infernal/padlocdb.cm hit - the pair set inherits the annotation lineage
NCRNA-ORIENTED	oriented exact ncRNA sequences	16,458	exact oriented ncRNA	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/data/derived/rt_ncrna_oriented_v1.fna (+ .parquet)	embed_g0 a02_ncrna_fasta.py	5dbd368	provenance.json: round-trip verified 16458/16458; nc_seq_hash = sha256(upper(sequence_oriented))	LIGHT 4 MB	ncRNA side of all modelling	only 1,251 of 16,458 carry a structure annotation; 0 are called by >1 model (winner-take-all)
EMBED-SPLIT	frozen component-blocked split used by X1 and X2	30,924 rows / 1,075 components	pair -> component -> fold	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embeddings/results/embed_g2b_frozen_split/tables/split_assignment.tsv.gz	embed_g2b	15e00b8	assignment sha256 78a9556378d4a787...; 32/32 checks	LIGHT	THE split; X1 used one held-out fold, X2 cross-fits ALL folds	cluster-disjoint but NOT homology-disjoint; after X2 there is NO untouched holdout left
EMBED-CACHE-RT	frozen ESM-C per-residue and pooled RT representations	29,192 RTs	exact RT	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embeddings/ARIS_OUTPUT/embed_g1_ibex/ and ARIS_OUTPUT/embed_g2_split/ (~21 GB token cache)	embed_g1 (Ibex)	5dbd368	recorded in embed_g1 bundle	HEAVY ~21 GB, GITIGNORED	model input	deliberately unopened at token level; NOT re-derivable from the repo if cleared
EMBED-CACHE-NCRNA	frozen RiNALMo ncRNA representations	16,458 ncRNAs	exact ncRNA	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embeddings/ARIS_OUTPUT/ (~6.6 GB token cache)	embed_g1 (Ibex)	5dbd368	recorded in embed_g1 bundle	HEAVY ~6.6 GB, GITIGNORED	model input	as above
X1X2-SCRATCH	X1/X2 model checkpoints and per-sequence NLL arrays	-	-	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embeddings/ARIS_OUTPUT/embed_x1_conditional/ (1.7 GB), embed_x2_confirmation/ (1.9 GB)	embed_x1, embed_x2	8bf7207 / fdf0872	none	HEAVY ~3.6 GB, GITIGNORED	the pilots are NOT re-derivable from git if this is cleared	single point of failure for X1/X2 reproduction
X2-EXPORTS	X2 pair-level and component-level effect exports	30,924 / 1,075	pair / component	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embeddings/results/embed_x2_rt_specificity_confirmation/tables/X2_PAIR_LEVEL_EFFECTS.tsv.gz and X2_COMPONENT_LEVEL_EXPORT.tsv	embed_x2 closure	fdf0872	bundle HASHES.sha256	LIGHT	the file for inference is the COMPONENT-level export	pair-level file exists to show why per-pair reading is forbidden
PANEL-175	experimental retron panel: measured RT-DNA production and editing rates	175 rows x 32 cols	retron element (assayed)	/home/borg/RESEARCH-retron-db/results/stage1_mestre_replication_and_insights/inputs/support.csv	external (Khan et al. 2024 Nat Biotechnol doi:10.1038/s41587-024-02384-z); curated by an earlier project	not in this project's git	sha256 80b2f565515c96bb1b9b0082c261dd6184c67672e29bb96c813cf6abdd9d9577 (byte-identical in 9 locations)	LIGHT 363 KB	EVALUATION ONLY - and see leakage map	RT_sequence column is EMPTY in all 175 rows (use rt_protein_aa); 174/175 lie inside Mestre's reference set; no header or README states who assembled it
PANEL-NCRNA-FASTA	the 175 published ncRNA (msr-msd) sequences	175 records (171 unique terminal ids)	published ncRNA extent	/home/borg/RETRONS_january_2026/the-retron-project/REPEATE_positive_dataset/41587_2024_2384_MOESM4_ESM_extracted_ncRNAs.fasta	extracted from the paper's supplementary file 4	not in this project's git	sha256 8a51cf71efbcecb48ecf4ec3dac8f4c899f14605d2458433f3e56bba8923a40f	LIGHT 35 KB	the only NON-CM boundary truth available locally	matches support.csv 175/175 by terminal id; the original MOESM workbook is NOT on disk
PANEL-LEAKAGE	exposure map of the panel against every project population	175	retron element	<this package>/EXPERIMENTAL_EVIDENCE_REGISTER.tsv and ../analysis/project_synthesis/PANEL_LEAKAGE_MAP.tsv	project synthesis (exact-hash join)	48f9e1b	regenerable by scripts/build_panel_leakage_map.py	LIGHT	defines what may be used as external	58 train-exposed / 33 val-test-exposed / 56 catalogue-only / 12 near / 16 fully external
MESTRE-TABLE	Mestre 2020 supplementary classification table (3 header variants, identical bodies)	1,928	predicted retron/retron-like RT locus	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/references/rt0_rt7/mestre_2020/Mestre_supplementary_material.csv	external (Mestre et al. 2020 NAR)	tracked in-repo	body md5 d8d924a78fa6...; SOURCE_AUDIT.tsv records copies	LIGHT	reference / comparator ONLY	NO experimental-validation column; 17 rows carry a Retron name; the a-g footnote legend is absent from every local copy
MESTRE-TREE	Mestre 2020 reference tree	1,928 tips (16 short-name tips)	tree tip	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/references/rt0_rt7/mestre_2020/Supplementary_mestre_Tree.nwk	external	tracked in-repo	9 byte-identical copies	LIGHT	reference object	the underlying ALIGNMENT is not published and is not on disk
TORO-2014	Toro 2014 Table S1 and RT0-RT7 extracts	742 rows / 742 FASTA records (102 Retrons)	RT sequence extract	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/references/rt0_rt7/historical/TableS1_Toro_2014.XLSX and toro_2014_Rt0-Rt7.FASTA	external	tracked in-repo	registered in references/rt0_rt7/RESOURCE_REGISTER.tsv	LIGHT	source-stated historical boundaries	no ncRNA column, no experimental column; the Toro 2014 TREE is not on disk
TORO-TREE-9141	Toro's 9,141-representative RT tree - the source population of Mestre 2020	9,141	tree tip	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/references/rt0_rt7/myrt/Suppl_Toro_Tree.txt	external	tracked in-repo	-	LIGHT	provenance of the retron census	only 34/675 Toro-2014 accessions occur in it
MESTRE-SEQS	per-terminal RT protein/nucleotide sequences for the Mestre set	1,928 directories (1,926 with protein)	Mestre terminal	/home/borg/RETRONS_january_2026/the-retron-project/PHYLOGENETIC_TREE/IBEX_TESTS/Mestre_sequences/	earlier project download	not in this project's git	none recorded	HEAVY (per-terminal genomes .gz)	RT-protein source for all 17 named retrons	Retron-Sen2 (St85, terminal 116) download is an RNA-POLYMERASE substitute
STRUCT-REGISTER	Stage-3 experimental structure register	62 chains / 31 biological groups	RT chain	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-stage3c/analysis/stage3a_structural_core/STRUCTURE_REGISTER.tsv	Stage 3A g0	67c137b	hash-checked as a Stage-3C input (236 inputs matched)	LIGHT (register) / HEAVY (coordinates)	the population for 3A, 3B and 3C	a SELECTED panel assembled downstream of Stage-3B catalytic-evidence collection, not an unbiased census (erratum E-3C-2); 50/62 cryo-EM
STRUCT-COORDS	experimental coordinate files (PDB/mmCIF), incl. 8 retron RT-RNA-DNA complexes	24 files in the main cache + external structures dir	structure entry	/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/MELISSA_DATA/crystal_structures/ and /home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-asset-audit/data/stage3b_external_structures/	external (RCSB)	-	reference_boundaries.json/tsv present but RED (see caveat)	HEAVY	structural evidence	the inherited reference_boundaries product is RED: fingers/thumb are arithmetic residuals in 25/25 rows; the 5G2X palm excludes its own catalytic Asp
CAT-TRUTH	Stage-3B catalytic truth table, schema v2.1	62 rows (34 Tier A / 17 Tier B / 11 Tier C)	RT chain	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-stage3c/analysis/stage3b_design/TRUTH_TABLE.tsv	Stage 3B g1/g2	67c137b	bundle MANIFEST	LIGHT	catalytic labels	Tier A contains NO retron; Tier B has 0 HARD_PAIR chains so a residue-exact HIT was unreachable
PADLOC-CM	the 21 retron covariance models (padlocdb.cm) + PADLOC rule files	21 CMs / 18 retron rules	covariance model / rule	registered in /home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/data/README.md; metadata mirrored in results/dbchar_g7b_stage1_extended_report/tables/t22_cm_meta.tsv	external (PADLOC / Mestre)	-	t22_cm_meta.tsv records author = Mestre MR for all 21	LIGHT	THE annotation lineage	no GA lines; types VI, VII, VIII, X, XI, XII have no dedicated model; in 17 of 18 retron rules the ncRNA is a scoring element
TOOL-CALLS	per-record tool calls (myRT / PADLOC / DefenseFinder) kept unpooled	3,051,238	distinct raw record	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7/data/derived/rt_tool_calls_v1.parquet	dbchar_g6	ab50f34	g6_derived_registry.tsv	HEAVY 72 MB	stratification only, NEVER truth	DefenseFinder and PADLOC subtypes agree on only 43.85% of records where both wrote one
SPIRE-BENCH	SPIRE held-out benchmark and post-mortem tables	DEV 88 / HELDOUT 85 groups	locus group	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-spire-ncrna/analysis/spire_ncrna_audit/ROUND2/ and POSTMORTEM/	SPIRE Round 2 + post-mortem	ed4a663	exploratory, not a governed bundle	LIGHT	the record of a falsified instrument + inherited positional features	truth coordinates are production-CM calls, so these features may never be evaluated against CM truth
X2-EXPORT-COMPONENT	X2 component-level effects - THE INFERENCE FILE for any downstream pairing analysis	1,075	bipartite component	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embeddings/results/embed_x2_rt_specificity_confirmation/tables/X2_COMPONENT_LEVEL_EXPORT.tsv	embed_x2 closure	fdf0872	bundle HASHES.sha256	LIGHT	inference (component is the unit; n_eff 12.5)	pair counts overstate sample size by >3 orders of magnitude - never infer from the pair file
X2-EXPORT-PAIR	X2 pair-level effects - JOIN FILE ONLY, not an inference file	30,924	exact RT-ncRNA pair	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embeddings/results/embed_x2_rt_specificity_confirmation/tables/X2_PAIR_LEVEL_EFFECTS.tsv.gz	embed_x2 closure	fdf0872	bundle HASHES.sha256	LIGHT	joining only; carries nearest_train_rt_cosine and relatedness_stratum	exists to SHOW why per-pair reading is forbidden: at C3 the raw pair-weighted mean is nominally negative while the component estimate excludes zero
REPORT-FIGURES	canonical RT-ncRNA chapter figures F1-F12 (F8/F9/F10 are the X2 figures; F7 is synthetic)	12 figures (PNG+PDF)	figure	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embedding-report/analysis/embedding_report/figures/	embedding_report	d7d3ece	generated by scripts/f_figures.py from landed tables	LIGHT	reporting	F7 is a methods schematic with SYNTHETIC values; F11/F12 are placeholders
REPORT-CLAIMS	reporting-layer claim matrix for the RT-ncRNA chapter	29 claims	claim	/home/borg/RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-embedding-report/analysis/embedding_report/CLAIM_EVIDENCE_MATRIX.tsv	embedding_report	d7d3ece	-	LIGHT	reporting	C-20..C-22 (functional compatibility, incompatibility, candidate prioritisation) record 'no estimate exists'
