source_id	evidence_tier	region_id	region_name	rt0_rt7_scope	evidence_class	all_classes_present	boundary_kinds	n_supporting_quotes	assignment_ids	n_times_named_in_text	zero_is_licensed_by_control	unit	frame	stratum	denominator
poch1989	TIER1	domain_0	domain/subdomain 0	RT0_SEPARATE	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	domain_1	domain/subdomain 1	RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	domain_2	domain/subdomain 2	RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	domain_3	domain/subdomain 3	RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	domain_4	domain/subdomain 4	RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	domain_5	domain/subdomain 5	RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	domain_6	domain/subdomain 6	RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	domain_7	domain/subdomain 7	RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	rt_domain_whole	RT domain (whole)	CONTAINER	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	YES	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	domain_2a	domain/subdomain 2a	OUTSIDE_RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
poch1989	TIER1	domain_X	domain X	OUTSIDE_RT1_RT7	NOT_NAMED_IN_SOURCE	NONE	NONE	0	NONE	0	NO - reported as NOT_NAMED without a validated detector	(source, region_name) pair	derivational primary literature plus the acquired primary alignment (launcher 5d)	TIER1	6 sources x 32 region names = 192 cells
