claim_id	prior_claim	prior_value	prior_source	verdict	evidence_measured_in_g3	frame	stratum_and_n	what_survives	what_changes	becomes_acceptance_criterion	unit	denominator
D1	A reproducible operational definition exists: landmarks at match states 146 (RT3) and 229 (RT5), 99.91% held-out, 214-441x above a positional null, on frame RT17_CORE	states 146 and 229; 99.91%; 214-441x	D_instrument (D1 arm); d_instrument_audit/tables/a6_landmark_concordance.tsv	PARTIALLY_REPRODUCED	The two landmark states reproduce as POSITIONS: RT3 state 146 and RT5 state 229 carry onto LtrA residues 160 and 308, both inside independently reconstructed g2 regions (blocks 3 and 5); the RT5 landmark sits 2 residues from the catalytic Y/FxDD that g2 located without consulting it. The 99.91% is NOT a held-out accuracy: it is frac_D_of_occupied at one state in the retron stratum.	RT17_CORE (= B_span17, 305 states) -> LtrA residues	retron stratum n=78,287; anchors n=72	The landmark POSITIONS. They are real locations in conserved regions, recovered independently in g2.	The 99.91% must be renamed: it is the fraction of occupied sequences carrying Asp at one state, not a held-out performance figure. The enrichment range 214-441x is a property of a pair chosen because it is the dyad.	NO - no prior number is an acceptance criterion in this track (launcher 5d)	prior claim	13 prior claims audited
D2	RT1 fails its own declared 0.90 concordance bar, at 0.75 in RT17_CORE and 0.62 in a second frame	0.75 and 0.6176	d_instrument_audit/tables/a6_landmark_concordance.tsv	REPRODUCED_SAME_OBJECT_SAME_FRAME	RT1's landmark is the one that moves: it is the only one of the seven that does NOT place at the same LtrA residue in every prior frame (6 of 7 are identical across frames), and its prior concordance is 0.75 in RT17_CORE against a declared 0.90 bar. In g2 coordinates the RT1 landmark falls at LtrA 49, inside g2 block 1 - which lies in the LtrA region Blocker 2005 assigns to RT0, not RT1.	RT17_CORE and three further frames -> LtrA residues	72 anchors	The failure is real and reproduces: RT1 is the unstable landmark in every frame.	INTERPRETATION IS NOT SETTLED HERE. Whether this is a limitation of the method or an independent recovery of a weakness the founding authors flagged remains an operator decision (launcher 9b). g3 adds one fact to it: the RT1 landmark maps into the RT0 zone on LtrA.	NO - no prior number is an acceptance criterion in this track (launcher 5d)	prior claim	13 prior claims audited
D4	Toro's published span sits at approximately anchor -197 to +57, with 80 verbatim matches	-197..+57; 80 matches	prior D4 arm	NOT_TESTABLE	The Toro comparator arm belongs to g7 under the launcher's tier rules. g3 registers the object and does not re-derive a comparator here.	not evaluated in this gate	n/a	Nothing is claimed either way.	Deferred to g7 with its object recorded.	NO - no prior number is an acceptance criterion in this track (launcher 5d)	prior claim	13 prior claims audited
D6	Landmark enrichments of 2,657x / 4,936x, Region X family-exclusive	2657x / 4936x	prior D6 arm, withdrawn by the prior work itself at 224x / 445x	WITHDRAWN_BY_PRIOR_WORK	Withdrawn by the prior work itself before this gate: regeneration gave 224x / 445x against the reported 2,657x / 4,936x, and Region X was weak rather than family-exclusive. g3 does not re-enter either value.	n/a - withdrawn	n/a	Nothing. The withdrawal stands.	Neither the original nor the regenerated magnitude may be quoted in this track.	NO - no prior number is an acceptance criterion in this track (launcher 5d)	prior claim	13 prior claims audited
A72_EXTERNAL	The 72 anchors are structure-validated external references	72 structure-validated anchors	prior wording, banned by the Stage-2 dossier audit	CIRCULAR_OR_SEED_DEPENDENT	Re-measured by exact sequence identity: 72/72 (100.00%) of the anchors are in the model seed. Composition: 26 of 72 carry a PDB id and the remaining 46 are sequence-propagated; 46/72 (63.89%) are also members of the retron population they score. NEW IN g3: 7 of the 72 carry a His6 expression tag and one carries a SUMO tag, so their residue numbering includes vector-derived sequence.	n/a - set membership	anchors n=72	The 72 sequences exist and 26 of them do have structures.	The phrase '72 structure-validated anchors' is refuted three ways: 100% seed membership, 26 of 72 with structure, and tagged constructs inside the set.	NO - no prior number is an acceptance criterion in this track (launcher 5d)	prior claim	13 prior claims audited
C72	72/72 concordance	72/72	d_instrument_audit/tables/a6_landmark_concordance.tsv	OBJECT_MISMATCH	The quoted '72/72' is concordance_over_truth_defined = 1.0 at states 146 and 229, i.e. 72 of 72 anchor rows landing on the modal state. Since all 72 anchors are seed members, it measures self-consistency between two alignments of the same sequences, not agreement with 72 independent references. The prior audit's own script says so in its docstring.	RT17_CORE	72 anchors, all seed members	The measurement itself: the anchors do land consistently.	The name. It is not 72 independent determinations and must never be quoted as concordance against external references.	NO - no prior number is an acceptance criterion in this track (launcher 5d)	prior claim	13 prior claims audited
GOLD175	The gold panel is external to the model	in_model_seed = no	prior d1g_heldout_dyad.tsv, refuted by the prior audit at 44/171	CIRCULAR_OR_SEED_DEPENDENT	Re-measured: 44/171 (25.73%) of the gold panel are exact-sequence seed members, reproducing the prior audit exactly. NEW IN g3: the same 44 sequences are the panel's overlap with anchors72, so the panel's contamination enters entirely through the anchor set; and 83.04% of the panel are also in the retron population.	n/a - set membership	gold panel n=171 unique (named 175)	The panel exists and 127 of its members are outside the seed.	Any field recording this panel as in_model_seed = no is false by 25.73 points; a held-out design must be built on the 127, with that n stated.	NO - no prior number is an acceptance criterion in this track (launcher 5d)	prior claim	13 prior claims audited
PRODUCERS	63 of 63 RT-DNA producers are COMPLETE, an external referee	63/63, p=0.0141	prior T4; prior audit found 42 of 63 inside the seed	CIRCULAR_OR_SEED_DEPENDENT	The prior audit measured 42 of 63 RT-DNA producers inside the seed and this gate does not re-derive the producer labels, which come from an external support table. What g3 confirms is the mechanism: the gold panel that supplies the producers is 25.73% seed by exact sequence, and its seed overlap is entirely the anchor set.	RT17_CORE	63 producers within a 171-member panel	On all 63 the hypergeometric test was real (p = 0.0141).	The referee is not external: on the 21 producers outside the seed p = 0.2983, a test near-incapable of failing. 'External referee' must carry the subset qualifier.	NO - no prior number is an acceptance criterion in this track (launcher 5d)	prior claim	13 prior claims audited
RT0_VOID	Retron RTs lack a homologous RT0: 10.5% occupancy of the N-terminal blocks against 90.0% for group II introns	10.5% vs 89.99%	rt0_rt7_domain_test/tables/rt0_nterminal_vs_core.tsv, rt0_control.tsv	OBJECT_MISMATCH	The prior RT0 number was measured on frame blocks 1-2, LtrA 53-87, and YES that every block in that region is order_interpolated rather than fixed by a published motif. The prior frame begins at LtrA 53-361 and does NOT cover the conserved RT0 alanine at LtrA 39, which the independently reconstructed g2 region 1 does cover. The two are different objects.	prior RT0-RT7 frame in LtrA P0A3U0 numbering vs g2 regions	retrons n=102, group II introns n=442 in the prior alignment	The occupancy contrast itself is real and was measured with a declared positive control that passed: group II introns occupy that region at 0.8999, retrons at 0.105, same columns, same alignment.	It is not an RT0 number. It measures interpolated N-terminal blocks that exclude the only specific RT0 landmark available. The prior work's own later trees reached the same conclusion and banned RT0 as a landmark. U01 stays open and the scope limit from g2 stands: the defining cross-class claim is untestable on this substrate.	NO - no prior number is an acceptance criterion in this track (launcher 5d)	prior claim	13 prior claims audited
RT0_FRAME_GAP	The RT0-RT7 frame begins at LtrA 53; Blocker's RT0 alanine A39 lies 14 residues outside it	frame starts at LtrA 53; A39 outside	rt0_rt7_domain_test_v2/FINDINGS.md	REPRODUCED_SAME_OBJECT_SAME_FRAME	Independently confirmed: the prior frame spans LtrA 53-361 and begins 14 residues downstream of the RT0 alanine at 39. g2's reconstruction places a conserved region at LtrA 39-61, covering it.	LtrA P0A3U0 numbering	one reference protein	The prior observation is exactly right and this gate reproduces it from the frame table itself.	It is now paired with a positive: the region the prior frame excluded is one the independent reconstruction recovers.	NO - no prior number is an acceptance criterion in this track (launcher 5d)	prior claim	13 prior claims audited
