sequence_id	sequence_hash	length_aa	family_from_identifier	original_identifier	source_database_or_file	generating_script	selection_criterion	annotation_before_inclusion	exact_in_align000044	exact_in_toro742	exact_in_myrt1844	exact_in_gold171	exact_in_anchors72	exact_in_stage1	best_identity_myrt	best_identity_toro	best_identity_align000044	best_identity_stage1	stage1_leakage_class	structural_gate_passed	selected_using_structure	n_prior_models_that_saw_it	prior_model_note	role_in_g4	unit	denominator
CAND_AbiK_16	42aed8345fb7eb47f639162008e401c6a82df518077044e3fdb068101a055a14	687	AbiK	rt_hash fefc4d30970adaf6 (corpus sequence hash; no NCBI or UniProt accession exists for these)	stage2_rt/cache/ph4/dedup_501k.fasta - the 501,561-sequence deduplicated corpus, the same lineage as the Stage-1 catalogue	columns_rt17/followup/scripts/f3a_recruit.py (recruitment) then f3c_validate.py (the G1-G5 structural gate that kept 95 of 129)	tier_variantB in COMPLETE/COMPLETE_MOSAIC; not clipped; 200-900 aa; cd-hit at 50% identity; the K largest clusters per coverage tier (6 RT7_DISSENTER / 4 THIN / 3 BY_CONSTRUCTION). No bit score or e-value. This sequence: family RVT-AbiK, coverage_tier RT7_DISSENTER, cd-hit cluster 16 of 123 (cluster size 20, family pool 540)	YES - every CAND arrived carrying Stage-2 annotation: a palm-HMM domain boundary (palm_qs_frozen/palm_qe_frozen/palm_cov_frozen), a catalytic xxDD motif string, and a family call. The seed expansion was NOT annotation-free; structural gate: mean pLDDT 85.6, 25 crystal donors at TM>=0.5, max TM 0.936	NO	NO	NO	NO	NO	YES	0.7940	0.2860	0.2680	1.0000	EXACT_DUPLICATE	True	YES - the 95 were kept by a structural gate (ESMFold models, crystal donors at TM>=0.5, pLDDT>=70, catalytic chemistry and order). The old seed's expansion is structure-selected, which is why it may not seed a sequence-defined instrument in g4	38	every model trained on all167 has seen this sequence; 38 such models were found	PRIOR / AUDIT / COMPARATOR - excluded from g4 derivation, fitting, thresholds and calibration, and excluded from any Stage-1 sample by identity	CAND_* seed member	95 CAND_* members of all167.faa
CAND_AbiK_31	85e7497f1a75d93e006e7118d17ba425273dc851c2ffbafdd80d80fa46849e4c	666	AbiK	rt_hash 4ef70eabef4a9705 (corpus sequence hash; no NCBI or UniProt accession exists for these)	stage2_rt/cache/ph4/dedup_501k.fasta - the 501,561-sequence deduplicated corpus, the same lineage as the Stage-1 catalogue	columns_rt17/followup/scripts/f3a_recruit.py (recruitment) then f3c_validate.py (the G1-G5 structural gate that kept 95 of 129)	tier_variantB in COMPLETE/COMPLETE_MOSAIC; not clipped; 200-900 aa; cd-hit at 50% identity; the K largest clusters per coverage tier (6 RT7_DISSENTER / 4 THIN / 3 BY_CONSTRUCTION). No bit score or e-value. This sequence: family RVT-AbiK, coverage_tier RT7_DISSENTER, cd-hit cluster 31 of 123 (cluster size 24, family pool 540)	YES - every CAND arrived carrying Stage-2 annotation: a palm-HMM domain boundary (palm_qs_frozen/palm_qe_frozen/palm_cov_frozen), a catalytic xxDD motif string, and a family call. The seed expansion was NOT annotation-free; structural gate: mean pLDDT 87.7, 25 crystal donors at TM>=0.5, max TM 0.943	NO	NO	NO	NO	NO	YES	0.6080	0.2680	0.2430	1.0000	EXACT_DUPLICATE	True	YES - the 95 were kept by a structural gate (ESMFold models, crystal donors at TM>=0.5, pLDDT>=70, catalytic chemistry and order). The old seed's expansion is structure-selected, which is why it may not seed a sequence-defined instrument in g4	38	every model trained on all167 has seen this sequence; 38 such models were found	PRIOR / AUDIT / COMPARATOR - excluded from g4 derivation, fitting, thresholds and calibration, and excluded from any Stage-1 sample by identity	CAND_* seed member	95 CAND_* members of all167.faa
CAND_AbiK_51	ea45b9ca7c303f6180e66dc025733e58a2eb3108e09009bc7931d29ab3824634	659	AbiK	rt_hash 36d17205edf0beb2 (corpus sequence hash; no NCBI or UniProt accession exists for these)	stage2_rt/cache/ph4/dedup_501k.fasta - the 501,561-sequence deduplicated corpus, the same lineage as the Stage-1 catalogue	columns_rt17/followup/scripts/f3a_recruit.py (recruitment) then f3c_validate.py (the G1-G5 structural gate that kept 95 of 129)	tier_variantB in COMPLETE/COMPLETE_MOSAIC; not clipped; 200-900 aa; cd-hit at 50% identity; the K largest clusters per coverage tier (6 RT7_DISSENTER / 4 THIN / 3 BY_CONSTRUCTION). No bit score or e-value. This sequence: family RVT-AbiK, coverage_tier RT7_DISSENTER, cd-hit cluster 51 of 123 (cluster size 20, family pool 540)	YES - every CAND arrived carrying Stage-2 annotation: a palm-HMM domain boundary (palm_qs_frozen/palm_qe_frozen/palm_cov_frozen), a catalytic xxDD motif string, and a family call. The seed expansion was NOT annotation-free; structural gate: mean pLDDT 89.8, 25 crystal donors at TM>=0.5, max TM 0.931	NO	NO	NO	NO	NO	YES	0.5770	0.2980	0.2920	1.0000	EXACT_DUPLICATE	True	YES - the 95 were kept by a structural gate (ESMFold models, crystal donors at TM>=0.5, pLDDT>=70, catalytic chemistry and order). The old seed's expansion is structure-selected, which is why it may not seed a sequence-defined instrument in g4	38	every model trained on all167 has seen this sequence; 38 such models were found	PRIOR / AUDIT / COMPARATOR - excluded from g4 derivation, fitting, thresholds and calibration, and excluded from any Stage-1 sample by identity	CAND_* seed member	95 CAND_* members of all167.faa
CAND_AbiK_98	f429d90dcae950ac9dcce8d4bafcc084dd668f474fba2c17ec74151d47bd6eed	596	AbiK	rt_hash b67d4465df0bcdcb (corpus sequence hash; no NCBI or UniProt accession exists for these)	stage2_rt/cache/ph4/dedup_501k.fasta - the 501,561-sequence deduplicated corpus, the same lineage as the Stage-1 catalogue	columns_rt17/followup/scripts/f3a_recruit.py (recruitment) then f3c_validate.py (the G1-G5 structural gate that kept 95 of 129)	tier_variantB in COMPLETE/COMPLETE_MOSAIC; not clipped; 200-900 aa; cd-hit at 50% identity; the K largest clusters per coverage tier (6 RT7_DISSENTER / 4 THIN / 3 BY_CONSTRUCTION). No bit score or e-value. This sequence: family RVT-AbiK, coverage_tier RT7_DISSENTER, cd-hit cluster 98 of 123 (cluster size 21, family pool 540)	YES - every CAND arrived carrying Stage-2 annotation: a palm-HMM domain boundary (palm_qs_frozen/palm_qe_frozen/palm_cov_frozen), a catalytic xxDD motif string, and a family call. The seed expansion was NOT annotation-free; structural gate: mean pLDDT 85.7, 25 crystal donors at TM>=0.5, max TM 0.947	NO	NO	NO	NO	NO	YES	0.7300		0.3100	1.0000	EXACT_DUPLICATE	True	YES - the 95 were kept by a structural gate (ESMFold models, crystal donors at TM>=0.5, pLDDT>=70, catalytic chemistry and order). The old seed's expansion is structure-selected, which is why it may not seed a sequence-defined instrument in g4	38	every model trained on all167 has seen this sequence; 38 such models were found	PRIOR / AUDIT / COMPARATOR - excluded from g4 derivation, fitting, thresholds and calibration, and excluded from any Stage-1 sample by identity	CAND_* seed member	95 CAND_* members of all167.faa
CAND_AbiP2_108	4bb8a80db6afa2516ab9c95fdf2a8bde151e30cc5b3cac1cafe175689c39ced4	574	AbiP2	rt_hash a5acbd3df43e1390 (corpus sequence hash; no NCBI or UniProt accession exists for these)	stage2_rt/cache/ph4/dedup_501k.fasta - the 501,561-sequence deduplicated corpus, the same lineage as the Stage-1 catalogue	columns_rt17/followup/scripts/f3a_recruit.py (recruitment) then f3c_validate.py (the G1-G5 structural gate that kept 95 of 129)	tier_variantB in COMPLETE/COMPLETE_MOSAIC; not clipped; 200-900 aa; cd-hit at 50% identity; the K largest clusters per coverage tier (6 RT7_DISSENTER / 4 THIN / 3 BY_CONSTRUCTION). No bit score or e-value. This sequence: family RVT-AbiP2, coverage_tier RT7_DISSENTER, cd-hit cluster 108 of 458 (cluster size 58, family pool 1902)	YES - every CAND arrived carrying Stage-2 annotation: a palm-HMM domain boundary (palm_qs_frozen/palm_qe_frozen/palm_cov_frozen), a catalytic xxDD motif string, and a family call. The seed expansion was NOT annotation-free; structural gate: mean pLDDT 86.4, 23 crystal donors at TM>=0.5, max TM 0.903	NO	NO	NO	NO	NO	YES	0.6060	0.2970	0.2670	1.0000	EXACT_DUPLICATE	True	YES - the 95 were kept by a structural gate (ESMFold models, crystal donors at TM>=0.5, pLDDT>=70, catalytic chemistry and order). The old seed's expansion is structure-selected, which is why it may not seed a sequence-defined instrument in g4	38	every model trained on all167 has seen this sequence; 38 such models were found	PRIOR / AUDIT / COMPARATOR - excluded from g4 derivation, fitting, thresholds and calibration, and excluded from any Stage-1 sample by identity	CAND_* seed member	95 CAND_* members of all167.faa
CAND_AbiP2_172	4348d77e4addae276f73b82ae686c76600f9aa32abffc46c9ca70f9dc2bb48bd	540	AbiP2	rt_hash f83356f8a79a3154 (corpus sequence hash; no NCBI or UniProt accession exists for these)	stage2_rt/cache/ph4/dedup_501k.fasta - the 501,561-sequence deduplicated corpus, the same lineage as the Stage-1 catalogue	columns_rt17/followup/scripts/f3a_recruit.py (recruitment) then f3c_validate.py (the G1-G5 structural gate that kept 95 of 129)	tier_variantB in COMPLETE/COMPLETE_MOSAIC; not clipped; 200-900 aa; cd-hit at 50% identity; the K largest clusters per coverage tier (6 RT7_DISSENTER / 4 THIN / 3 BY_CONSTRUCTION). No bit score or e-value. This sequence: family RVT-AbiP2, coverage_tier RT7_DISSENTER, cd-hit cluster 172 of 458 (cluster size 68, family pool 1902)	YES - every CAND arrived carrying Stage-2 annotation: a palm-HMM domain boundary (palm_qs_frozen/palm_qe_frozen/palm_cov_frozen), a catalytic xxDD motif string, and a family call. The seed expansion was NOT annotation-free; structural gate: mean pLDDT 84.7, 25 crystal donors at TM>=0.5, max TM 0.972	NO	NO	NO	NO	NO	YES	0.8770	0.3850	0.2640	1.0000	EXACT_DUPLICATE	True	YES - the 95 were kept by a structural gate (ESMFold models, crystal donors at TM>=0.5, pLDDT>=70, catalytic chemistry and order). The old seed's expansion is structure-selected, which is why it may not seed a sequence-defined instrument in g4	38	every model trained on all167 has seen this sequence; 38 such models were found	PRIOR / AUDIT / COMPARATOR - excluded from g4 derivation, fitting, thresholds and calibration, and excluded from any Stage-1 sample by identity	CAND_* seed member	95 CAND_* members of all167.faa
CAND_AbiP2_208	fbe62287af4a80bd87be45685d30af060f95da1f70e460670bd555f5ef6f9bbb	530	AbiP2	rt_hash cba7ff6efce05b66 (corpus sequence hash; no NCBI or UniProt accession exists for these)	stage2_rt/cache/ph4/dedup_501k.fasta - the 501,561-sequence deduplicated corpus, the same lineage as the Stage-1 catalogue	columns_rt17/followup/scripts/f3a_recruit.py (recruitment) then f3c_validate.py (the G1-G5 structural gate that kept 95 of 129)	tier_variantB in COMPLETE/COMPLETE_MOSAIC; not clipped; 200-900 aa; cd-hit at 50% identity; the K largest clusters per coverage tier (6 RT7_DISSENTER / 4 THIN / 3 BY_CONSTRUCTION). No bit score or e-value. This sequence: family RVT-AbiP2, coverage_tier RT7_DISSENTER, cd-hit cluster 208 of 458 (cluster size 64, family pool 1902)	YES - every CAND arrived carrying Stage-2 annotation: a palm-HMM domain boundary (palm_qs_frozen/palm_qe_frozen/palm_cov_frozen), a catalytic xxDD motif string, and a family call. The seed expansion was NOT annotation-free; structural gate: mean pLDDT 88.1, 25 crystal donors at TM>=0.5, max TM 0.875	NO	NO	NO	NO	NO	YES	0.6640	0.4470	0.2280	1.0000	EXACT_DUPLICATE	True	YES - the 95 were kept by a structural gate (ESMFold models, crystal donors at TM>=0.5, pLDDT>=70, catalytic chemistry and order). The old seed's expansion is structure-selected, which is why it may not seed a sequence-defined instrument in g4	38	every model trained on all167 has seen this sequence; 38 such models were found	PRIOR / AUDIT / COMPARATOR - excluded from g4 derivation, fitting, thresholds and calibration, and excluded from any Stage-1 sample by identity	CAND_* seed member	95 CAND_* members of all167.faa
CAND_AbiP2_270	00570048fbceb07cf619392ce20c63ed170f282eaa2c91a727ad2b796a9cf410	518	AbiP2	rt_hash 0c9a30cb02cf63d6 (corpus sequence hash; no NCBI or UniProt accession exists for these)	stage2_rt/cache/ph4/dedup_501k.fasta - the 501,561-sequence deduplicated corpus, the same lineage as the Stage-1 catalogue	columns_rt17/followup/scripts/f3a_recruit.py (recruitment) then f3c_validate.py (the G1-G5 structural gate that kept 95 of 129)	tier_variantB in COMPLETE/COMPLETE_MOSAIC; not clipped; 200-900 aa; cd-hit at 50% identity; the K largest clusters per coverage tier (6 RT7_DISSENTER / 4 THIN / 3 BY_CONSTRUCTION). No bit score or e-value. This sequence: family RVT-AbiP2, coverage_tier RT7_DISSENTER, cd-hit cluster 270 of 458 (cluster size 57, family pool 1902)	YES - every CAND arrived carrying Stage-2 annotation: a palm-HMM domain boundary (palm_qs_frozen/palm_qe_frozen/palm_cov_frozen), a catalytic xxDD motif string, and a family call. The seed expansion was NOT annotation-free; structural gate: mean pLDDT 91.0, 25 crystal donors at TM>=0.5, max TM 0.927	NO	NO	NO	NO	NO	YES	0.6590	0.4660	0.3640	1.0000	EXACT_DUPLICATE	True	YES - the 95 were kept by a structural gate (ESMFold models, crystal donors at TM>=0.5, pLDDT>=70, catalytic chemistry and order). The old seed's expansion is structure-selected, which is why it may not seed a sequence-defined instrument in g4	38	every model trained on all167 has seen this sequence; 38 such models were found	PRIOR / AUDIT / COMPARATOR - excluded from g4 derivation, fitting, thresholds and calibration, and excluded from any Stage-1 sample by identity	CAND_* seed member	95 CAND_* members of all167.faa
CAND_AbiP2_81	632bf809ef81e88a25bc127d23424437967af2091f521d0e7b6360abef2635dd	603	AbiP2	rt_hash 4a03b6cb9eebe224 (corpus sequence hash; no NCBI or UniProt accession exists for these)	stage2_rt/cache/ph4/dedup_501k.fasta - the 501,561-sequence deduplicated corpus, the same lineage as the Stage-1 catalogue	columns_rt17/followup/scripts/f3a_recruit.py (recruitment) then f3c_validate.py (the G1-G5 structural gate that kept 95 of 129)	tier_variantB in COMPLETE/COMPLETE_MOSAIC; not clipped; 200-900 aa; cd-hit at 50% identity; the K largest clusters per coverage tier (6 RT7_DISSENTER / 4 THIN / 3 BY_CONSTRUCTION). No bit score or e-value. This sequence: family RVT-AbiP2, coverage_tier RT7_DISSENTER, cd-hit cluster 81 of 458 (cluster size 43, family pool 1902)	YES - every CAND arrived carrying Stage-2 annotation: a palm-HMM domain boundary (palm_qs_frozen/palm_qe_frozen/palm_cov_frozen), a catalytic xxDD motif string, and a family call. The seed expansion was NOT annotation-free; structural gate: mean pLDDT 88.7, 24 crystal donors at TM>=0.5, max TM 0.91	NO	NO	NO	NO	NO	YES	0.5920	0.3670	0.2640	1.0000	EXACT_DUPLICATE	True	YES - the 95 were kept by a structural gate (ESMFold models, crystal donors at TM>=0.5, pLDDT>=70, catalytic chemistry and order). The old seed's expansion is structure-selected, which is why it may not seed a sequence-defined instrument in g4	38	every model trained on all167 has seen this sequence; 38 such models were found	PRIOR / AUDIT / COMPARATOR - excluded from g4 derivation, fitting, thresholds and calibration, and excluded from any Stage-1 sample by identity	CAND_* seed member	95 CAND_* members of all167.faa
CAND_CRISPR_33	2306505634712ac999518933a4ab35ec0043265c4779f40ce3f136c7a8748a74	532	CRISPR	rt_hash 3f0188cc2b8b719c (corpus sequence hash; no NCBI or UniProt accession exists for these)	stage2_rt/cache/ph4/dedup_501k.fasta - the 501,561-sequence deduplicated corpus, the same lineage as the Stage-1 catalogue	columns_rt17/followup/scripts/f3a_recruit.py (recruitment) then f3c_validate.py (the G1-G5 structural gate that kept 95 of 129)	tier_variantB in COMPLETE/COMPLETE_MOSAIC; not clipped; 200-900 aa; cd-hit at 50% identity; the K largest clusters per coverage tier (6 RT7_DISSENTER / 4 THIN / 3 BY_CONSTRUCTION). No bit score or e-value. This sequence: family RVT-CRISPR, coverage_tier THIN, cd-hit cluster 33 of 130 (cluster size 16, family pool 327)	YES - every CAND arrived carrying Stage-2 annotation: a palm-HMM domain boundary (palm_qs_frozen/palm_qe_frozen/palm_cov_frozen), a catalytic xxDD motif string, and a family call. The seed expansion was NOT annotation-free; structural gate: mean pLDDT 79.6, 26 crystal donors at TM>=0.5, max TM 0.945	NO	NO	NO	NO	NO	YES	0.4540		0.2450	1.0000	EXACT_DUPLICATE	True	YES - the 95 were kept by a structural gate (ESMFold models, crystal donors at TM>=0.5, pLDDT>=70, catalytic chemistry and order). The old seed's expansion is structure-selected, which is why it may not seed a sequence-defined instrument in g4	38	every model trained on all167 has seen this sequence; 38 such models were found	PRIOR / AUDIT / COMPARATOR - excluded from g4 derivation, fitting, thresholds and calibration, and excluded from any Stage-1 sample by identity	CAND_* seed member	95 CAND_* members of all167.faa
