replicate	decoy_sequence_id	n_states_mapped	pct_mapped
0	AGA92426.1_G2L_SHUF0	0	0.0
0	ATI12522.1_G2L_SHUF0	0	0.0
0	CCA58983.1_G2L_SHUF0	0	0.0
0	CCH17786.1_G2L_SHUF0	0	0.0
0	CCT60821.1_G2L_SHUF0	1	0.7
0	CP004385.1_1408759_1409709_+_G2L_SHUF0	0	0.0
0	CP005587.1_2247168_2248427_+_G2L_SHUF0	28	18.7
0	CP018369.1_1678395_1679591_-_G2L_SHUF0	0	0.0
0	CP019322.1_1283679_1284887_+_G2L_SHUF0	7	4.7
0	CP020390.1_3686208_3687404_-_G2L_SHUF0	0	0.0
0	CP020397.1_1076542_1077738_+_G2L_SHUF0	0	0.0
0	CP023657.1_1851784_1852992_+_G2L_SHUF0	0	0.0
0	CP028901.1_3181383_3182723_-_G2L_SHUF0	0	0.0
0	CP032345.1_2878885_2880129_+_G2L_SHUF0	0	0.0
0	CP038026.1_5552810_5554066_+_G2L_SHUF0	0	0.0
0	CP038262.1_2811866_2813086_+_G2L_SHUF0	0	0.0
0	CP040077.1_890709_891905_+_G2L_SHUF0	0	0.0
0	CRK55203.1_G2L_SHUF0	0	0.0
0	EFI52015.1_G2L_SHUF0	0	0.0
0	EHB91710.1_G2L_SHUF0	0	0.0
0	EKA88804.1_G2L_SHUF0	0	0.0
0	ETR70225.1_G2L_SHUF0	0	0.0
0	KOY81891.1_G2L_SHUF0	0	0.0
0	KRD11792.1_G2L_SHUF0	0	0.0
0	NP_811761.1_G2L_SHUF0	0	0.0
0	OGW91992.1_G2L_SHUF0	0	0.0
0	OJI07300.1_G2L_SHUF0	0	0.0
0	OTG72349.1_G2L_SHUF0	1	0.7
0	PFG50180.1_G2L_SHUF0	0	0.0
0	PFH20450.1_G2L_SHUF0	1	0.7
0	PIQ87175.1_G2L_SHUF0	0	0.0
0	PKV73035.1_G2L_SHUF0	1	0.7
0	SAK23902.1_G2L_SHUF0	0	0.0
0	SFJ98198.1_G2L_SHUF0	0	0.0
0	SHH90620.1_G2L_SHUF0	0	0.0
0	SOB75353.1_G2L_SHUF0	0	0.0
0	SOD41170.1_G2L_SHUF0	0	0.0
0	WP_002069401.1_G2L_SHUF0	0	0.0
0	WP_005404755.1_G2L_SHUF0	1	0.7
0	WP_031977679.1_G2L_SHUF0	0	0.0
0	WP_046739911.1_G2L_SHUF0	0	0.0
0	WP_055414610.1_G2L_SHUF0	0	0.0
0	WP_059273163.1_G2L_SHUF0	0	0.0
0	WP_072029177.1_G2L_SHUF0	0	0.0
