prior_region_id	frame_id	prior_label	prior_coordinate_kind	prior_start	prior_end	prior_concordance_over_truth_defined	prior_n_distinct_states	source_table	note
RT17_CORE:RT1	RT17_CORE	RT1	hmm_match_state_point	42	42	0.75	4	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
RT17_CORE:RT2	RT17_CORE	RT2	hmm_match_state_point	87	87	0.9861	2	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
RT17_CORE:RT3	RT17_CORE	RT3	hmm_match_state_point	146	146	1.0	1	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
RT17_CORE:RT4	RT17_CORE	RT4	hmm_match_state_point	193	193	0.9861	1	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
RT17_CORE:RT5	RT17_CORE	RT5	hmm_match_state_point	229	229	1.0	1	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
RT17_CORE:RT6	RT17_CORE	RT6	hmm_match_state_point	263	263	0.9444	3	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
RT17_CORE:RT7	RT17_CORE	RT7	hmm_match_state_point	276	276	0.9296	2	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
RETRON_SEED:RT1	RETRON_SEED	RT1	hmm_match_state_point	74	74	0.6176	3	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
RETRON_SEED:RT2	RETRON_SEED	RT2	hmm_match_state_point	111	111	0.8056	4	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
RETRON_SEED:RT3	RETRON_SEED	RT3	hmm_match_state_point	163	163	0.9861	1	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
RETRON_SEED:RT4	RETRON_SEED	RT4	hmm_match_state_point	206	206	0.9861	1	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
RETRON_SEED:RT5	RETRON_SEED	RT5	hmm_match_state_point	242	242	1.0	1	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
RETRON_SEED:RT6	RETRON_SEED	RT6	hmm_match_state_point	275	275	0.9722	2	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
RETRON_SEED:RT7	RETRON_SEED	RT7	hmm_match_state_point	288	288	0.8451	2	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
B_full:RT1	B_full	RT1	hmm_match_state_point	32	32	0.7206	3	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
B_full:RT2	B_full	RT2	hmm_match_state_point	77	77	0.9722	2	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
B_full:RT3	B_full	RT3	hmm_match_state_point	136	136	1.0	1	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
B_full:RT4	B_full	RT4	hmm_match_state_point	183	183	0.9861	1	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
B_full:RT5	B_full	RT5	hmm_match_state_point	219	219	1.0	1	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
B_full:RT6	B_full	RT6	hmm_match_state_point	253	253	0.9444	3	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
B_full:RT7	B_full	RT7	hmm_match_state_point	266	266	0.9577	1	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
A_span17:RT1	A_span17	RT1	hmm_match_state_point	69	69	0.8971	2	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
A_span17:RT2	A_span17	RT2	hmm_match_state_point	112	112	1.0	1	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
A_span17:RT3	A_span17	RT3	hmm_match_state_point	164	164	1.0	1	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
A_span17:RT4	A_span17	RT4	hmm_match_state_point	211	211	1.0	1	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
A_span17:RT5	A_span17	RT5	hmm_match_state_point	247	247	1.0	1	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
A_span17:RT6	A_span17	RT6	hmm_match_state_point	282	282	1.0	1	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
A_span17:RT7	A_span17	RT7	hmm_match_state_point	295	295	0.9859	1	d_instrument_audit/tables/a6_landmark_concordance.tsv	the prior landmark is a single match state, not a span: the prior work defined RT1-RT7 as points in an alignment, so it never carried block extents to compare
