model_path	model_name_declared	file_stem	leng	nseq	built_from_set_implied_by_nseq	name_matches_file	duplicate_of	sha256	role_in_g4	unit	denominator
/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/stage2b_assessor_redesign/anchors/cache/seqsearch/RVT-AbiA.hmm	RVT-AbiA_full_RT	RVT-AbiA	339	19	AMBIGUOUS - NSEQ matches no known subset size	NO - declares RVT-AbiA_full_RT	none	4848fbedb10e87a6e916d1340cb31ed7d039ca7089070780e02af22d125acf0c	PRIOR / AUDIT / COMPARATOR - not training truth for g4	prior model	profile HMMs found under the audited prior trees
/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/stage2b_assessor_redesign/anchors/cache/seqsearch/RVT-AbiK.hmm	RVT-AbiK_full_RT	RVT-AbiK	466	5	AMBIGUOUS - NSEQ matches no known subset size	NO - declares RVT-AbiK_full_RT	none	3304fb0a532d051e1cceac9de9af2f95513d403b11ad410f9793dc9f7eb0d473	PRIOR / AUDIT / COMPARATOR - not training truth for g4	prior model	profile HMMs found under the audited prior trees
/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/stage2b_assessor_redesign/anchors/cache/seqsearch/RVT-AbiP2.hmm	RVT-AbiP2_full_RT	RVT-AbiP2	287	12	AMBIGUOUS - NSEQ matches no known subset size	NO - declares RVT-AbiP2_full_RT	none	f5f9c1fca3492715d448850892d478777ba000b6552a10388aa5e64b9d8beeed	PRIOR / AUDIT / COMPARATOR - not training truth for g4	prior model	profile HMMs found under the audited prior trees
/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/stage2b_assessor_redesign/anchors/cache/seqsearch/RVT-CRISPR.hmm	RVT-CRISPR_full_RT	RVT-CRISPR	221	129	AMBIGUOUS - NSEQ matches no known subset size	NO - declares RVT-CRISPR_full_RT	none	bf6bac5f750958ddc5af2586874d65d7838cd6e934982fc2338a799c869bd947	PRIOR / AUDIT / COMPARATOR - not training truth for g4	prior model	profile HMMs found under the audited prior trees
/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/stage2b_assessor_redesign/anchors/cache/seqsearch/RVT-DGRs.hmm	RVT-DGRs_full_RT	RVT-DGRs	179	499	AMBIGUOUS - NSEQ matches no known subset size	NO - declares RVT-DGRs_full_RT	none	c092a0d4f7f6ea3cadbd0de95af34b373e446684ae57277900cbb89a5b35426b	PRIOR / AUDIT / COMPARATOR - not training truth for g4	prior model	profile HMMs found under the audited prior trees
/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/stage2b_assessor_redesign/anchors/cache/seqsearch/RVT-G2L.hmm	RVT-G2L_full_RT	RVT-G2L	286	48	AMBIGUOUS - NSEQ matches no known subset size	NO - declares RVT-G2L_full_RT	none	c511ca415d6cdfedf4a15bb5154bb635c7ee679b718e056108bb47221ffc2783	PRIOR / AUDIT / COMPARATOR - not training truth for g4	prior model	profile HMMs found under the audited prior trees
/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/stage2b_assessor_redesign/anchors/cache/seqsearch/RVT-G2L4.hmm	RVT-G2L4_full_RT	RVT-G2L4	329	8	AMBIGUOUS - NSEQ matches no known subset size	NO - declares RVT-G2L4_full_RT	none	3e8835156e556a5791d16ff20da27308b7c2a1590601ca41a8dc59113893fdb3	PRIOR / AUDIT / COMPARATOR - not training truth for g4	prior model	profile HMMs found under the audited prior trees
/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/stage2b_assessor_redesign/anchors/cache/seqsearch/RVT-GII.hmm	RVT-GII_full_RT	RVT-GII	211	503	AMBIGUOUS - NSEQ matches no known subset size	NO - declares RVT-GII_full_RT	none	5906d1ee3b821e331028ef7f46c51900387c57a1d90e85509b15c2f2e34475b7	PRIOR / AUDIT / COMPARATOR - not training truth for g4	prior model	profile HMMs found under the audited prior trees
/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/stage2b_assessor_redesign/anchors/cache/seqsearch/RVT-Retrons.hmm	RVT-Retrons_full_RT	RVT-Retrons	206	96	AMBIGUOUS - NSEQ matches no known subset size	NO - declares RVT-Retrons_full_RT	none	1e03c7c91fdca45fe57113dc442a288c25b8bae458b165e08856460394e02d55	PRIOR / AUDIT / COMPARATOR - not training truth for g4	prior model	profile HMMs found under the audited prior trees
/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/stage2b_assessor_redesign/anchors/cache/seqsearch/RVT-UG1.hmm	RVT-UG1_full_RT	RVT-UG1	180	31	AMBIGUOUS - NSEQ matches no known subset size	NO - declares RVT-UG1_full_RT	none	e7ae0a192c8b4497724d1091155488cdabda53720be14ddb34080b9b0225829b	PRIOR / AUDIT / COMPARATOR - not training truth for g4	prior model	profile HMMs found under the audited prior trees
/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/stage2b_assessor_redesign/anchors/cache/seqsearch/RVT-UG10.hmm	RVT-UG10_full_RT	RVT-UG10	190	8	AMBIGUOUS - NSEQ matches no known subset size	NO - declares RVT-UG10_full_RT	none	180d9be3378df2f59613fe9cf84416e963b06c3e46cad23081dcac480e2486e8	PRIOR / AUDIT / COMPARATOR - not training truth for g4	prior model	profile HMMs found under the audited prior trees
/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/stage2b_assessor_redesign/anchors/cache/seqsearch/RVT-UG11.hmm	RVT-UG11_full_RT	RVT-UG11	231	14	AMBIGUOUS - NSEQ matches no known subset size	NO - declares RVT-UG11_full_RT	none	59591b8730fe993c30dbc294adb454591bd6fef02982b05746f6e1f2e61578eb	PRIOR / AUDIT / COMPARATOR - not training truth for g4	prior model	profile HMMs found under the audited prior trees
/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/stage2b_assessor_redesign/anchors/cache/seqsearch/RVT-UG12.hmm	RVT-UG12_full_RT	RVT-UG12	370	37	AMBIGUOUS - NSEQ matches no known subset size	NO - declares RVT-UG12_full_RT	none	7f5763465e579c19ab4c7cf60806dc954e6f4728f84e66453958cb64ff0b568c	PRIOR / AUDIT / COMPARATOR - not training truth for g4	prior model	profile HMMs found under the audited prior trees
/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/stage2b_assessor_redesign/anchors/cache/seqsearch/RVT-UG13.hmm	RVT-UG13_full_RT	RVT-UG13	236	24	the 24 re-scanned crystal entries upstream of the 26 PDB anchors	NO - declares RVT-UG13_full_RT	none	64e9cfb780e8cf1f0e29d243603ea85643a268d1217ed9482977bc56f3643636	PRIOR / AUDIT / COMPARATOR - not training truth for g4	prior model	profile HMMs found under the audited prior trees
/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/stage2b_assessor_redesign/anchors/cache/seqsearch/RVT-UG14.hmm	RVT-UG14_full_RT	RVT-UG14	245	17	AMBIGUOUS - NSEQ matches no known subset size	NO - declares RVT-UG14_full_RT	none	72ce559348688746594a5d2ebfc95fb75553bfdbd5a8072881652af3d5173b34	PRIOR / AUDIT / COMPARATOR - not training truth for g4	prior model	profile HMMs found under the audited prior trees
/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/stage2b_assessor_redesign/anchors/cache/seqsearch/RVT-UG15.hmm	RVT-UG15_full_RT	RVT-UG15	390	39	AMBIGUOUS - NSEQ matches no known subset size	NO - declares RVT-UG15_full_RT	none	5c72447c0f483a4b216945b1e7837fa2b565f70eedf0ceafc7a297d79dea7077	PRIOR / AUDIT / COMPARATOR - not training truth for g4	prior model	profile HMMs found under the audited prior trees
/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/stage2b_assessor_redesign/anchors/cache/seqsearch/RVT-UG16.hmm	RVT-UG16_full_RT	RVT-UG16	305	17	AMBIGUOUS - NSEQ matches no known subset size	NO - declares RVT-UG16_full_RT	none	85b45472fbf838eb7b93f2cfabe1f8c692d1f5f85919e33164d27b37cacfb225	PRIOR / AUDIT / COMPARATOR - not training truth for g4	prior model	profile HMMs found under the audited prior trees
/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/stage2b_assessor_redesign/anchors/cache/seqsearch/RVT-UG17.hmm	RVT-UG17_full_RT	RVT-UG17	232	78	AMBIGUOUS - NSEQ matches no known subset size	NO - declares RVT-UG17_full_RT	none	ec7ac3de8125e56fb2cffe75f0a629550882175f70109334a2ea34d807f9150c	PRIOR / AUDIT / COMPARATOR - not training truth for g4	prior model	profile HMMs found under the audited prior trees
/home/borg/RESEARCH-in-sleep-RETRON-DB_V3/ARIS_OUTPUT/stage2b_assessor_redesign/anchors/cache/seqsearch/RVT-UG18.hmm	RVT-UG18_full_RT	RVT-UG18	224	10	AMBIGUOUS - NSEQ matches no known subset size	NO - declares RVT-UG18_full_RT	none	de1ca2b94bf68541c9e16c120156edc88e33bd7170f323ddcd5e89a2d0a9ba4f	PRIOR / AUDIT / COMPARATOR - not training truth for g4	prior model	profile HMMs found under the audited prior trees
