sequence_id	sequence_hash	length_aa	id_prefix	membership_class	evidence_tier	declared_source	original_identifier	selection_reason	activity_evidence_if_any	expression_tags_detected	coordinate_offset_risk	unit	denominator
PDB_8OZ7_1	333eb6ca096404648b0c371eb267fbb9c547fef1cc67b633e73eff143ae4e2c3	730	PDB	ANCHOR	A_experimental_structure	RCSB PDB				His6,SUMO/SMT3,thrombin_LVPRGS	YES - vector-derived residues precede the native sequence	seed member	167 sequences in all167.faa
PDB_7R06_1	073177907bbbbc55658006278b5d304e134742d0b3aafe012dc026191d7c2b43	601	PDB	ANCHOR	A_experimental_structure	RCSB PDB				none	no	seed member	167 sequences in all167.faa
PDB_7R08_1	4c728d835ad50cf5879a5729172992ed3749e3f13c5db011793f91c86733ff1a	541	PDB	ANCHOR	A_experimental_structure	RCSB PDB				none	no	seed member	167 sequences in all167.faa
PDB_7KFT_2	d5ebae437a11887dc8a98a61047e99c6b015777b3237ac8815b6939fb4a78988	984	PDB	ANCHOR	A_experimental_structure	RCSB PDB				none	no	seed member	167 sequences in all167.faa
UNIPROT_F2K1V9	acdb08eb3e939040d1e99bff41a360831aab94f6bfe8aae0dbe783527bf9901d	957	UNIPROT	ANCHOR	B_characterised_protein	UniProtKB				none	no	seed member	167 sequences in all167.faa
PDB_8UB7_1	dfd87e8f2e36154e8547e1472735e1244edc288ff70f070dd824000c2f987f3f	328	PDB	ANCHOR	A_experimental_structure	RCSB PDB				none	no	seed member	167 sequences in all167.faa
PDB_6AR1_1	0d9593fe14e1164b09866e4ded16644683b605e7ae8c68003314978a0196bd13	428	PDB	ANCHOR	A_experimental_structure	RCSB PDB				His6	YES - vector-derived residues precede the native sequence	seed member	167 sequences in all167.faa
PDB_9D4S_1	e37d65f7a0a5f609038e2ac92884a94c8a8aa1dc45401539aaa3a5a6f8f93be9	408	PDB	ANCHOR	A_experimental_structure	RCSB PDB				none	no	seed member	167 sequences in all167.faa
PDB_6ME0_3	87284cdfa43613d7bd9f2b9a76697c19e56666434d6b1d9eaf422ec918cad5a9	562	PDB	ANCHOR	A_experimental_structure	RCSB PDB				none	no	seed member	167 sequences in all167.faa
PDB_5G2X_3	0b63370659e7853fb5d3833076a5630afde28b10afbb9359feaa468f23aad6ae	599	PDB	ANCHOR	A_experimental_structure	RCSB PDB				none	no	seed member	167 sequences in all167.faa
PDB_5HHL_1	fc7f09f37843169ec7f55d8e0dbcd046067071e3017c953a18d9bd617b6e17c1	292	PDB	ANCHOR	A_experimental_structure	RCSB PDB				none	no	seed member	167 sequences in all167.faa
PDB_5HHJ_1	59cd10b067057e49aca5a0b4d9c745fbc2d4c048cc4b9efecf60a8ad46421b86	305	PDB	ANCHOR	A_experimental_structure	RCSB PDB				none	no	seed member	167 sequences in all167.faa
PDB_7V9U_1	429a9c9894501e04f48803b96307cea45955f63b85f1461dc25c017e94b7eaeb	320	PDB	ANCHOR	A_experimental_structure	RCSB PDB				none	no	seed member	167 sequences in all167.faa
PDB_9I2F_2	1250092c99c61868ffda005fd606da17b7a2bba7bad30a9103b5f2087bcf4e9d	596	PDB	ANCHOR	A_experimental_structure	RCSB PDB				Strep_WSHPQFEK	YES - vector-derived residues precede the native sequence	seed member	167 sequences in all167.faa
PDB_9E8Z_3	ff8929368663842dfa581506c08915451a28899251fe3ba38a2eff8e08bc9d32	312	PDB	ANCHOR	A_experimental_structure	RCSB PDB				none	no	seed member	167 sequences in all167.faa
PDB_9N69_2	135ddfa084d3756103aa136958142165740a9b7be609eefa9abc0d1e6fc13be0	311	PDB	ANCHOR	A_experimental_structure	RCSB PDB				none	no	seed member	167 sequences in all167.faa
PDB_9L7P_2	e60f73618b59b5c11a42820a1a50d82aef57b19e70d051ff31b7f0c4d2df0220	311	PDB	ANCHOR	A_experimental_structure	RCSB PDB				none	no	seed member	167 sequences in all167.faa
PDB_23OR_1	a1328737e65463394388576cc4ca50ef7a1907a9c2fe0ab57251b643dbef1100	374	PDB	ANCHOR	A_experimental_structure	RCSB PDB				none	no	seed member	167 sequences in all167.faa
RETRON_t816	e3592d5836fe4733c00b012570f8b554883c260e525b123757c5e3f942181b19	330	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t1520	6c787f211ffbe36528a503fc9dd7a48674b8966f2a32d7299f6ea9b65bff952e	394	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t443	ec086feb47289bac44a73deb1db9dcc78e290629b26e06ac651ac88163c5aab6	332	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t1450	f14be3f0967b065383204bc484a08615b5c0a74580c2d92cb8501e9fbd0fd150	343	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t482	2a96387551d5f463b1180d7c509ee9781f697a3781ddd9102b932259e4ddd577	315	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t1429	0654a1d688d2cf495fbe19c28eb1871227f55c0383e8180f860acd1057cc9362	334	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t430	221a0f89035bb001c0de782735bb606a7acc51591a01c9e5d721d2dd7f57c40d	328	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t1453	dba8c25490928131f18a0040ac65730602371c468632a6b42da500e96fe55417	344	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t815	5cd3f73a08a7372f785f814e44d87ae96e6a44d31b0446b1171e9b432260b5cf	330	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t1143	c6db23d67faea036f4b5ba3579d24772e8cb0acf89180905dffb055bc82fd870	544	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t808	aefe289b200d3fc389604078f6253f272a80ff6af08a084d799a9ae78d87a558	340	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t1100	ee88835da382bb5cb75d2fe7565717d5f2bed2b5a19b35895f8377a3ae22109e	561	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t400	384a0cf1ec2bc49f6ba38e50ee62ce29064a1cffb7c0781368fe3e923a3aee32	345	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t1195	2626b4957ac58394ba1164548f861f75a5822c0a9af81c76e278568effcc912a	491	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t1190	f1495aa2f61cf65ed0f7f400e89fc298fd222f8e02b14569ba807c1d697238a6	578	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t1163	1c18fa9422fb1c273d507dd3d2c8d7b3572f2f3b011bc012f2963de31c050cf5	555	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t812	e705e1dc4ac4374041689273f36fd8470f03a1aabb700372db4ece7ccadb71a0	309	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
UNIPROT_P0DV89	95b12729682fd75d69fdbb048c49754367d26e0b03754e948d4286dbb3dc16f0	379	UNIPROT	ANCHOR	B_characterised_protein	UniProtKB				none	no	seed member	167 sequences in all167.faa
RETRON_t1049	88239861f19248398777d820602bd7afe3f28c3fc9b8f2c4a17b8f133b0b50fb	577	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t208	e2b06f288a69ce4b5c9e3a7d9da5a4fb4505b73f599d8e01487dc3b76ed2dc10	318	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t803	2450c98a48134bd2163db6ba01bc2d4d5f3f3d5671dba40663e2888350baf7f2	336	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t824	565fa5a8b60a91e0b8b762b119ac3a99c47c22fdd50edd72f6013daa8b049df7	333	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t257	04a2549566d446a655a60dc015c7b8f36103f07c2809882edc0592521b3b7487	307	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t953	0684e417eb35ae7966de7362ccf1b4404b5ef1d41d341c4412805771eee2826c	579	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t290	ed37d7b0487c3eefcb44077f9afd879ec33141e2ce06dd23ea25df2a3fa8eb83	316	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
UNIPROT_P71276	7a9dcef084b0c4a1a45b734484dabbecc2bb400e77c99f2062c13dfefe1fa252	408	UNIPROT	ANCHOR	B_characterised_protein	UniProtKB				none	no	seed member	167 sequences in all167.faa
RETRON_t1732	5827225e095a77e510fde558264e1017ea509ec35e11f5e1c86771be2d5ab5b7	471	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t1710	8aa7f5b5b95f29e865e102ecb06e587d3986a11f94c9ef0cd182adf861ee8f14	643	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t1673	d6ef336842db4da35a59694e77bcdf4abbec7d675a8702127217508d0f5f9f11	526	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t1928	3b13f6a885b78fb09f9d39da5f6fbfbd8d04a7a0dca7cc00334ebfecafda4a05	490	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t1894	1ab25fd54547d3ee5b26547582108f0adc17b6290bfdeacb6401f870874b645a	425	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t161	168f9792f122aa7e483dde9c864f3def9ca9de5d8aafa90624fa28fa5542937a	449	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t1703	79439d1a51a95d982cd8cbd1365997d6e1f03207563e4c9386d5da9738ea8c6d	709	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
RETRON_t1687	6e86401763447b3995c94cd441f44832e43387a681de609cb28b2ef3fe9987b4	512	RETRON	ANCHOR	B_characterised_protein	support.csv (systematic retron characterisation)		RTDNA_DEMONSTRATED >= 0.10		none	no	seed member	167 sequences in all167.faa
