mcc	mestre_terminal	toro_index	fident	mcc_status	toro_start	toro_end	mcc_window_start	mcc_window_end	d_window_start	d_window_end	core_start	core_end	core_inside_toro
v1	terminal_612	667	1.0	C_TRUNCATED	19	237							False
v1	terminal_296	630	1.0	EXTRACTABLE	8	243	22	242	14	-1	27.0	242.0	True
v1	terminal_748	656	1.0	N_TRUNCATED	30	251							False
v1	terminal_359	616	1.0	EXTRACTABLE	174	415	212	414	38	-1	217.0	414.0	True
v1	terminal_1338	617	1.0	EXTRACTABLE	55	303	60	300	5	-3	69.0	300.0	True
v1	terminal_1339	618	1.0	EXTRACTABLE	55	303	59	300	4	-3	69.0	300.0	True
v1	terminal_772	658	1.0	C_TRUNCATED	22	246							False
v1	terminal_206	622	1.0	EXTRACTABLE	13	237	16	235	3	-2	29.0	235.0	True
v1	terminal_170	623	1.0	EXTRACTABLE	17	243	30	241	13	-2	33.0	241.0	True
v1	terminal_87	624	1.0	EXTRACTABLE	24	252	37	251	13	-1	40.0	251.0	True
v1	terminal_141	625	1.0	EXTRACTABLE	16	239	17	238	1	-1	28.0	238.0	True
v1	terminal_115	626	1.0	EXTRACTABLE	16	239	21	238	5	-1	28.0	238.0	True
v1	terminal_112	627	1.0	EXTRACTABLE	15	237	24	236	9	-1	27.0	236.0	True
v1	terminal_154	628	1.0	EXTRACTABLE	16	239	16	237	0	-2	28.0	237.0	True
v1	terminal_177	629	1.0	EXTRACTABLE	15	240	19	239	4	-1	27.0	239.0	True
v1	terminal_843	631	1.0	EXTRACTABLE	59	275	68	274	9	-1	71.0	274.0	True
v1	terminal_1256	610	1.0	EXTRACTABLE	12	259	38	258	26	-1	42.0	258.0	True
v1	terminal_526	633	1.0	C_TRUNCATED	31	261							False
v1	terminal_514	635	1.0	EXTRACTABLE	29	256	39	255	10	-1	42.0	255.0	True
v1	terminal_488	636	1.0	EXTRACTABLE	43	269	53	268	10	-1	56.0	268.0	True
v1	terminal_534	641	1.0	EXTRACTABLE	28	250	37	247	9	-3	40.0	247.0	True
v1	terminal_542	643	1.0	EXTRACTABLE	26	247	34	245	8	-2	38.0	245.0	True
v1	terminal_541	644	1.0	C_TRUNCATED	26	247							False
v1	terminal_601	645	1.0	C_TRUNCATED	26	260							False
v1	terminal_567	649	1.0	EXTRACTABLE	27	243	38	240	11	-3	38.0	240.0	True
v1	terminal_1138	650	1.0	C_TRUNCATED	78	351							False
v1	terminal_321	651	1.0	N_TRUNCATED	18	240							False
v1	terminal_323	652	1.0	N_TRUNCATED	15	235							False
v1	terminal_326	653	1.0	N_TRUNCATED	17	236							False
v1	terminal_733	654	1.0	N_TRUNCATED	33	267							False
v1	terminal_1520	613	1.0	EXTRACTABLE	19	250	44	249	25	-1	49.0	249.0	True
v1	terminal_298	614	1.0	EXTRACTABLE	19	234	24	232	5	-2	27.0	232.0	True
v1	terminal_1165	606	1.0	EXTRACTABLE	15	251	31	250	16	-1	41.0	250.0	True
v1	terminal_1886	593	1.0	EXTRACTABLE	83	333	127	341	44	8	127.0	341.0	False
v1	terminal_1801	570	1.0	EXTRACTABLE	124	374	150	373	26	-1	155.0	373.0	True
v1	terminal_1762	571	1.0	EXTRACTABLE	136	397	170	396	34	-1	176.0	396.0	True
v1	terminal_1718	572	1.0	EXTRACTABLE	161	396	170	395	9	-1	177.0	395.0	True
v1	terminal_1765	573	1.0	EXTRACTABLE	102	411	174	393	72	-18	177.0	393.0	True
v1	terminal_1735	574	1.0	EXTRACTABLE	139	387	171	395	32	8	176.0	395.0	False
v1	terminal_1754	575	1.0	EXTRACTABLE	139	387	174	395	35	8	176.0	395.0	False
v1	terminal_1669	576	1.0	EXTRACTABLE	134	407	157	405	23	-2	174.0	405.0	True
v1	terminal_1727	577	1.0	EXTRACTABLE	30	272	58	279	28	7	65.0	279.0	False
v1	terminal_1649	580	1.0	EXTRACTABLE	146	404	165	402	19	-2	186.0	402.0	True
v1	terminal_1648	581	1.0	EXTRACTABLE	151	406	182	413	31	7	188.0	413.0	False
v1	terminal_1483	583	1.0	C_TRUNCATED	55	264							False
v1	terminal_412	584	1.0	C_TRUNCATED	41	268							False
v1	terminal_1277	605	1.0	EXTRACTABLE	25	251	31	249	6	-2	37.0	249.0	True
v1	terminal_1885	591	1.0	C_TRUNCATED	167	427							False
v1	terminal_1875	587	1.0	C_TRUNCATED	107	376							False
v1	terminal_1440	594	1.0	EXTRACTABLE	57	266	65	263	8	-3	69.0	263.0	True
v1	terminal_1550	595	1.0	EXTRACTABLE	11	248	42	247	31	-1	47.0	247.0	True
v1	terminal_982	604	1.0	C_TRUNCATED	96	429							False
v1	terminal_1034	603	1.0	EXTRACTABLE	26	261	37	260	11	-1	40.0	260.0	True
v1	terminal_1022	602	1.0	C_TRUNCATED	28	265							False
v1	terminal_719	663	1.0	N_TRUNCATED	1	244							False
v1	terminal_1899	599	1.0	C_TRUNCATED	141	389							False
v1	terminal_1898	598	1.0	C_TRUNCATED	101	349							False
v1	terminal_1551	595	1.0	EXTRACTABLE	11	248	42	247	31	-1	47.0	247.0	True
v1	terminal_740	655	1.0	N_TRUNCATED	34	264							False
v1	terminal_1601	600	0.995	EXTRACTABLE	27	239	32	239	5	0	43.0	239.0	True
v1	terminal_674	661	0.995	C_TRUNCATED	41	249							False
v1	terminal_613	666	0.995	C_TRUNCATED	32	250							False
v1	terminal_515	634	0.995	EXTRACTABLE	29	256	32	254	3	-2	44.0	254.0	True
v1	terminal_714	665	0.993	C_TRUNCATED	73	232							False
v1	terminal_576	647	0.993	N_TRUNCATED	82	247							False
v1	terminal_459	597	0.991	EXTRACTABLE	27	257	51	256	24	-1	59.0	256.0	True
v1	terminal_487	636	0.991	EXTRACTABLE	43	269	53	268	10	-1	56.0	268.0	True
v1	terminal_531	637	0.986	EXTRACTABLE	30	251	40	250	10	-1	44.0	250.0	True
v1	terminal_1795	568	0.985	EXTRACTABLE	137	407	168	405	31	-2	178.0	405.0	True
v1	terminal_1352	621	0.983	EXTRACTABLE	58	304	66	303	8	-1	71.0	303.0	True
v1	terminal_701	664	0.983	C_TRUNCATED	31	212							False
v1	terminal_1346	620	0.983	EXTRACTABLE	58	305	66	302	8	-3	72.0	302.0	True
v1	terminal_1793	569	0.981	EXTRACTABLE	140	407	177	405	37	-2	180.0	405.0	True
