buffington_id	accession	organism	retron_id	rt_name	overlap_class	rt_raw_hash_hit	rt_stopstripped_hash_hit	rt_is_retron_family	msr_forward_hit	msr_revcomp_hit	msr_orientation	pair_exact_present	experimental_status	experimental_source	operator_nominated_as
NRT-1	MGYG000015517_7-21258-22209	Enterobacter hormaechei subsp. xiangfangensis	Retron-Eho1	Eho1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-2	MGYG000031515_8-18780-19731	Salmonella enterica subsp. enterica serovar Litchfield	Retron-Sen10	Sen10-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-3	MGYG000039284_4-10598-11549	Escherichia coli	Retron-Eco17	Eco17-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-4	MGYG000076807_32-219-1125	Salmonella enterica subsp. enterica serovar Typhimurium	Retron-Sen11	Sen11-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-5	PKCA01000161.1-132561-132876	Salmonella enterica	Retron-Sen12	Sen12-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-6	RJMK01000005.1-55109-56102	Klebsiella pneumoniae	Retron-Kpn1	Kpn1-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-7	SSXT01000007.1-71118-72075	Serratia marcescens	Retron-Sem1	Sem1-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-8	UFZI01000001.1-147466-148618	Salmonella enterica subsp. enterica serovar Typhimurium	Retron-Sen13	Sen13-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-9	UGXU01000001.1-98017-98716	Serratia marcescens	Retron-Sma1	Sma2-RT	EXTERNAL_NEW	False	False	False	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-10	MGYG000034221_4-227427-228351	Salmonella enterica subsp. enterica serovar London	Retron-Sen14	Sen14-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
NRT-11	MGYG000052257_18-23011-23971	Escherichia coli	Retron-Eco18	Eco18-RT	RT_PRESENT_NCRNA_DIFFERS	False	True	True	False	False	NO_MATCH	False	EXPERIMENTAL_STATUS_UNKNOWN		
