anchor_index	reference_family	reference_consensus_coordinate	run_id	run_length
1	GII	107	1	5
2	GII	108	1	5
3	GII	109	1	5
4	GII	110	1	5
5	GII	111	1	5
6	GII	115	2	5
7	GII	116	2	5
8	GII	117	2	5
9	GII	118	2	5
10	GII	119	2	5
11	GII	127	3	14
12	GII	128	3	14
13	GII	129	3	14
14	GII	130	3	14
15	GII	131	3	14
16	GII	132	3	14
17	GII	133	3	14
18	GII	134	3	14
19	GII	135	3	14
20	GII	136	3	14
21	GII	137	3	14
22	GII	138	3	14
23	GII	139	3	14
24	GII	140	3	14
25	GII	145	4	2
26	GII	146	4	2
27	GII	157	5	7
28	GII	158	5	7
29	GII	159	5	7
30	GII	160	5	7
31	GII	161	5	7
32	GII	162	5	7
33	GII	163	5	7
34	GII	169	6	43
35	GII	170	6	43
36	GII	171	6	43
37	GII	172	6	43
38	GII	173	6	43
39	GII	174	6	43
40	GII	175	6	43
41	GII	176	6	43
42	GII	177	6	43
43	GII	178	6	43
44	GII	179	6	43
45	GII	180	6	43
46	GII	181	6	43
47	GII	182	6	43
48	GII	183	6	43
49	GII	184	6	43
50	GII	185	6	43
51	GII	186	6	43
52	GII	187	6	43
53	GII	188	6	43
54	GII	189	6	43
55	GII	190	6	43
56	GII	191	6	43
57	GII	192	6	43
58	GII	193	6	43
59	GII	194	6	43
60	GII	195	6	43
61	GII	196	6	43
62	GII	197	6	43
63	GII	198	6	43
64	GII	199	6	43
65	GII	200	6	43
66	GII	201	6	43
67	GII	202	6	43
68	GII	203	6	43
69	GII	204	6	43
70	GII	205	6	43
71	GII	206	6	43
72	GII	207	6	43
73	GII	208	6	43
74	GII	209	6	43
75	GII	210	6	43
76	GII	211	6	43
77	GII	228	7	5
78	GII	229	7	5
79	GII	230	7	5
80	GII	231	7	5
81	GII	232	7	5
82	GII	236	8	20
83	GII	237	8	20
84	GII	238	8	20
85	GII	239	8	20
86	GII	240	8	20
87	GII	241	8	20
88	GII	242	8	20
89	GII	243	8	20
90	GII	244	8	20
91	GII	245	8	20
92	GII	246	8	20
93	GII	247	8	20
94	GII	248	8	20
95	GII	249	8	20
96	GII	250	8	20
97	GII	251	8	20
98	GII	252	8	20
99	GII	253	8	20
100	GII	254	8	20
101	GII	255	8	20
102	GII	267	9	31
103	GII	268	9	31
104	GII	269	9	31
105	GII	270	9	31
106	GII	271	9	31
107	GII	272	9	31
108	GII	273	9	31
109	GII	274	9	31
110	GII	275	9	31
111	GII	276	9	31
112	GII	277	9	31
113	GII	278	9	31
114	GII	279	9	31
115	GII	280	9	31
116	GII	281	9	31
117	GII	282	9	31
118	GII	283	9	31
119	GII	284	9	31
120	GII	285	9	31
121	GII	286	9	31
122	GII	287	9	31
123	GII	288	9	31
124	GII	289	9	31
125	GII	290	9	31
126	GII	291	9	31
127	GII	292	9	31
128	GII	293	9	31
129	GII	294	9	31
130	GII	295	9	31
131	GII	296	9	31
132	GII	297	9	31
133	GII	299	10	9
134	GII	300	10	9
135	GII	301	10	9
136	GII	302	10	9
137	GII	303	10	9
138	GII	304	10	9
139	GII	305	10	9
140	GII	306	10	9
141	GII	307	10	9
142	GII	309	11	9
143	GII	310	11	9
144	GII	311	11	9
145	GII	312	11	9
146	GII	313	11	9
147	GII	314	11	9
148	GII	315	11	9
149	GII	316	11	9
150	GII	317	11	9
