rt_seq_hash	family_label_set	rt_aa_len	n_records	n_loci	n_genomes
8ad44480c224919970b39bda6a6d2b6195b5e0704c7f484fb85bdd9922f49621	RVT-CRISPR|RVT-CRISPR-like	946	89	51	50
3ccb0ceba87150442f43e29230ba4a73bc3890369e58167972c9550a59023d00	RVT-CRISPR|RVT-CRISPR-like	955	59	32	32
4694b7797d09a67e38e49fc2becafda3df2ee0827f7be5787202dff79e53310e	RVT-CRISPR|RVT-CRISPR-like	933	57	31	31
e8ed1aea3695872d99ba2351b2da17f0c5161eb3f74969791fb84ef8b7c061fa	RVT-CRISPR|RVT-CRISPR-like	490	10	5	5
8b3bc9d36b0dc1fdc3365193cfe08ff6cd8c5296b9e893404cba975220af33d9	RVT-CRISPR|RVT-CRISPR-like	308	7	4	4
401ab0bbf94bb10a7e81f3834d6700b607c7eda4e2dbd0e0cdec28284cf823b6	RVT-CRISPR|RVT-CRISPR-like	983	6	3	3
ba902b6fcf18ca3ea9266b1b4f9d4f2c592987a474060d50d9531e154fdbc334	RVT-CRISPR|RVT-CRISPR-like	856	6	4	4
daee58073a076940b2453db0c092789da464eab6c7938b5e15755741849625e7	RVT-CRISPR|RVT-CRISPR-like	335	6	4	4
63c41053fcaec6bab1335f34e26bf0ddf11359d4b6dffabffabefb5f78481e40	RVT-CRISPR|RVT-CRISPR-like	290	5	3	3
309703bc8b38bdb7c5c5642bcfea240e49f1c75615a661ac47ee556293ac13ee	RVT-CRISPR|RVT-CRISPR-like	202	4	3	3
453693c6b0454c14d48d1f3630cfb12b5052c3d7ed6bdd8631312c79fc69ba6a	RVT-CRISPR|RVT-CRISPR-like	404	4	3	3
252890c879d878c86fb34043a3df4709c9a7794d91ad00f4572ee9ff6eb3e359	RVT-CRISPR|RVT-CRISPR-like	481	2	2	2
