toro_index	toro_header	s1_rt_phylogeny	mestre_terminal	mestre_accession	clade_EVALUATION_ONLY	fident	extract_coverage	exact_substring	mapped	toro_stated_start	toro_stated_end	extract_len	extract_sha256	mestre_protein_sha256
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1847	fig|1380390.4.peg.72	11	0.274	0.7311	False	False	110	379	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	b2e52768682e3688f23e06c485694be45c801c07fab8909c4b34b64c9d253bc2
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1848	fig|1283299.3.peg.2784	11	0.451	0.2992	False	False	119	383	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	73ad834af932910b1e71899010711edad85728bc3b88067dd34f3c8b5d057742
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1541	fig|1305675.3.peg.2174	9	0.292	0.8295	False	False	1	218	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	eeee1098bcf99f79d060b949f9e0bd447b8840316bd8ce776459a19852cea8c6
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1894	fig|1220583.3.peg.1582	11	0.367	0.3295	False	False	95	356	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	1ab25fd54547d3ee5b26547582108f0adc17b6290bfdeacb6401f870874b645a
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1427	fig|1263083.3.peg.558	9	0.373	0.3144	False	False	2	262	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	b642412aa367d5524599c5ca47f2bc5721974ae0ce32e890513e4f93a42e5601
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1649	fig|1499501.3.peg.459	10	0.252	0.822	False	False	146	405	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	e469dadd3e672bec30a2ee200d8dfd06c71eb2a67427f959a5105493ce3f62d3
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1819	fig|1494608.3.peg.465	11	0.271	0.75	False	False	170	434	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	ef9a4018ad1e19c557ce5efe78e30863196ac6d9d84e22cbcdf724c6291dc8e3
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_831	fig|670.1220.peg.4688	7	0.37	0.3068	False	False	7	268	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	85873f5ed43feb6aea85282be52beb8bb7dce21f7b46f735751e4dbfcf6bd1fe
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1023	fig|29497.20.peg.3798	8	0.288	0.6402	False	False	19	269	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	4ff814df8769c59ead5cfb8bda36cd9b0039eb5b3e171f4d994801096fd0e414
1	gi|322417944|ref|YP_004197167.1|_extraction	Group II Intron	terminal_1429	fig|1619244.3.peg.1323	9	0.349	0.3144	False	False	2	262	264	ff339bc14fe0bcb6b9547d94fc4ea88af8c0da8d86a5793688762151992b9f51	0654a1d688d2cf495fbe19c28eb1871227f55c0383e8180f860acd1057cc9362
