gid	member_id	split	locus_key	source_file	byte_offset	byte_len	rt_start	rt_end	rt_strand	file_label
NONRETRON_RVT-AbiK_1	m00	SUPPLEMENTARY_CONTROL	DALHEF010000042.1:5893-6951:-	master_RVT-AbiK_merged_oriented.jsonl	109585852	27412	5893	6951	-	RVT-AbiK
NONRETRON_RVT-AbiK_1	m01	SUPPLEMENTARY_CONTROL	JBMJCM010000002.1:47114-48604:-	master_RVT-AbiK_merged_oriented.jsonl	186457160	31083	47114	48604	-	RVT-AbiK
NONRETRON_RVT-AbiK_1	m02	SUPPLEMENTARY_CONTROL	DAKYBU010000002.1:47145-48281:-	master_RVT-AbiK_merged_oriented.jsonl	101449958	31521	47145	48281	-	RVT-AbiK
NONRETRON_RVT-AbiK_1	m03	SUPPLEMENTARY_CONTROL	OGAX01000017.1:3858-5546:-	master_RVT-AbiK_merged_oriented.jsonl	57669174	24246	3858	5546	-	RVT-AbiK
NONRETRON_RVT-AbiK_1	m04	SUPPLEMENTARY_CONTROL	JAFFRU010000009.1:3295-4608:+	master_RVT-AbiK_merged_oriented.jsonl	9803058	9133	3295	4608	+	RVT-AbiK
NONRETRON_RVT-AbiK_1	m05	SUPPLEMENTARY_CONTROL	CP120467.1:1998497-1999915:-	master_RVT-AbiK_merged_oriented.jsonl	33352413	32922	1998497	1999915	-	RVT-AbiK
NONRETRON_RVT-AbiK_1	m06	SUPPLEMENTARY_CONTROL	JBNFUK010000001.1:1595218-1596633:-	master_RVT-AbiK_merged_oriented.jsonl	220880514	35137	1595218	1596633	-	RVT-AbiK
NONRETRON_RVT-AbiK_1	m07	SUPPLEMENTARY_CONTROL	LDTS01000032.1:45597-46802:+	master_RVT-AbiK_merged_oriented.jsonl	32674802	18841	45597	46802	+	RVT-AbiK
NONRETRON_RVT-AbiK_2	m00	SUPPLEMENTARY_CONTROL	DBGYMU010000004.1:161938-163266:+	master_RVT-AbiK_merged_oriented.jsonl	185704746	18456	161938	163266	+	RVT-AbiK
NONRETRON_RVT-AbiK_2	m01	SUPPLEMENTARY_CONTROL	JAJJDX010000013.1:6294-7112:+	master_RVT-AbiK_merged_oriented.jsonl	173186868	28356	6294	7112	+	RVT-AbiK
NONRETRON_RVT-AbiK_2	m02	SUPPLEMENTARY_CONTROL	DALFGZ010000004.1:270730-271806:+	master_RVT-AbiK_merged_oriented.jsonl	107061748	18572	270730	271806	+	RVT-AbiK
